Year,SERIES,Value
2015,Выбросы углекислого газа от сжигания топлива,102750
2016,Выбросы углекислого газа от сжигания топлива,88405
2017,Выбросы углекислого газа от сжигания топлива,94491
2018,Выбросы углекислого газа от сжигания топлива,178584
2019,Выбросы углекислого газа от сжигания топлива,151724
2020,Выбросы углекислого газа от сжигания топлива,147113
2015,Выбросы углекислого газа на единицу ВВП,24
2016,Выбросы углекислого газа на единицу ВВП,19
2017,Выбросы углекислого газа на единицу ВВП,18
2018,Выбросы углекислого газа на единицу ВВП,0
2019,Выбросы углекислого газа на единицу ВВП,0
2020,Выбросы углекислого газа на единицу ВВП,0
2015,Выбросы углекислого газа на единицу добавленной стоимости производства,16
2016,Выбросы углекислого газа на единицу добавленной стоимости производства,13
2017,Выбросы углекислого газа на единицу добавленной стоимости производства,14
2018,Выбросы углекислого газа на единицу добавленной стоимости производства,1
2019,Выбросы углекислого газа на единицу добавленной стоимости производства,1
2020,Выбросы углекислого газа на единицу добавленной стоимости производства,1
