Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Value
2018,,,,,,,48.5
2019,,,,,,,52.2
2018,,,,Городская,,,66.0
2019,,,,Городская,,,63.6
2018,,,,Сельская,,,38.1
2019,,,,Сельская,,,45.5
2018,,Мужчины,,,,,47.9
2019,,Мужчины,,,,,53.3
2018,,Женщины,,,,,49.0
2019,,Женщины,,,,,51.3
2018,Баткенская область,,,,,,32.9
2019,Баткенская область,,,,,,58.7
2018,Джалал-Абадская область,,,,,,18.3
2019,Джалал-Абадская область,,,,,,28.9
2018,Иссык-Кульская область,,,,,,72.5
2019,Иссык-Кульская область,,,,,,74.6
2018,Нарынская область,,,,,,39.3
2019,Нарынская область,,,,,,47.0
2018,Ошская область,,,,,,39.6
2019,Ошская область,,,,,,48.5
2018,Таласская область,,,,,,42.2
2019,Таласская область,,,,,,44.5
2018,Чуйская область,,,,,,63.1
2019,Чуйская область,,,,,,54.5
2018,г. Бишкек,,,,,,67.7
2019,г. Бишкек,,,,,,59.8
2018,г. Ош,,,,,,94.6
2019,г. Ош,,,,,,95.0
2018,,,от 15 до 28 лет,,,,48.4
2019,,,от 15 до 28 лет,,,,53.0
2018,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,48.9
2019,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,52.8
2018,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,48.1
2019,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,49.0
2018,,,,,,Начальное образование,48.2
2019,,,,,,Начальное образование,51.5
2018,,,,,,Первый этап среднего образования,51.2
2019,,,,,,Первый этап среднего образования,52.7
2018,,,,,,Второй этап среднего образования,42.7
2019,,,,,,Второй этап среднего образования,48.7
2018,,,,,,Послесреднее нетретичное образование,55.4
2019,,,,,,Послесреднее нетретичное образование,55.3
2018,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),56.0
2019,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),58.3
2018,,,,,Квинтиль 1 (беднейшие),,37.4
2019,,,,,Квинтиль 1 (беднейшие),,40.1
2018,,,,,Квинтиль 2,,46.5
2019,,,,,Квинтиль 2,,50.8
2018,,,,,Квинтиль 3,,48.4
2019,,,,,Квинтиль 3,,52.0
2018,,,,,Квинтиль 4,,51.1
2019,,,,,Квинтиль 4,,55.9
2018,,,,,Квинтиль 5 (богатейшие),,55.3
2019,,,,,Квинтиль 5 (богатейшие),,58.2
