Year,Территория,Value
2014,,1.8
2015,,1.7
2016,,1.8
2017,,1.7
2018,,1.7
2014,Баткен,0.3
2015,Баткен,0.1
2016,Баткен,0.1
2017,Баткен,0.1
2018,Баткен,0.2
2014,Джалал-Абадская область,0.8
2015,Джалал-Абадская область,0.8
2016,Джалал-Абадская область,0.9
2017,Джалал-Абадская область,0.9
2018,Джалал-Абадская область,0.9
2014,Иссык-Кульская область,1.4
2015,Иссык-Кульская область,1.3
2016,Иссык-Кульская область,1.4
2017,Иссык-Кульская область,0.4
2018,Иссык-Кульская область,0.4
2014,Нарынская область,1.4
2015,Нарынская область,1.5
2016,Нарынская область,1.6
2017,Нарынская область,1.7
2018,Нарынская область,1.9
2014,Ошская область,0.3
2015,Ошская область,0.3
2016,Ошская область,0.4
2017,Ошская область,0.4
2018,Ошская область,0.5
2014,Таласская область,0.8
2015,Таласская область,0.8
2016,Таласская область,0.8
2017,Таласская область,0.8
2018,Таласская область,0.8
2014,Чуй,2.2
2015,Чуй,2.1
2016,Чуй,2.1
2017,Чуй,2.1
2018,Чуй,2.1
2014,Бишкек (город),5.3
2015,Бишкек (город),5.1
2016,Бишкек (город),5.1
2017,Бишкек (город),5.0
2018,Бишкек (город),4.7
2014,г. Ош,3.8
2015,г. Ош,3.6
2016,г. Ош,3.6
2017,г. Ош,3.5
2018,г. Ош,3.6
