Year,Series,Value
2013,Надземная биомасса в лесу на гектар (тонн на гектар),26.7
2013,Доля лесных площадей в установленных законом охраняемых районах,5.7
2014,Доля лесных площадей в установленных законом охраняемых районах,5.7
2015,Доля лесных площадей в установленных законом охраняемых районах,5.7
2016,Доля лесных площадей в установленных законом охраняемых районах,5.7
2017,Доля лесных площадей в установленных законом охраняемых районах,5.7
2018,Доля лесных площадей в установленных законом охраняемых районах,5.8
2013,Доля лесных площадей с долгосрочным планом управления,74.6
2014,Доля лесных площадей с долгосрочным планом управления,76.4
2015,Доля лесных площадей с долгосрочным планом управления,78.0
2016,Доля лесных площадей с долгосрочным планом управления,79.6
2017,Доля лесных площадей с долгосрочным планом управления,81.3
2018,Доля лесных площадей с долгосрочным планом управления,82.6
