Year,Составная разбивка,Value
2014,,665.9
2015,,810.1
2016,,934.5
2017,,921.5
2018,,962.4
2014,Расходы на борьбу с загрязнением окружающей среды,56.2
2015,Расходы на борьбу с загрязнением окружающей среды,71.5
2016,Расходы на борьбу с загрязнением окружающей среды,60.4
2017,Расходы на борьбу с загрязнением окружающей среды,52.7
2018,Расходы на борьбу с загрязнением окружающей среды,64.1
2014,Расходы на природные заповедники и природные парки ,93.3
2015,Расходы на природные заповедники и природные парки ,114.1
2016,Расходы на природные заповедники и природные парки ,145.8
2017,Расходы на природные заповедники и природные парки ,131.7
2018,Расходы на природные заповедники и природные парки ,136.5
2014,Расходы на охрану животных ,8.4
2015,Расходы на охрану животных ,9.4
2016,Расходы на охрану животных ,10.4
2017,Расходы на охрану животных ,9.8
2018,Расходы на охрану животных ,10.4
2014,Расходы на охрану растений,1.6
2015,Расходы на охрану растений,1.5
2016,Расходы на охрану растений,1.5
2014,Расходы на противоэпизоотические мероприятия,61.2
2015,Расходы на противоэпизоотические мероприятия,46.6
2016,Расходы на противоэпизоотические мероприятия,109.3
2017,Расходы на противоэпизоотические мероприятия,105.6
2018,Расходы на противоэпизоотические мероприятия,153.6
2014,Расходы на ветеринарную диагностику,109.3
2015,Расходы на ветеринарную диагностику,107.2
2016,Расходы на ветеринарную диагностику,150.8
2017,Расходы на ветеринарную диагностику,134.6
2018,Расходы на ветеринарную диагностику,245.1
2014,"Расходы на химизацию, защиты и карантин растений",42.5
2015,"Расходы на химизацию, защиты и карантин растений",60.1
2016,"Расходы на химизацию, защиты и карантин растений",88.8
2017,"Расходы на химизацию, защиты и карантин растений",85.9
2018,"Расходы на химизацию, защиты и карантин растений",132.2
2014,Расходы на прочие услуги по защите биоразнообразия и охране ландшафта,277.1
2015,Расходы на прочие услуги по защите биоразнообразия и охране ландшафта,392.6
2016,Расходы на прочие услуги по защите биоразнообразия и охране ландшафта,358.6
2017,Расходы на прочие услуги по защите биоразнообразия и охране ландшафта,231.4
2018,Расходы на прочие услуги по защите биоразнообразия и охране ландшафта,212.8
2014,"Расходы на научно-исследовательские и опытно-конструкторские  разработки, связанные с охраной окружающей среды ",6.7
2015,"Расходы на научно-исследовательские и опытно-конструкторские  разработки, связанные с охраной окружающей среды ",7.1
2016,"Расходы на научно-исследовательские и опытно-конструкторские  разработки, связанные с охраной окружающей среды ",6.3
2017,"Расходы на научно-исследовательские и опытно-конструкторские  разработки, связанные с охраной окружающей среды ",6.3
2014,"Расходы на вопросы охраны окружающей среды, не отнесенные к другим категориям",9.6
2017,"Расходы на вопросы охраны окружающей среды, не отнесенные к другим категориям",163.5
2016,Расходы на другие услуги по охране окружающей среды,2.6
2018,Расходы на другие услуги по охране окружающей среды,7.7
