Year,Reference area,Value
2007,,5.9
2008,,5.5
2009,,6.2
2010,,6.2
2011,,5.5
2012,,4.4
2013,,3.8
2014,,3.5
2015,,3.6
2016,,2.7
2017,,2.5
2018,,2.3
2019,,2.0
2020,,2.1
2007,Batken,1.9
2008,Batken,1.9
2009,Batken,2.1
2010,Batken,2.5
2011,Batken,2.7
2012,Batken,2.4
2013,Batken,2.2
2014,Batken,0.6
2015,Batken,0.8
2016,Batken,2.0
2017,Batken,1.6
2018,Batken,1.5
2019,Batken,1.9
2020,Batken,2.4
2007,Jalal-Abad,1.7
2008,Jalal-Abad,2.5
2009,Jalal-Abad,3.6
2010,Jalal-Abad,5.0
2011,Jalal-Abad,4.1
2012,Jalal-Abad,3.5
2013,Jalal-Abad,4.0
2014,Jalal-Abad,2.9
2015,Jalal-Abad,2.1
2016,Jalal-Abad,2.0
2017,Jalal-Abad,1.4
2018,Jalal-Abad,1.7
2019,Jalal-Abad,1.4
2020,Jalal-Abad,1.4
2007,Issyk-Kul,8.3
2008,Issyk-Kul,7.1
2009,Issyk-Kul,7.3
2010,Issyk-Kul,4.7
2011,Issyk-Kul,7.8
2012,Issyk-Kul,8.0
2013,Issyk-Kul,5.5
2014,Issyk-Kul,6.9
2015,Issyk-Kul,6.0
2016,Issyk-Kul,3.2
2017,Issyk-Kul,3.3
2018,Issyk-Kul,3.9
2019,Issyk-Kul,5.1
2020,Issyk-Kul,3.2
2007,Naryn,5.1
2008,Naryn,6.2
2009,Naryn,6.2
2010,Naryn,8.4
2011,Naryn,6.4
2012,Naryn,6.4
2013,Naryn,3.0
2014,Naryn,3.7
2015,Naryn,7.2
2016,Naryn,4.3
2017,Naryn,4.2
2018,Naryn,2.1
2019,Naryn,3.8
2020,Naryn,2.4
2007,Osh,2.7
2008,Osh,2.7
2009,Osh,3.5
2010,Osh,3.8
2011,Osh,3.2
2012,Osh,1.8
2013,Osh,1.8
2014,Osh,1.8
2015,Osh,1.7
2016,Osh,1.8
2017,Osh,1.5
2018,Osh,2.0
2019,Osh,1.1
2020,Osh,0.8
2007,Talas,2.2
2008,Talas,6.7
2009,Talas,3.1
2010,Talas,5.6
2011,Talas,4.3
2012,Talas,5.9
2013,Talas,7.0
2014,Talas,5.3
2015,Talas,3.2
2016,Talas,2.4
2017,Talas,1.9
2018,Talas,0.8
2019,Talas,3.0
2020,Talas,2.2
2007,Chui,14.9
2008,Chui,12.7
2009,Chui,13.9
2010,Chui,13.3
2011,Chui,9.5
2012,Chui,9.2
2013,Chui,6.3
2014,Chui,6.4
2015,Chui,7.2
2016,Chui,5.5
2017,Chui,5.5
2018,Chui,3.7
2019,Chui,2.5
2020,Chui,4.5
2007,Bishkek (city),8.1
2008,Bishkek (city),7.0
2009,Bishkek (city),7.9
2010,Bishkek (city),6.4
2011,Bishkek (city),6.7
2012,Bishkek (city),3.6
2013,Bishkek (city),2.5
2014,Bishkek (city),3.6
2015,Bishkek (city),3.6
2016,Bishkek (city),2.6
2017,Bishkek (city),2.7
2018,Bishkek (city),2.3
2019,Bishkek (city),1.2
2020,Bishkek (city),1.4
2007,Osh (city),7.8
2008,Osh (city),3.1
2009,Osh (city),5.4
2010,Osh (city),4.7
2011,Osh (city),5.5
2012,Osh (city),1.5
2013,Osh (city),6.1
2014,Osh (city),1.9
2015,Osh (city),4.0
2016,Osh (city),1.1
2017,Osh (city),1.8
2018,Osh (city),1.7
2019,Osh (city),2.0
2020,Osh (city),3.2
