Year,Территория,Возраст,Тип местности,Уровень образования,GeoCode,Value
2018,,,,,,2.2
2023,,,,,,1.0
2018,,,Городская,,,2.5
2023,,,Городская,,,1.6
2018,,,Сельская,,,2.1
2023,,,Сельская,,,0.7
2018,Баткенская область,,,,KG05,0.0
2023,Баткенская область,,,,KG05,0.5
2018,Джалал-Абадская область,,,,KG03,0.9
2023,Джалал-Абадская область,,,,KG03,0.4
2018,Иссык-Кульская область,,,,KG02,0.7
2023,Иссык-Кульская область,,,,KG02,0.7
2018,Нарынская область,,,,KG04,1.7
2023,Нарынская область,,,,KG04,0.7
2018,Ошская область,,,,KG06,1.1
2023,Ошская область,,,,KG06,0.3
2018,Таласская область,,,,KG07,1.2
2023,Таласская область,,,,KG07,0.2
2018,Чуйская область,,,,KG08,6.3
2023,Чуйская область,,,,KG08,1.7
2018,г. Бишкек,,,,KG11,3.1
2023,г. Бишкек,,,,KG11,1.9
2018,г. Ош,,,,KG21,1.7
2023,г. Ош,,,,KG21,3.0
2018,,от 15 до 19 лет,,,,1.7
2023,,от 15 до 19 лет,,,,0.7
2018,,от 15 до 17 лет,,,,1.1
2023,,от 15 до 17 лет,,,,0.5
2018,,от 18 до 19 лет,,,,3.0
2023,,от 18 до 19 лет,,,,1.2
2018,,от 20 до 24 лет,,,,2.3
2023,,от 20 до 24 лет,,,,1.2
2018,,от 25 до 29 лет,,,,2.6
2023,,от 25 до 29 лет,,,,0.2
2018,,от 30 до 34 лет,,,,2.3
2023,,от 30 до 34 лет,,,,1.9
2018,,от 35 до 39 лет,,,,2.4
2023,,от 35 до 39 лет,,,,0.9
2018,,от 40 до 44 лет,,,,2.3
2023,,от 40 до 44 лет,,,,1.1
2018,,от 45 до 49 лет,,,,1.9
2023,,от 45 до 49 лет,,,,0.8
2018,,,,Первый этап среднего образования,,2.3
2023,,,,Первый этап среднего образования,,0.9
2018,,,,Второй этап среднего образования,,1.2
2023,,,,Второй этап среднего образования,,0.8
2018,,,,Послесреднее нетретичное образование,,2.7
2023,,,,Послесреднее нетретичное образование,,1.0
2018,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,3.3
2023,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,1.4
