Year,concept.SEX,Value
2014,,378
2015,,336
2016,,351
2017,,234
2018,,342
2014,,62
2015,,69
2016,,72
2017,,52
2018,,56
2014,Смоделированные данные,323
2015,Смоделированные данные,278
2016,Смоделированные данные,286
2017,Смоделированные данные,196
2018,Смоделированные данные,297
2014,Смоделированные данные,57
2015,Смоделированные данные,65
2016,Смоделированные данные,61
2017,Смоделированные данные,44
2018,Смоделированные данные,53
2014,Женщины,55
2015,Женщины,58
2016,Женщины,65
2017,Женщины,38
2018,Женщины,45
2014,Женщины,5
2015,Женщины,4
2016,Женщины,11
2017,Женщины,8
2018,Женщины,3
