Year,SERIES,Пол,Value
2014,Число осужденных за должностные преступления,,378
2015,Число осужденных за должностные преступления,,336
2016,Число осужденных за должностные преступления,,351
2017,Число осужденных за должностные преступления,,234
2018,Число осужденных за должностные преступления,,342
2019,Число осужденных за должностные преступления,,223
2020,Число осужденных за должностные преступления,,210
2021,Число осужденных за должностные преступления,,371
2022,Число осужденных за должностные преступления,,370
2023,Число осужденных за должностные преступления,,413
2014,Число осужденных за коррупцию и взяточничество,,62
2015,Число осужденных за коррупцию и взяточничество,,69
2016,Число осужденных за коррупцию и взяточничество,,72
2017,Число осужденных за коррупцию и взяточничество,,52
2018,Число осужденных за коррупцию и взяточничество,,56
2019,Число осужденных за коррупцию и взяточничество,,66
2020,Число осужденных за коррупцию и взяточничество,,59
2021,Число осужденных за коррупцию и взяточничество,,178
2022,Число осужденных за коррупцию и взяточничество,,137
2023,Число осужденных за коррупцию и взяточничество,,79
2014,Число осужденных за должностные преступления,Мужчины,323
2015,Число осужденных за должностные преступления,Мужчины,278
2016,Число осужденных за должностные преступления,Мужчины,286
2017,Число осужденных за должностные преступления,Мужчины,196
2018,Число осужденных за должностные преступления,Мужчины,297
2019,Число осужденных за должностные преступления,Мужчины,193
2020,Число осужденных за должностные преступления,Мужчины,184
2021,Число осужденных за должностные преступления,Мужчины,342
2022,Число осужденных за должностные преступления,Мужчины,314
2023,Число осужденных за должностные преступления,Мужчины,311
2014,Число осужденных за коррупцию и взяточничество,Мужчины,57
2015,Число осужденных за коррупцию и взяточничество,Мужчины,65
2016,Число осужденных за коррупцию и взяточничество,Мужчины,61
2017,Число осужденных за коррупцию и взяточничество,Мужчины,44
2018,Число осужденных за коррупцию и взяточничество,Мужчины,53
2019,Число осужденных за коррупцию и взяточничество,Мужчины,57
2020,Число осужденных за коррупцию и взяточничество,Мужчины,54
2021,Число осужденных за коррупцию и взяточничество,Мужчины,168
2022,Число осужденных за коррупцию и взяточничество,Мужчины,121
2023,Число осужденных за коррупцию и взяточничество,Мужчины,76
2014,Число осужденных за должностные преступления,Женщины,55
2015,Число осужденных за должностные преступления,Женщины,58
2016,Число осужденных за должностные преступления,Женщины,65
2017,Число осужденных за должностные преступления,Женщины,38
2018,Число осужденных за должностные преступления,Женщины,45
2019,Число осужденных за должностные преступления,Женщины,30
2020,Число осужденных за должностные преступления,Женщины,26
2021,Число осужденных за должностные преступления,Женщины,29
2022,Число осужденных за должностные преступления,Женщины,50
2023,Число осужденных за должностные преступления,Женщины,102
2014,Число осужденных за коррупцию и взяточничество,Женщины,5
2015,Число осужденных за коррупцию и взяточничество,Женщины,4
2016,Число осужденных за коррупцию и взяточничество,Женщины,11
2017,Число осужденных за коррупцию и взяточничество,Женщины,8
2018,Число осужденных за коррупцию и взяточничество,Женщины,3
2019,Число осужденных за коррупцию и взяточничество,Женщины,9
2020,Число осужденных за коррупцию и взяточничество,Женщины,5
2021,Число осужденных за коррупцию и взяточничество,Женщины,10
2022,Число осужденных за коррупцию и взяточничество,Женщины,16
2023,Число осужденных за коррупцию и взяточничество,Женщины,15
