Year,Частота наблюдений,Территория,GeoCode,Value
2015,Годовая,,,235
2016,Годовая,,,285
2017,Годовая,,,311
2018,Годовая,,,273
2019,"Полугодовая, семестр",,,273
2015,Годовая,Баткенская область,KG05,294
2016,Годовая,Баткенская область,KG05,479
2017,Годовая,Баткенская область,KG05,462
2018,Годовая,Баткенская область,KG05,426
2019,"Полугодовая, семестр",Баткенская область,KG05,400
2015,Годовая,г. Бишкек,KG11,436
2016,Годовая,г. Бишкек,KG11,372
2017,Годовая,г. Бишкек,KG11,354
2018,Годовая,г. Бишкек,KG11,327
2019,"Полугодовая, семестр",г. Бишкек,KG11,360
2015,Годовая,Чуйская область,KG08,-15
2016,Годовая,Чуйская область,KG08,166
2017,Годовая,Чуйская область,KG08,295
2018,Годовая,Чуйская область,KG08,195
2019,"Полугодовая, семестр",Чуйская область,KG08,252
2015,Годовая,Иссык-Кульская область,KG02,206
2016,Годовая,Иссык-Кульская область,KG02,199
2017,Годовая,Иссык-Кульская область,KG02,285
2018,Годовая,Иссык-Кульская область,KG02,307
2019,"Полугодовая, семестр",Иссык-Кульская область,KG02,375
2015,Годовая,Джалал-Абадская область,KG03,343
2016,Годовая,Джалал-Абадская область,KG03,309
2017,Годовая,Джалал-Абадская область,KG03,327
2018,Годовая,Джалал-Абадская область,KG03,279
2019,"Полугодовая, семестр",Джалал-Абадская область,KG03,307
2015,Годовая,Нарынская область,KG04,364
2016,Годовая,Нарынская область,KG04,341
2017,Годовая,Нарынская область,KG04,312
2018,Годовая,Нарынская область,KG04,341
2019,"Полугодовая, семестр",Нарынская область,KG04,355
2015,Годовая,Ошская область,KG06,314
2016,Годовая,Ошская область,KG06,256
2017,Годовая,Ошская область,KG06,385
2018,Годовая,Ошская область,KG06,355
2019,"Полугодовая, семестр",Ошская область,KG06,325
2015,Годовая,г. Ош,KG21,96
2016,Годовая,г. Ош,KG21,126
2017,Годовая,г. Ош,KG21,163
2018,Годовая,г. Ош,KG21,129
2019,"Полугодовая, семестр",г. Ош,KG21,113
2015,Годовая,Таласская область,KG07,169
2016,Годовая,Таласская область,KG07,408
2017,Годовая,Таласская область,KG07,429
2018,Годовая,Таласская область,KG07,383
2019,"Полугодовая, семестр",Таласская область,KG07,366
