Year,COMPOSITE_BREAKDOWN,Value
2012,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,22233
2013,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,77877
2014,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,105680
2015,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,46408
2016,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,27317
2017,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,27428
2018,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,22654
2019,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,20556
2020,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,8075
2021,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,7105
2022,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,6333
2023,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,5571
2012,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,6530
2013,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,43943
2014,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,65345
2015,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,59377
2016,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,91834
2017,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,101786
2018,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,158296
2019,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,174988
2020,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,79553
2021,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,81079
2022,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,82675
2023,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,74710
2012,IS_GE10M,19351
2013,IS_GE10M,14065
2014,IS_GE10M,14032
2015,IS_GE10M,105739
2016,IS_GE10M,115047
2017,IS_GE10M,128799
2018,IS_GE10M,69662
2019,IS_GE10M,73547
2020,IS_GE10M,181557
2021,IS_GE10M,214139
2022,IS_GE10M,300853
2023,IS_GE10M,375715
