Year,Тип продукта,Value
2010,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),63.132137
2011,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),63.132137
2012,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),60.195758999999995
2013,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),55.138662
2014,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),56.443718999999994
2015,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),64.600326
2016,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),63.132137
2017,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),62.805873
2018,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),65.742251
2010,Молоко и молочные продукты (в пересчете на молоко),106.2
2011,Молоко и молочные продукты (в пересчете на молоко),106.5
2012,Молоко и молочные продукты (в пересчете на молоко),105.75
2013,Молоко и молочные продукты (в пересчете на молоко),107.5
2014,Молоко и молочные продукты (в пересчете на молоко),107.8
2015,Молоко и молочные продукты (в пересчете на молоко),113.15
2016,Молоко и молочные продукты (в пересчете на молоко),112.25
2017,Молоко и молочные продукты (в пересчете на молоко),111.65
2018,Молоко и молочные продукты (в пересчете на молоко),109.4
2010,Яйца,43.506849
2011,Яйца,45.041096
2012,Яйца,44.273973
2013,Яйца,45.479452
2014,Яйца,44.767123
2015,Яйца,47.287671
2016,Яйца,43.835615999999995
2017,Яйца,47.123288
2018,Яйца,47.342465999999995
2010,Сахар,83.203125
2011,Сахар,83.59375
2012,Сахар,78.125
2013,Сахар,82.03125
2014,Сахар,76.953125
2015,Сахар,71.875
2016,Сахар,85.9375
2017,Сахар,89.0625
2018,Сахар,115.234375
2010,Растительное масло,131.393493
2011,Растительное масло,129.24425
2012,Растительное масло,118.291347
2013,Растительное масло,136.911281
2014,Растительное масло,139.101862
2015,Растительное масло,140.197152
2016,Растительное масло,116.10076699999999
2017,Растительное масло,112.81489599999999
2018,Растительное масло,104.05257399999999
2010,Картофель,98.181818
2011,Картофель,99.494949
2012,Картофель,99.393939
2013,Картофель,99.494949
2014,Картофель,99.494949
2015,Картофель,108.28282800000001
2016,Картофель,108.28282800000001
2017,Картофель,107.7
2018,Картофель,141.4
2010,Овощи и бахчевые,131.3
2011,Овощи и бахчевые,131.2
2012,Овощи и бахчевые,131.05263200000002
2013,Овощи и бахчевые,130.701754
2014,Овощи и бахчевые,131.578947
2015,Овощи и бахчевые,139.47368400000002
2016,Овощи и бахчевые,141.403509
2017,Овощи и бахчевые,153.0
2018,Овощи и бахчевые,159.3
2010,Фрукты и ягоды,24.193548
2011,Фрукты и ягоды,23.225806
2012,Фрукты и ягоды,19.274194
2013,Фрукты и ягоды,21.612903
2014,Фрукты и ягоды,23.467742
2015,Фрукты и ягоды,25.16129
2016,Фрукты и ягоды,34.919354999999996
2017,Фрукты и ягоды,34.5
2018,Фрукты и ягоды,27.0
2010," Пшеница и продукты ее переработки  , в муке",146.666259
2011," Пшеница и продукты ее переработки  , в муке",146.492793
2012," Пшеница и продукты ее переработки  , в муке",145.712192
2013," Пшеница и продукты ее переработки  , в муке",147.44686000000002
2014," Пшеница и продукты ее переработки  , в муке",147.44686000000002
2015," Пшеница и продукты ее переработки  , в муке",146.579526
2016," Пшеница и продукты ее переработки  , в муке",143.659907
2017," Пшеница и продукты ее переработки  , в муке",129.855851
2018," Пшеница и продукты ее переработки  , в муке",99.071586
2010,Рыба и рыбопродукты,16.483516
2011,Рыба и рыбопродукты,20.879120999999998
2012,Рыба и рыбопродукты,20.879120999999998
2013,Рыба и рыбопродукты,20.879120999999998
2014,Рыба и рыбопродукты,20.879120999999998
2015,Рыба и рыбопродукты,20.879120999999998
2016,Рыба и рыбопродукты,9.602909
2017,Рыба и рыбопродукты,9.89011
2018,Рыба и рыбопродукты,8.791209
