Year,Территория,Тип местности,GeoCode,Value
2000,,,,60.521725
2001,,,,77.154938
2002,,,,51.354687
2003,,,,55.244615
2004,,,,48.2
2005,,,,49.472402
2006,,,,47.554172
2007,,,,48.479985
2008,,,,45.156055
2009,,,,40.667524
2010,,,,42.315954
2011,,,,44.70876
2012,,,,51.004239
2013,,,,48.629898
2014,,,,47.932099
2015,,,,50.982902
2016,,,,45.6165
2017,,,,50.0267
2018,,,,46.4
2019,,,,46.3
2020,,,,45.3
2021,,,,46.69
2000,,Городская,,69.472742
2001,,Городская,,84.06804
2002,,Городская,,67.700173
2003,,Городская,,59.23848
2004,,Городская,,49.4
2005,,Городская,,52.267834
2006,,Городская,,46.086276
2007,,Городская,,46.663125
2008,,Городская,,45.363642
2009,,Городская,,38.386768
2010,,Городская,,44.47285
2011,,Городская,,51.442437
2012,,Городская,,60.754126
2013,,Городская,,48.726107
2014,,Городская,,53.02
2015,,Городская,,58.534524
2016,,Городская,,48.6979
2017,,Городская,,55.5006
2018,,Городская,,51.6
2019,,Городская,,50.6
2020,,Городская,,48.2
2021,,Городская,,52.52
2000,,Сельская,,55.809151
2001,,Сельская,,73.452418
2002,,Сельская,,42.634369
2003,,Сельская,,53.092169
2004,,Сельская,,48.1
2005,,Сельская,,47.848938
2006,,Сельская,,48.420366
2007,,Сельская,,49.514891
2008,,Сельская,,45.039446
2009,,Сельская,,41.917619
2010,,Сельская,,41.073296
2011,,Сельская,,40.705385
2012,,Сельская,,45.363875
2013,,Сельская,,48.57992
2014,,Сельская,,45.06
2015,,Сельская,,46.84518
2016,,Сельская,,43.9253
2017,,Сельская,,47.0111
2018,,Сельская,,43.5
2019,,Сельская,,43.9
2020,,Сельская,,43.6
2021,,Сельская,,43.22
2000,Баткенская область,,KG05,59.339716
2001,Баткенская область,,KG05,61.621051
2002,Баткенская область,,KG05,36.961393
2003,Баткенская область,,KG05,42.329001
2004,Баткенская область,,KG05,37.049508
2005,Баткенская область,,KG05,53.54665
2006,Баткенская область,,KG05,47.900712
2007,Баткенская область,,KG05,30.186768
2008,Баткенская область,,KG05,37.443818
2009,Баткенская область,,KG05,48.591583
2010,Баткенская область,,KG05,42.666903
2011,Баткенская область,,KG05,44.064464
2012,Баткенская область,,KG05,50.49106
2013,Баткенская область,,KG05,62.932382
2014,Баткенская область,,KG05,53.56602
2015,Баткенская область,,KG05,49.799251
2016,Баткенская область,,KG05,52.9718
2017,Баткенская область,,KG05,52.4614
2018,Баткенская область,,KG05,54.6
2019,Баткенская область,,KG05,52.6
2020,Баткенская область,,KG05,48.8
2021,Баткенская область,,KG05,51.31
2000,Джалал-Абадская область,,KG03,59.287149
2001,Джалал-Абадская область,,KG03,81.005572
2002,Джалал-Абадская область,,KG03,42.498122
2003,Джалал-Абадская область,,KG03,57.011499
2004,Джалал-Абадская область,,KG03,51.655713
2005,Джалал-Абадская область,,KG03,61.433801
2006,Джалал-Абадская область,,KG03,52.669155
2007,Джалал-Абадская область,,KG03,61.234009
2008,Джалал-Абадская область,,KG03,51.475346
2009,Джалал-Абадская область,,KG03,34.357172
2010,Джалал-Абадская область,,KG03,45.552551
2011,Джалал-Абадская область,,KG03,41.458589
2012,Джалал-Абадская область,,KG03,56.178597
2013,Джалал-Абадская область,,KG03,55.445404
2014,Джалал-Абадская область,,KG03,54.779707
2015,Джалал-Абадская область,,KG03,55.904828
2016,Джалал-Абадская область,,KG03,48.1947
2017,Джалал-Абадская область,,KG03,41.1944
2018,Джалал-Абадская область,,KG03,44.0
2019,Джалал-Абадская область,,KG03,38.8
2020,Джалал-Абадская область,,KG03,41.5
2021,Джалал-Абадская область,,KG03,41.31
2000,Иссык-Кульская область,,KG02,65.030908
2001,Иссык-Кульская область,,KG02,78.831057
2002,Иссык-Кульская область,,KG02,60.063825
2003,Иссык-Кульская область,,KG02,52.018784
2004,Иссык-Кульская область,,KG02,40.999171
2005,Иссык-Кульская область,,KG02,46.03717
2006,Иссык-Кульская область,,KG02,49.877805
2007,Иссык-Кульская область,,KG02,50.802119
2008,Иссык-Кульская область,,KG02,54.861606
2009,Иссык-Кульская область,,KG02,44.383158
2010,Иссык-Кульская область,,KG02,43.452039
2011,Иссык-Кульская область,,KG02,41.044025
2012,Иссык-Кульская область,,KG02,36.987697
2013,Иссык-Кульская область,,KG02,39.824088
2014,Иссык-Кульская область,,KG02,42.638658
2015,Иссык-Кульская область,,KG02,46.284209
2016,Иссык-Кульская область,,KG02,45.0267
2017,Иссык-Кульская область,,KG02,51.7617
2018,Иссык-Кульская область,,KG02,49.4
2019,Иссык-Кульская область,,KG02,50.2
2020,Иссык-Кульская область,,KG02,49.7
2021,Иссык-Кульская область,,KG02,52.43
