Year,Тип продукта,Value
2018,Зерно и продукты их переработки,166.0
2019,Зерно и продукты их переработки,187.0
2020,Зерно и продукты их переработки,216.0
2021,Зерно и продукты их переработки,355.0
2022,Зерно и продукты их переработки,32.9
2023,Зерно и продукты их переработки,34.8
2018,"Пшеница и продукты ее переработки, в муке",473.0
2019,"Пшеница и продукты ее переработки, в муке",528.0
2020,"Пшеница и продукты ее переработки, в муке",576.0
2021,"Пшеница и продукты ее переработки, в муке",1049.0
2022,"Пшеница и продукты ее переработки, в муке",75.4
2023,"Пшеница и продукты ее переработки, в муке",108.5
2018,Плоды-ягоды и продукты их переработки,379.0
2019,Плоды-ягоды и продукты их переработки,688.0
2020,Плоды-ягоды и продукты их переработки,461.0
2021,Плоды-ягоды и продукты их переработки,665.0
2022,Плоды-ягоды и продукты их переработки,66.1
2023,Плоды-ягоды и продукты их переработки,812.0
2018,Картофель и продукты их переработки,7.0
2019,Картофель и продукты их переработки,10.0
2020,Картофель и продукты их переработки,13.0
2021,Картофель и продукты их переработки,27.0
2022,Картофель и продукты их переработки,3.2
2023,Картофель и продукты их переработки,2.5
2018,Овощебахчевые и продукты их переработки,39.0
2019,Овощебахчевые и продукты их переработки,60.0
2020,Овощебахчевые и продукты их переработки,70.0
2021,Овощебахчевые и продукты их переработки,87.0
2022,Овощебахчевые и продукты их переработки,10.6
2023,Овощебахчевые и продукты их переработки,11.1
2018,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),150.0
2019,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),187.0
2020,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),166.0
2021,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),192.0
2022,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),23.5
2023,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),23.4
2018,Молоко и молочные продукты (в пересчете на молоко),10.0
2019,Молоко и молочные продукты (в пересчете на молоко),18.0
2020,Молоко и молочные продукты (в пересчете на молоко),32.0
2021,Молоко и молочные продукты (в пересчете на молоко),18.0
2022,Молоко и молочные продукты (в пересчете на молоко),1.8
2023,Молоко и молочные продукты (в пересчете на молоко),20.0
2018,Яйца  и продукты их переработки,6.0
2019,Яйца  и продукты их переработки,68.0
2020,Яйца  и продукты их переработки,116.0
2021,Яйца  и продукты их переработки,163.0
2022,Яйца  и продукты их переработки,29.2
2023,Яйца  и продукты их переработки,32.3
2018,Сахар,716.0
2019,Сахар,508.0
2020,Сахар,739.0
2021,Сахар,1346.0
2022,Сахар,153.3
2023,Сахар,1017.0
2024,Сахар,91.4
2018,Растительное масло,3966.0
2019,Растительное масло,5287.0
2020,Растительное масло,8974.0
2021,Растительное масло,10186.0
2022,Растительное масло,936.7
2023,Растительное масло,989.2
2024,Растительное масло,801.1
2018,Рыба и продукты их переработки,1712.0
2019,Рыба и продукты их переработки,1098.0
2020,Рыба и продукты их переработки,846.0
2021,Рыба и продукты их переработки,299.0
2022,Рыба и продукты их переработки,145.0
2023,Рыба и продукты их переработки,110.0
2024,Рыба и продукты их переработки,45.0
