Year,SERIES,Территория,Тип местности,GeoCode,Value
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,,,4.5
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,,,5.7
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,,,7.6
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,,,5.652293
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,Городская,,6.9
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,Городская,,9.4
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,Городская,,12.9
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,Городская,,11.431225
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,Сельская,,3.1
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,Сельская,,3.6
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,Сельская,,4.5
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,,Сельская,,2.30149
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Баткенская область,,KG05,2.7
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Баткенская область,,KG05,2.4
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Баткенская область,,KG05,0.9
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Баткенская область,,KG05,1.135902
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Джалал-Абадская область,,KG03,6.6
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Джалал-Абадская область,,KG03,7.0
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Джалал-Абадская область,,KG03,9.8
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Джалал-Абадская область,,KG03,4.64161
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Иссык-Кульская область,,KG02,9.3
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Иссык-Кульская область,,KG02,9.8
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Иссык-Кульская область,,KG02,4.6
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Иссык-Кульская область,,KG02,2.51904
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Нарынская область,,KG04,1.8
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Нарынская область,,KG04,1.3
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Нарынская область,,KG04,8.3
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Нарынская область,,KG04,4.872377
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Ошская область,,KG06,2.2
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Ошская область,,KG06,2.2
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Ошская область,,KG06,3.5
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Ошская область,,KG06,1.048524
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,3.3
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,7.6
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,8.3
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,8.39205
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,3.0
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,4.2
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,3.1
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,4.496569
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,5.4
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,10.3
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,13.6
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,11.111248
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,10.7
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,12.2
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,24.6
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,24.120065
2019,Распространенность острого отсутствия продовольственной безопасности населения,,,,0.8
2020,Распространенность острого отсутствия продовольственной безопасности населения,,,,1.3
2021,Распространенность острого отсутствия продовольственной безопасности населения,,,,1.6
2022,Распространенность острого отсутствия продовольственной безопасности населения,,,,1.48973
