Year,SERIES,Value
2018,Доля площади сельскохозяйственных культур удобренная минеральными удобрениями,364
2019,Доля площади сельскохозяйственных культур удобренная минеральными удобрениями,354
2020,Доля площади сельскохозяйственных культур удобренная минеральными удобрениями,359
2021,Доля площади сельскохозяйственных культур удобренная минеральными удобрениями,356
2022,Доля площади сельскохозяйственных культур удобренная минеральными удобрениями,368
2023,Доля площади сельскохозяйственных культур удобренная минеральными удобрениями,355
2024,Доля площади сельскохозяйственных культур удобренная минеральными удобрениями,402
2018,Доля площади сельскохозяйственных культур удобренная органическими удобрениями,25
2019,Доля площади сельскохозяйственных культур удобренная органическими удобрениями,25
2020,Доля площади сельскохозяйственных культур удобренная органическими удобрениями,22
2021,Доля площади сельскохозяйственных культур удобренная органическими удобрениями,25
2022,Доля площади сельскохозяйственных культур удобренная органическими удобрениями,27
2023,Доля площади сельскохозяйственных культур удобренная органическими удобрениями,25
2024,Доля площади сельскохозяйственных культур удобренная органическими удобрениями,27
