Year,Территория,Возраст,Тип местности,UNIT_MEASURE,GeoCode,Value
2015,,,,На 100 000 живорождений,,38.5
2016,,,,На 100 000 живорождений,,30.3
2017,,,,На 100 000 живорождений,,31.2
2018,,,,На 100 000 живорождений,,29.8
2019,,,,На 100 000 живорождений,,24.8
2020,,,,На 100 000 живорождений,,42.4
2021,,,,На 100 000 живорождений,,37.1
2022,,,,На 100 000 живорождений,,28.1
2023,,,,На 100 000 живорождений,,26.0
2024,,,,На 100 000 живорождений,,25.7
2015,Баткенская область,,,На 100 000 живорождений,KG05,32.6
2016,Баткенская область,,,На 100 000 живорождений,KG05,41.9
2017,Баткенская область,,,На 100 000 живорождений,KG05,59.4
2018,Баткенская область,,,На 100 000 живорождений,KG05,26.9
2019,Баткенская область,,,На 100 000 живорождений,KG05,32.3
2020,Баткенская область,,,На 100 000 живорождений,KG05,42.4
2021,Баткенская область,,,На 100 000 живорождений,KG05,45.7
2022,Баткенская область,,,На 100 000 живорождений,KG05,34.9
2023,Баткенская область,,,На 100 000 живорождений,KG05,14.5
2024,Баткенская область,,,На 100 000 живорождений,KG05,30.4
2015,Джалал-Абадская область,,,На 100 000 живорождений,KG03,56.4
2016,Джалал-Абадская область,,,На 100 000 живорождений,KG03,33.5
2017,Джалал-Абадская область,,,На 100 000 живорождений,KG03,50.3
2018,Джалал-Абадская область,,,На 100 000 живорождений,KG03,38.2
2019,Джалал-Абадская область,,,На 100 000 живорождений,KG03,34.1
2020,Джалал-Абадская область,,,На 100 000 живорождений,KG03,53.2
2021,Джалал-Абадская область,,,На 100 000 живорождений,KG03,30.5
2022,Джалал-Абадская область,,,На 100 000 живорождений,KG03,28.7
2023,Джалал-Абадская область,,,На 100 000 живорождений,KG03,46.9
2024,Джалал-Абадская область,,,На 100 000 живорождений,KG03,30.6
2015,Иссык-Кульская область,,,На 100 000 живорождений,KG02,17.8
2016,Иссык-Кульская область,,,На 100 000 живорождений,KG02,43.4
2017,Иссык-Кульская область,,,На 100 000 живорождений,KG02,37.0
2018,Иссык-Кульская область,,,На 100 000 живорождений,KG02,62.3
2019,Иссык-Кульская область,,,На 100 000 живорождений,KG02,18.9
2020,Иссык-Кульская область,,,На 100 000 живорождений,KG02,100.6
2021,Иссык-Кульская область,,,На 100 000 живорождений,KG02,103.5
2022,Иссык-Кульская область,,,На 100 000 живорождений,KG02,38.5
2023,Иссык-Кульская область,,,На 100 000 живорождений,KG02,26.5
2024,Иссык-Кульская область,,,На 100 000 живорождений,KG02,56.5
2015,Нарынская область,,,На 100 000 живорождений,KG04,30.6
2016,Нарынская область,,,На 100 000 живорождений,KG04,29.2
2018,Нарынская область,,,На 100 000 живорождений,KG04,135.9
2019,Нарынская область,,,На 100 000 живорождений,KG04,33.1
2020,Нарынская область,,,На 100 000 живорождений,KG04,52.6
2021,Нарынская область,,,На 100 000 живорождений,KG04,167.5
2022,Нарынская область,,,На 100 000 живорождений,KG04,48.0
2015,Ошская область,,,На 100 000 живорождений,KG06,30.6
2016,Ошская область,,,На 100 000 живорождений,KG06,27.7
2017,Ошская область,,,На 100 000 живорождений,KG06,25.6
2018,Ошская область,,,На 100 000 живорождений,KG06,22.2
2019,Ошская область,,,На 100 000 живорождений,KG06,25.5
2020,Ошская область,,,На 100 000 живорождений,KG06,24.5
2021,Ошская область,,,На 100 000 живорождений,KG06,33.3
2022,Ошская область,,,На 100 000 живорождений,KG06,25.6
2023,Ошская область,,,На 100 000 живорождений,KG06,30.2
2024,Ошская область,,,На 100 000 живорождений,KG06,7.3
2015,Таласская область,,,На 100 000 живорождений,KG07,15.1
2019,Таласская область,,,На 100 000 живорождений,KG07,33.3
2020,Таласская область,,,На 100 000 живорождений,KG07,51.9
2021,Таласская область,,,На 100 000 живорождений,KG07,37.1
2022,Таласская область,,,На 100 000 живорождений,KG07,104.5
2023,Таласская область,,,На 100 000 живорождений,KG07,63.9
2024,Таласская область,,,На 100 000 живорождений,KG07,70.1
2015,Чуйская область,,,На 100 000 живорождений,KG08,49.2
2016,Чуйская область,,,На 100 000 живорождений,KG08,43.5
2017,Чуйская область,,,На 100 000 живорождений,KG08,22.9
2018,Чуйская область,,,На 100 000 живорождений,KG08,20.1
2019,Чуйская область,,,На 100 000 живорождений,KG08,36.6
2020,Чуйская область,,,На 100 000 живорождений,KG08,46.1
2021,Чуйская область,,,На 100 000 живорождений,KG08,32.5
2022,Чуйская область,,,На 100 000 живорождений,KG08,23.5
2023,Чуйская область,,,На 100 000 живорождений,KG08,28.1
2024,Чуйская область,,,На 100 000 живорождений,KG08,50.2
2015,г. Бишкек,,,На 100 000 живорождений,KG11,30.5
