Year,Reference area,Sex,Value
2007,,,35.3
2008,,,31.5
2009,,,29.3
2010,,,26.5
2011,,,24.54
2012,,,23.4
2013,,,23.29
2014,,,23.14
2015,,,21.5
2016,,,19.8
2017,,,18.5
2018,,,17.6
2019,,,17.5
2020,,,16.7
2010,,Male,29.2
2011,,Male,27.13
2012,,Male,25.94
2013,,Male,25.72
2014,,Male,24.9
2015,,Male,23.2
2016,,Male,21.1
2017,,Male,20.3
2018,,Male,19.4
2019,,Male,19.2
2020,,Male,17.8
2010,,Female,23.6
2011,,Female,21.81
2012,,Female,20.78
2013,,Female,20.72
2014,,Female,21.2
2015,,Female,19.6
2016,,Female,18.4
2017,,Female,16.6
2018,,Female,15.6
2019,,Female,15.8
2020,,Female,15.6
2007,Batken,,40.3
2008,Batken,,39.7
2009,Batken,,33.7
2010,Batken,,34.3
2011,Batken,,28.73
2012,Batken,,25.9
2013,Batken,,25.75
2014,Batken,,23.6
2015,Batken,,21.8
2016,Batken,,18.8
2017,Batken,,18.6
2018,Batken,,14.9
2019,Batken,,17.7
2020,Batken,,16.7
2010,Batken,Male,38.0
2011,Batken,Male,30.39
2012,Batken,Male,30.3
2013,Batken,Male,28.79
2014,Batken,Male,26.2
2015,Batken,Male,23.3
2016,Batken,Male,20.0
2017,Batken,Male,19.5
2018,Batken,Male,16.0
2019,Batken,Male,18.5
2020,Batken,Male,17.1
2010,Batken,Female,30.5
2011,Batken,Female,26.96
2012,Batken,Female,21.3
2013,Batken,Female,22.48
2014,Batken,Female,20.8
2015,Batken,Female,20.1
2016,Batken,Female,18.4
2017,Batken,Female,17.7
2018,Batken,Female,13.7
2019,Batken,Female,16.8
2020,Batken,Female,16.3
2007,Jalal-Abad,,30.8
2008,Jalal-Abad,,26.2
2009,Jalal-Abad,,24.5
2010,Jalal-Abad,,21.9
2011,Jalal-Abad,,20.65
2012,Jalal-Abad,,19.8
2013,Jalal-Abad,,20.95
2014,Jalal-Abad,,21.9
2015,Jalal-Abad,,21.1
2016,Jalal-Abad,,19.8
2017,Jalal-Abad,,17.2
2018,Jalal-Abad,,15.7
2019,Jalal-Abad,,16.2
2020,Jalal-Abad,,15.5
2010,Jalal-Abad,Male,23.8
2011,Jalal-Abad,Male,23.26
2012,Jalal-Abad,Male,22.4
2013,Jalal-Abad,Male,21.53
2014,Jalal-Abad,Male,23.3
2015,Jalal-Abad,Male,22.5
2016,Jalal-Abad,Male,21.0
2017,Jalal-Abad,Male,18.9
2018,Jalal-Abad,Male,16.3
2019,Jalal-Abad,Male,16.6
2020,Jalal-Abad,Male,16.2
2010,Jalal-Abad,Female,19.9
2011,Jalal-Abad,Female,17.91
2012,Jalal-Abad,Female,17.1
2013,Jalal-Abad,Female,20.34
2014,Jalal-Abad,Female,20.3
2015,Jalal-Abad,Female,19.6
2016,Jalal-Abad,Female,18.4
2017,Jalal-Abad,Female,15.4
2018,Jalal-Abad,Female,15.0
2019,Jalal-Abad,Female,15.7
2020,Jalal-Abad,Female,14.7
2007,Issyk-Kul,,28.9
2008,Issyk-Kul,,28.0
2009,Issyk-Kul,,24.9
2010,Issyk-Kul,,22.3
2011,Issyk-Kul,,24.81
2012,Issyk-Kul,,24.0
2013,Issyk-Kul,,19.47
2014,Issyk-Kul,,16.9
2015,Issyk-Kul,,18.8
2016,Issyk-Kul,,17.8
2017,Issyk-Kul,,15.2
2018,Issyk-Kul,,14.3
2019,Issyk-Kul,,18.3
2020,Issyk-Kul,,14.3
2010,Issyk-Kul,Male,26.2
2011,Issyk-Kul,Male,29.68
2012,Issyk-Kul,Male,25.2
2013,Issyk-Kul,Male,21.37
2014,Issyk-Kul,Male,20.6
2015,Issyk-Kul,Male,20.7
2016,Issyk-Kul,Male,12.8
2017,Issyk-Kul,Male,18.1
2018,Issyk-Kul,Male,16.3
2019,Issyk-Kul,Male,20.8
2020,Issyk-Kul,Male,14.8
2010,Issyk-Kul,Female,18.3
2011,Issyk-Kul,Female,19.8
2012,Issyk-Kul,Female,22.8
2013,Issyk-Kul,Female,17.49
2014,Issyk-Kul,Female,13.1
2015,Issyk-Kul,Female,16.7
2016,Issyk-Kul,Female,16.8
2017,Issyk-Kul,Female,12.0
2018,Issyk-Kul,Female,12.3
2019,Issyk-Kul,Female,15.6
2020,Issyk-Kul,Female,13.8
2007,Naryn,,33.9
2008,Naryn,,30.1
