Year,Территория,Пол,GeoCode,Value
2007,,,,21.062709
2008,,,,19.633713
2009,,,,18.141025
2010,,,,16.397145
2011,,,,15.346363
2012,,,,14.627093
2013,,,,14.891975
2014,,,,15.641512
2015,,,,13.997993
2016,,,,12.670713
2017,,,,11.795339
2018,,,,11.989553
2019,,,,11.793595
2020,,,,11.7
2021,,,,11.9
2022,,,,10.071559
2010,,Мужчины,,18.289259
2011,,Мужчины,,16.768074
2012,,Мужчины,,16.123559
2013,,Мужчины,,16.540714
2014,,Мужчины,,16.894648
2015,,Мужчины,,15.428234
2016,,Мужчины,,13.418192
2017,,Мужчины,,13.094077
2018,,Мужчины,,13.215508
2019,,Мужчины,,12.876697
2020,,Мужчины,,12.5
2021,,Мужчины,,13.1
2022,,Мужчины,,10.551906
2010,,Женщины,,14.412899
2011,,Женщины,,13.848667
2012,,Женщины,,13.046652
2013,,Женщины,,13.148844
2014,,Женщины,,14.310655
2015,,Женщины,,12.461613
2016,,Женщины,,11.881394
2017,,Женщины,,10.42155
2018,,Женщины,,10.694288
2019,,Женщины,,10.658766
2020,,Женщины,,11.0
2021,,Женщины,,10.6
2022,,Женщины,,9.561961
2007,Баткенская область,,KG05,20.020582
2008,Баткенская область,,KG05,20.371252
2009,Баткенская область,,KG05,17.752959
2010,Баткенская область,,KG05,17.905103
2011,Баткенская область,,KG05,15.911964
2012,Баткенская область,,KG05,13.333333
2013,Баткенская область,,KG05,13.29229
2014,Баткенская область,,KG05,12.498302
2015,Баткенская область,,KG05,11.21983
2016,Баткенская область,,KG05,10.61082
2017,Баткенская область,,KG05,10.611457
2018,Баткенская область,,KG05,9.340142
2019,Баткенская область,,KG05,10.465116
2020,Баткенская область,,KG05,11.1
2021,Баткенская область,,KG05,11.0
2022,Баткенская область,,KG05,8.274751
2010,Баткенская область,Мужчины,KG05,19.501466
2011,Баткенская область,Мужчины,KG05,16.975975
2012,Баткенская область,Мужчины,KG05,15.115129
2013,Баткенская область,Мужчины,KG05,15.365952
2014,Баткенская область,Мужчины,KG05,14.723281
2015,Баткенская область,Мужчины,KG05,12.076991
2016,Баткенская область,Мужчины,KG05,10.410959
2017,Баткенская область,Мужчины,KG05,11.74594
2018,Баткенская область,Мужчины,KG05,10.39501
2019,Баткенская область,Мужчины,KG05,10.332951
2020,Баткенская область,Мужчины,KG05,11.9
2021,Баткенская область,Мужчины,KG05,10.0
2022,Баткенская область,Мужчины,KG05,7.632509
2010,Баткенская область,Женщины,KG05,16.251519
2011,Баткенская область,Женщины,KG05,14.773777
2012,Баткенская область,Женщины,KG05,11.456628
2013,Баткенская область,Женщины,KG05,11.054545
2014,Баткенская область,Женщины,KG05,10.119466
2015,Баткенская область,Женщины,KG05,10.296708
2016,Баткенская область,Женщины,KG05,10.818505
2017,Баткенская область,Женщины,KG05,9.422492
2018,Баткенская область,Женщины,KG05,8.210409
2019,Баткенская область,Женщины,KG05,10.600707
2020,Баткенская область,Женщины,KG05,10.2
2021,Баткенская область,Женщины,KG05,12.0
2022,Баткенская область,Женщины,KG05,8.965203
2007,Джалал-Абадская область,,KG03,17.491993
2008,Джалал-Абадская область,,KG03,13.828495
2009,Джалал-Абадская область,,KG03,13.109231
2010,Джалал-Абадская область,,KG03,11.41671
2011,Джалал-Абадская область,,KG03,11.64604
2012,Джалал-Абадская область,,KG03,11.539979
2013,Джалал-Абадская область,,KG03,13.183481
2014,Джалал-Абадская область,,KG03,14.415326
2015,Джалал-Абадская область,,KG03,12.659814
2016,Джалал-Абадская область,,KG03,11.493097
2017,Джалал-Абадская область,,KG03,9.918574
2018,Джалал-Абадская область,,KG03,10.180384
2019,Джалал-Абадская область,,KG03,9.519085
2020,Джалал-Абадская область,,KG03,8.7
2021,Джалал-Абадская область,,KG03,10.2
2022,Джалал-Абадская область,,KG03,8.583082
2010,Джалал-Абадская область,Мужчины,KG03,12.663344
2011,Джалал-Абадская область,Мужчины,KG03,13.039247
2012,Джалал-Абадская область,Мужчины,KG03,13.211904
2013,Джалал-Абадская область,Мужчины,KG03,13.028055
2014,Джалал-Абадская область,Мужчины,KG03,15.585048
2015,Джалал-Абадская область,Мужчины,KG03,13.350171
2016,Джалал-Абадская область,Мужчины,KG03,11.935821
2017,Джалал-Абадская область,Мужчины,KG03,10.46746
2018,Джалал-Абадская область,Мужчины,KG03,10.487775
2019,Джалал-Абадская область,Мужчины,KG03,9.921735
2020,Джалал-Абадская область,Мужчины,KG03,8.8
2021,Джалал-Абадская область,Мужчины,KG03,10.5
2022,Джалал-Абадская область,Мужчины,KG03,10.27538
2010,Джалал-Абадская область,Женщины,KG03,10.100292
2011,Джалал-Абадская область,Женщины,KG03,10.187449
2012,Джалал-Абадская область,Женщины,KG03,9.781436
2013,Джалал-Абадская область,Женщины,KG03,13.345915
2014,Джалал-Абадская область,Женщины,KG03,13.151838
2015,Джалал-Абадская область,Женщины,KG03,11.908657
2016,Джалал-Абадская область,Женщины,KG03,11.025358
2017,Джалал-Абадская область,Женщины,KG03,9.334808
2018,Джалал-Абадская область,Женщины,KG03,9.85704
2019,Джалал-Абадская область,Женщины,KG03,9.111333
2020,Джалал-Абадская область,Женщины,KG03,8.6
2021,Джалал-Абадская область,Женщины,KG03,10.0
2022,Джалал-Абадская область,Женщины,KG03,6.766198
2007,Иссык-Кульская область,,KG02,17.433752
2008,Иссык-Кульская область,,KG02,18.44146
2009,Иссык-Кульская область,,KG02,16.389014
2010,Иссык-Кульская область,,KG02,15.933099
2011,Иссык-Кульская область,,KG02,16.267429
2012,Иссык-Кульская область,,KG02,14.75265
2013,Иссык-Кульская область,,KG02,11.261052
2014,Иссык-Кульская область,,KG02,9.306183
2015,Иссык-Кульская область,,KG02,12.182109
2016,Иссык-Кульская область,,KG02,8.420139
2017,Иссык-Кульская область,,KG02,9.423503
2018,Иссык-Кульская область,,KG02,8.450454
2019,Иссык-Кульская область,,KG02,11.651037
2020,Иссык-Кульская область,,KG02,9.7
2021,Иссык-Кульская область,,KG02,19.4
2022,Иссык-Кульская область,,KG02,9.081847
2010,Иссык-Кульская область,Мужчины,KG02,19.343696
2011,Иссык-Кульская область,Мужчины,KG02,19.60438
2012,Иссык-Кульская область,Мужчины,KG02,15.392688
2013,Иссык-Кульская область,Мужчины,KG02,11.231884
2014,Иссык-Кульская область,Мужчины,KG02,10.857763
2015,Иссык-Кульская область,Мужчины,KG02,13.852814
2016,Иссык-Кульская область,Мужчины,KG02,7.378174
2017,Иссык-Кульская область,Мужчины,KG02,11.222164
2018,Иссык-Кульская область,Мужчины,KG02,8.912967
2019,Иссык-Кульская область,Мужчины,KG02,13.681138
2020,Иссык-Кульская область,Мужчины,KG02,10.5
2021,Иссык-Кульская область,Мужчины,KG02,22.3
2022,Иссык-Кульская область,Мужчины,KG02,9.018682
2010,Иссык-Кульская область,Женщины,KG02,12.387792
2011,Иссык-Кульская область,Женщины,KG02,12.848353
2012,Иссык-Кульская область,Женщины,KG02,14.09959
2013,Иссык-Кульская область,Женщины,KG02,11.291866
2014,Иссык-Кульская область,Женщины,KG02,7.69664
2015,Иссык-Кульская область,Женщины,KG02,10.418571
2016,Иссык-Кульская область,Женщины,KG02,9.486999
2017,Иссык-Кульская область,Женщины,KG02,7.420426
2018,Иссык-Кульская область,Женщины,KG02,7.971014
2019,Иссык-Кульская область,Женщины,KG02,9.458128
2020,Иссык-Кульская область,Женщины,KG02,8.7
2021,Иссык-Кульская область,Женщины,KG02,16.4
2022,Иссык-Кульская область,Женщины,KG02,9.149131
2007,Нарынская область,,KG04,17.912773
2008,Нарынская область,,KG04,16.943931
2009,Нарынская область,,KG04,14.464366
2010,Нарынская область,,KG04,12.251149
2011,Нарынская область,,KG04,10.273497
2012,Нарынская область,,KG04,12.369975
2013,Нарынская область,,KG04,11.58413
2014,Нарынская область,,KG04,12.209828
2015,Нарынская область,,KG04,8.72093
2016,Нарынская область,,KG04,11.227763
2017,Нарынская область,,KG04,9.984399
2018,Нарынская область,,KG04,8.154636
2019,Нарынская область,,KG04,6.629102
2020,Нарынская область,,KG04,9.6
2021,Нарынская область,,KG04,9.4
2022,Нарынская область,,KG04,8.027038
2010,Нарынская область,Мужчины,KG04,12.803051
2011,Нарынская область,Мужчины,KG04,12.9835
2012,Нарынская область,Мужчины,KG04,13.358779
2013,Нарынская область,Мужчины,KG04,12.704687
2014,Нарынская область,Мужчины,KG04,12.24246
2015,Нарынская область,Мужчины,KG04,11.589896
2016,Нарынская область,Мужчины,KG04,11.428571
2017,Нарынская область,Мужчины,KG04,12.080942
2018,Нарынская область,Мужчины,KG04,8.316008
2019,Нарынская область,Мужчины,KG04,7.545932
2020,Нарынская область,Мужчины,KG04,10.7
2021,Нарынская область,Мужчины,KG04,11.4
2022,Нарынская область,Мужчины,KG04,8.823529
2010,Нарынская область,Женщины,KG04,11.67426
2011,Нарынская область,Женщины,KG04,7.415859
2012,Нарынская область,Женщины,KG04,11.31747
2013,Нарынская область,Женщины,KG04,10.404281
2014,Нарынская область,Женщины,KG04,12.17656
2015,Нарынская область,Женщины,KG04,5.676443
2016,Нарынская область,Женщины,KG04,11.018463
2017,Нарынская область,Женщины,KG04,7.744434
2018,Нарынская область,Женщины,KG04,7.987711
2019,Нарынская область,Женщины,KG04,5.693235
2020,Нарынская область,Женщины,KG04,8.6
2021,Нарынская область,Женщины,KG04,7.3
2022,Нарынская область,Женщины,KG04,7.22175
2007,Ошская область,,KG06,12.608002
2008,Ошская область,,KG06,13.417951
2009,Ошская область,,KG06,10.630954
2010,Ошская область,,KG06,10.695524
2011,Ошская область,,KG06,8.214286
2012,Ошская область,,KG06,6.444122
2013,Ошская область,,KG06,5.10597
2014,Ошская область,,KG06,5.045162
2015,Ошская область,,KG06,4.312545
2016,Ошская область,,KG06,3.485959
2017,Ошская область,,KG06,3.098263
2018,Ошская область,,KG06,3.362699
2019,Ошская область,,KG06,2.83246
2020,Ошская область,,KG06,3.9
2021,Ошская область,,KG06,3.1
2022,Ошская область,,KG06,3.421326
2010,Ошская область,Мужчины,KG06,12.92517
2011,Ошская область,Мужчины,KG06,9.329007
2012,Ошская область,Мужчины,KG06,7.033536
2013,Ошская область,Мужчины,KG06,5.511636
2014,Ошская область,Мужчины,KG06,5.445414
2015,Ошская область,Мужчины,KG06,5.105872
2016,Ошская область,Мужчины,KG06,3.85274
2017,Ошская область,Мужчины,KG06,3.450003
2018,Ошская область,Мужчины,KG06,4.054054
2019,Ошская область,Мужчины,KG06,3.411467
2020,Ошская область,Мужчины,KG06,4.1
2021,Ошская область,Мужчины,KG06,2.9
2022,Ошская область,Мужчины,KG06,3.480202
2010,Ошская область,Женщины,KG06,8.387221
2011,Ошская область,Женщины,KG06,7.037082
2012,Ошская область,Женщины,KG06,5.816045
2013,Ошская область,Женщины,KG06,4.679731
2014,Ошская область,Женщины,KG06,4.62344
2015,Ошская область,Женщины,KG06,3.487585
2016,Ошская область,Женщины,KG06,3.093315
2017,Ошская область,Женщины,KG06,2.73097
2018,Ошская область,Женщины,KG06,2.631127
2019,Ошская область,Женщины,KG06,2.218201
2020,Ошская область,Женщины,KG06,3.6
2021,Ошская область,Женщины,KG06,3.4
2022,Ошская область,Женщины,KG06,3.359846
2007,Таласская область,,KG07,28.86102
2008,Таласская область,,KG07,24.548244
2009,Таласская область,,KG07,25.589948
2010,Таласская область,,KG07,19.147084
2011,Таласская область,,KG07,16.905249
2012,Таласская область,,KG07,15.341309
2013,Таласская область,,KG07,19.851852
2014,Таласская область,,KG07,16.656752
2015,Таласская область,,KG07,12.700333
2016,Таласская область,,KG07,12.33604
2017,Таласская область,,KG07,12.267905
2018,Таласская область,,KG07,16.684859
2019,Таласская область,,KG07,14.816048
2020,Таласская область,,KG07,20.6
2021,Таласская область,,KG07,15.0
2022,Таласская область,,KG07,12.808073
2010,Таласская область,Мужчины,KG07,22.151899
2011,Таласская область,Мужчины,KG07,19.295958
2012,Таласская область,Мужчины,KG07,17.127072
2013,Таласская область,Мужчины,KG07,23.941606
2014,Таласская область,Мужчины,KG07,19.312695
2015,Таласская область,Мужчины,KG07,17.266608
2016,Таласская область,Мужчины,KG07,11.342735
2017,Таласская область,Мужчины,KG07,12.442698
2018,Таласская область,Мужчины,KG07,19.476567
2019,Таласская область,Мужчины,KG07,14.964216
2020,Таласская область,Мужчины,KG07,23.6
2021,Таласская область,Мужчины,KG07,17.3
2022,Таласская область,Мужчины,KG07,14.98847
2010,Таласская область,Женщины,KG07,16.091281
2011,Таласская область,Женщины,KG07,14.285714
2012,Таласская область,Женщины,KG07,13.48637
2013,Таласская область,Женщины,KG07,15.639098
2014,Таласская область,Женщины,KG07,13.737121
2015,Таласская область,Женщины,KG07,7.819831
2016,Таласская область,Женщины,KG07,13.367282
2017,Таласская область,Женщины,KG07,12.08865
2018,Таласская область,Женщины,KG07,13.751199
2019,Таласская область,Женщины,KG07,14.660757
2020,Таласская область,Женщины,KG07,17.5
2021,Таласская область,Женщины,KG07,12.7
2022,Таласская область,Женщины,KG07,10.584085
2007,Чуйская область,,KG08,21.918468
2008,Чуйская область,,KG08,19.965577
2009,Чуйская область,,KG08,18.539076
2010,Чуйская область,,KG08,16.0724
2011,Чуйская область,,KG08,15.37476
2012,Чуйская область,,KG08,14.294878
2013,Чуйская область,,KG08,14.537283
