Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,GeoCode,Value
2018,,,,,,,,8.3
2019,,,,,,,,8.1
2020,,,,,,,,7.6
2021,,,,,,,,6.3
2022,,,,,,,,5.650482
2018,,Мужчины,,,,,,17.7
2019,,Мужчины,,,,,,17.2
2020,,Мужчины,,,,,,16.0
2021,,Мужчины,,,,,,13.4
2022,,Мужчины,,,,,,11.990553
2018,,Женщины,,,,,,0.5
2019,,Женщины,,,,,,0.4
2020,,Женщины,,,,,,0.5
2021,,Женщины,,,,,,0.4
2022,,Женщины,,,,,,0.366864
2018,,,,Городская,,,,6.4
2019,,,,Городская,,,,6.2
2020,,,,Городская,,,,6.2
2021,,,,Городская,,,,5.3
2022,,,,Городская,,,,4.758508
2018,,,,Сельская,,,,9.5
2019,,,,Сельская,,,,9.2
2020,,,,Сельская,,,,8.5
2021,,,,Сельская,,,,6.9
2022,,,,Сельская,,,,6.214721
2018,Баткенская область,,,,,,KG05,10.8
2019,Баткенская область,,,,,,KG05,10.9
2020,Баткенская область,,,,,,KG05,9.8
2021,Баткенская область,,,,,,KG05,9.1
2022,Баткенская область,,,,,,KG05,6.629973
2018,Джалал-Абадская область,,,,,,KG03,3.4
2019,Джалал-Абадская область,,,,,,KG03,4.4
2020,Джалал-Абадская область,,,,,,KG03,2.8
2021,Джалал-Абадская область,,,,,,KG03,1.9
2022,Джалал-Абадская область,,,,,,KG03,1.004535
2018,Иссык-Кульская область,,,,,,KG02,17.9
2019,Иссык-Кульская область,,,,,,KG02,17.0
2020,Иссык-Кульская область,,,,,,KG02,15.7
2021,Иссык-Кульская область,,,,,,KG02,15.2
2022,Иссык-Кульская область,,,,,,KG02,15.321097
2018,Нарынская область,,,,,,KG04,14.7
2019,Нарынская область,,,,,,KG04,13.8
2020,Нарынская область,,,,,,KG04,14.2
2021,Нарынская область,,,,,,KG04,12.7
2022,Нарынская область,,,,,,KG04,11.932655
2018,Ошская область,,,,,,KG06,6.7
2019,Ошская область,,,,,,KG06,6.0
2020,Ошская область,,,,,,KG06,6.2
2021,Ошская область,,,,,,KG06,4.3
2022,Ошская область,,,,,,KG06,4.402496
2018,Таласская область,,,,,,KG07,13.0
2019,Таласская область,,,,,,KG07,13.7
2020,Таласская область,,,,,,KG07,13.5
2021,Таласская область,,,,,,KG07,13.0
2022,Таласская область,,,,,,KG07,13.275842
2018,Чуйская область,,,,,,KG08,12.2
2019,Чуйская область,,,,,,KG08,10.5
2020,Чуйская область,,,,,,KG08,9.4
2021,Чуйская область,,,,,,KG08,7.8
2022,Чуйская область,,,,,,KG08,5.595323
2018,г. Бишкек,,,,,,KG11,6.2
2019,г. Бишкек,,,,,,KG11,6.3
2020,г. Бишкек,,,,,,KG11,7.3
2021,г. Бишкек,,,,,,KG11,5.5
2022,г. Бишкек,,,,,,KG11,5.756194
2018,г. Ош,,,,,,KG21,1.8
2019,г. Ош,,,,,,KG21,1.6
2020,г. Ош,,,,,,KG21,1.3
2021,г. Ош,,,,,,KG21,1.2
2022,г. Ош,,,,,,KG21,0.912601
2018,,,от 15 до 24 лет,,,,,0.4
2019,,,от 15 до 24 лет,,,,,0.3
2020,,,от 15 до 24 лет,,,,,0.4
2021,,,от 15 до 24 лет,,,,,0.1
2022,,,от 15 до 24 лет,,,,,0.125589
2018,,,от 25 до 54 лет,,,,,10.6
2019,,,от 25 до 54 лет,,,,,10.0
2020,,,от 25 до 54 лет,,,,,9.4
2021,,,от 25 до 54 лет,,,,,7.4
2022,,,от 25 до 54 лет,,,,,6.813728
2018,,,55 лет и старше,,,,,10.0
2019,,,55 лет и старше,,,,,10.2
2020,,,55 лет и старше,,,,,9.4
2021,,,55 лет и старше,,,,,9.0
2022,,,55 лет и старше,,,,,7.483512
2018,,,,,,Начальное образование,,2.8
2019,,,,,,Начальное образование,,3.4
2020,,,,,,Начальное образование,,2.8
2021,,,,,,Начальное образование,,1.5
2022,,,,,,Начальное образование,,1.069826
2018,,,,,,Первый этап среднего образования,,3.5
2019,,,,,,Первый этап среднего образования,,2.9
2020,,,,,,Первый этап среднего образования,,3.8
2021,,,,,,Первый этап среднего образования,,2.9
2022,,,,,,Первый этап среднего образования,,2.525977
2018,,,,,,Второй этап среднего образования,,9.8
2019,,,,,,Второй этап среднего образования,,9.3
2020,,,,,,Второй этап среднего образования,,8.8
2021,,,,,,Второй этап среднего образования,,7.4
2022,,,,,,Второй этап среднего образования,,6.901426
2018,,,,,,Послесреднее нетретичное образование,,11.7
2019,,,,,,Послесреднее нетретичное образование,,11.8
2020,,,,,,Послесреднее нетретичное образование,,10.8
2021,,,,,,Послесреднее нетретичное образование,,9.1
2022,,,,,,Послесреднее нетретичное образование,,7.909136
2018,,,,,,Короткий цикл третичного образования,,5.6
2019,,,,,,Короткий цикл третичного образования,,5.5
2020,,,,,,Короткий цикл третичного образования,,4.9
2021,,,,,,Короткий цикл третичного образования,,4.1
