Year,concept.REF_AREA,Value
2007,,941.0
2008,,953.0
2009,,954.0
2010,,965.0
2011,,951.0
2012,,962.0
2013,,969.0
2014,,958.0
2015,,966.0
2016,,961.0
2017,,934.0
2018,,945.0
2007,Баткен,934.0
2008,Баткен,968.0
2009,Баткен,954.0
2010,Баткен,968.0
2011,Баткен,967.0
2012,Баткен,983.0
2013,Баткен,977.0
2014,Баткен,989.0
2015,Баткен,986.0
2016,Баткен,981.0
2017,Баткен,967.0
2018,Баткен,966.0
2007,Джалал-Абадская область,936.0
2008,Джалал-Абадская область,956.0
2009,Джалал-Абадская область,959.0
2010,Джалал-Абадская область,959.0
2011,Джалал-Абадская область,942.0
2012,Джалал-Абадская область,959.0
2013,Джалал-Абадская область,978.0
2014,Джалал-Абадская область,948.0
2015,Джалал-Абадская область,961.0
2016,Джалал-Абадская область,958.0
2017,Джалал-Абадская область,938.0
2018,Джалал-Абадская область,961.0
2007,Иссык-Кульская область,939.0
2008,Иссык-Кульская область,952.0
2009,Иссык-Кульская область,953.0
2010,Иссык-Кульская область,972.0
2011,Иссык-Кульская область,936.0
2012,Иссык-Кульская область,969.0
2013,Иссык-Кульская область,973.0
2014,Иссык-Кульская область,913.0
2015,Иссык-Кульская область,980.0
2016,Иссык-Кульская область,959.0
2017,Иссык-Кульская область,961.0
2018,Иссык-Кульская область,950.0
2007,Нарынская область,944.0
2008,Нарынская область,952.0
2009,Нарынская область,953.0
2010,Нарынская область,968.0
2011,Нарынская область,955.0
2012,Нарынская область,974.0
2013,Нарынская область,980.0
2014,Нарынская область,976.0
2015,Нарынская область,972.0
2016,Нарынская область,968.0
2017,Нарынская область,970.0
2018,Нарынская область,948.0
2007,Ошская область,944.0
2008,Ошская область,945.0
2009,Ошская область,951.0
2010,Ошская область,955.0
2011,Ошская область,936.0
2012,Ошская область,930.0
2013,Ошская область,962.0
2014,Ошская область,983.0
2015,Ошская область,971.0
2016,Ошская область,985.0
2017,Ошская область,966.0
2018,Ошская область,958.0
2007,Таласская область,940.0
2008,Таласская область,948.0
2009,Таласская область,946.0
2010,Таласская область,968.0
2011,Таласская область,953.0
2012,Таласская область,960.0
2013,Таласская область,962.0
2014,Таласская область,934.0
2015,Таласская область,968.0
2016,Таласская область,952.0
2017,Таласская область,931.0
2018,Таласская область,953.0
2007,Чуй,940.0
2008,Чуй,955.0
2009,Чуй,955.0
2010,Чуй,963.0
2011,Чуй,968.0
2012,Чуй,976.0
2013,Чуй,963.0
2014,Чуй,960.0
2015,Чуй,970.0
2016,Чуй,975.0
2017,Чуй,918.0
2018,Чуй,925.0
2007,Бишкек (город),950.0
2008,Бишкек (город),949.0
2009,Бишкек (город),955.0
2010,Бишкек (город),968.0
2011,Бишкек (город),964.0
2012,Бишкек (город),972.0
2013,Бишкек (город),966.0
2014,Бишкек (город),937.0
2015,Бишкек (город),940.0
2016,Бишкек (город),905.0
2017,Бишкек (город),865.0
2018,Бишкек (город),903.0
2007,г. Ош,952.0
2008,г. Ош,967.0
2009,г. Ош,954.0
2010,г. Ош,957.0
2011,г. Ош,952.0
2012,г. Ош,985.0
2013,г. Ош,992.0
2014,г. Ош,960.0
2015,г. Ош,976.0
2016,г. Ош,967.0
2017,г. Ош,980.0
2018,г. Ош,952.0
2007,,98.8
2008,,99.1
2009,,98.9
2010,,98.3
2011,,97.2
2012,,97.7
2013,,987.0
2014,,95.6
2015,,99.1
2016,,97.0
2017,,94.7
2018,,962.0
2007,Баткен,99.2
2008,Баткен,990.0
2009,Баткен,99.9
2010,Баткен,97.2
2011,Баткен,95.7
2012,Баткен,1000.0
2013,Баткен,99.9
2014,Баткен,98.9
2015,Баткен,97.6
2016,Баткен,99.9
2017,Баткен,98.7
2018,Баткен,925.0
2007,Джалал-Абадская область,97.8
2008,Джалал-Абадская область,99.2
2009,Джалал-Абадская область,98.3
2010,Джалал-Абадская область,98.3
2011,Джалал-Абадская область,1000.0
2012,Джалал-Абадская область,990.0
2013,Джалал-Абадская область,99.6
2014,Джалал-Абадская область,91.7
2015,Джалал-Абадская область,1000.0
2016,Джалал-Абадская область,957.0
2017,Джалал-Абадская область,888.0
2018,Джалал-Абадская область,935.0
2007,Иссык-Кульская область,990.0
2008,Иссык-Кульская область,99.7
2009,Иссык-Кульская область,99.7
2010,Иссык-Кульская область,99.2
2011,Иссык-Кульская область,96.9
2012,Иссык-Кульская область,95.7
2013,Иссык-Кульская область,97.4
2014,Иссык-Кульская область,95.6
2015,Иссык-Кульская область,98.9
2016,Иссык-Кульская область,97.7
2017,Иссык-Кульская область,95.1
2018,Иссык-Кульская область,965.0
2007,Нарынская область,99.4
2008,Нарынская область,99.1
2009,Нарынская область,98.9
2010,Нарынская область,99.5
2011,Нарынская область,96.7
2012,Нарынская область,97.6
2013,Нарынская область,97.3
2014,Нарынская область,97.7
2015,Нарынская область,98.1
2016,Нарынская область,98.1
2017,Нарынская область,970.0
2018,Нарынская область,976.0
2007,Ошская область,98.9
2008,Ошская область,99.5
2009,Ошская область,99.8
2010,Ошская область,99.7
2011,Ошская область,94.7
2012,Ошская область,96.6
2013,Ошская область,97.9
2014,Ошская область,96.1
2015,Ошская область,990.0
2016,Ошская область,992.0
2017,Ошская область,968.0
2018,Ошская область,981.0
2007,Таласская область,98.6
2008,Таласская область,99.2
2009,Таласская область,97.6
2010,Таласская область,97.1
2011,Таласская область,97.7
2012,Таласская область,98.8
2013,Таласская область,97.7
2014,Таласская область,94.3
2015,Таласская область,97.1
2016,Таласская область,970.0
2017,Таласская область,95.6
2018,Таласская область,984.0
2007,Чуй,99.1
2008,Чуй,97.4
2009,Чуй,98.7
2010,Чуй,96.4
2011,Чуй,97.1
2012,Чуй,96.4
2013,Чуй,99.3
2014,Чуй,96.5
2015,Чуй,98.6
2016,Чуй,950.0
2017,Чуй,96.3
2018,Чуй,974.0
2007,Бишкек (город),99.8
2008,Бишкек (город),99.9
2009,Бишкек (город),98.6
2010,Бишкек (город),990.0
2011,Бишкек (город),97.4
2012,Бишкек (город),97.7
2013,Бишкек (город),98.4
2014,Бишкек (город),95.6
2015,Бишкек (город),998.0
2016,Бишкек (город),951.0
2017,Бишкек (город),917.0
2018,Бишкек (город),963.0
2007,г. Ош,98.8
2008,г. Ош,98.9
2009,г. Ош,98.2
2010,г. Ош,97.4
2011,г. Ош,99.7
2012,г. Ош,98.1
2013,г. Ош,98.7
2014,г. Ош,99.9
2015,г. Ош,99.7
2016,г. Ош,96.8
2017,г. Ош,97.7
2018,г. Ош,994.0
2015,,968.0
2016,,972.0
2017,,942.0
2018,,920.0
2015,Баткен,973.0
2016,Баткен,993.0
2017,Баткен,963.0
2018,Баткен,946.0
2015,Джалал-Абадская область,973.0
2016,Джалал-Абадская область,959.0
2017,Джалал-Абадская область,945.0
2018,Джалал-Абадская область,938.0
2015,Иссык-Кульская область,982.0
2016,Иссык-Кульская область,964.0
2017,Иссык-Кульская область,963.0
2018,Иссык-Кульская область,950.0
2015,Нарынская область,968.0
2016,Нарынская область,967.0
2017,Нарынская область,970.0
2018,Нарынская область,951.0
2015,Ошская область,963.0
2016,Ошская область,988.0
2017,Ошская область,972.0
2018,Ошская область,921.0
2015,Таласская область,972.0
2016,Таласская область,961.0
2017,Таласская область,940.0
2018,Таласская область,960.0
2015,Чуй,976.0
2016,Чуй,987.0
2017,Чуй,926.0
2018,Чуй,921.0
2015,Бишкек (город),950.0
2016,Бишкек (город),948.0
2017,Бишкек (город),904.0
2018,Бишкек (город),834.0
2015,г. Ош,979.0
2016,г. Ош,968.0
2017,г. Ош,900.0
2018,г. Ош,939.0
