Year,Территория,GeoCode,Value
2016,,,96.5
2017,,,97.8
2018,,,99.1
2019,,,96.0
2020,,,96.5
2021,,,97.8
2022,,,96.4
2016,Баткенская область,KG05,97.9
2017,Баткенская область,KG05,99.1
2018,Баткенская область,KG05,96.5
2019,Баткенская область,KG05,98.8
2020,Баткенская область,KG05,98.5
2021,Баткенская область,KG05,97.9
2022,Баткенская область,KG05,96.4
2016,Джалал-Абадская область,KG03,94.4
2017,Джалал-Абадская область,KG03,97.1
2018,Джалал-Абадская область,KG03,97.6
2019,Джалал-Абадская область,KG03,95.1
2020,Джалал-Абадская область,KG03,96.8
2021,Джалал-Абадская область,KG03,96.8
2022,Джалал-Абадская область,KG03,97.9
2016,Иссык-Кульская область,KG02,95.8
2017,Иссык-Кульская область,KG02,97.1
2018,Иссык-Кульская область,KG02,99.4
2019,Иссык-Кульская область,KG02,91.1
2020,Иссык-Кульская область,KG02,92.3
2021,Иссык-Кульская область,KG02,97.0
2022,Иссык-Кульская область,KG02,95.3
2016,Нарынская область,KG04,94.9
2017,Нарынская область,KG04,93.7
2018,Нарынская область,KG04,95.5
2019,Нарынская область,KG04,94.7
2020,Нарынская область,KG04,96.6
2021,Нарынская область,KG04,95.5
2022,Нарынская область,KG04,93.8
2016,Ошская область,KG06,92.4
2017,Ошская область,KG06,94.8
2018,Ошская область,KG06,94.2
2019,Ошская область,KG06,96.1
2020,Ошская область,KG06,96.3
2021,Ошская область,KG06,97.1
2022,Ошская область,KG06,95.5
2016,Таласская область,KG07,95.3
2017,Таласская область,KG07,94.7
2018,Таласская область,KG07,95.5
2019,Таласская область,KG07,95.7
2020,Таласская область,KG07,94.7
2021,Таласская область,KG07,96.0
2022,Таласская область,KG07,94.4
2016,Чуйская область,KG08,98.0
2017,Чуйская область,KG08,97.5
2018,Чуйская область,KG08,99.4
2019,Чуйская область,KG08,89.0
2020,Чуйская область,KG08,94.7
2021,Чуйская область,KG08,97.6
2022,Чуйская область,KG08,95.0
2016,г. Бишкек,KG11,104.91
2017,г. Бишкек,KG11,105.21
2018,г. Бишкек,KG11,110.61
2019,г. Бишкек,KG11,104.01
2020,г. Бишкек,KG11,98.8
2021,г. Бишкек,KG11,100.0
2022,г. Бишкек,KG11,98.7
2016,г. Ош,KG21,95.4
2017,г. Ош,KG21,117.51
2018,г. Ош,KG21,106.51
2019,г. Ош,KG21,103.71
2020,г. Ош,KG21,98.8
2021,г. Ош,KG21,101.0
2022,г. Ош,KG21,97.3
