Year,Территория,Сноски на уровне наблюдения,Value
2011,,,25.4
2012,,,26.9
2013,,,28.0
2014,,,28.1
2015,,,28.6
2016,,,30.2
2017,,,31.3
2018,,,31.5
2019,,,31.5
2011,Баткенская область,,3.0
2012,Баткенская область,,3.7
2013,Баткенская область,,4.8
2014,Баткенская область,,5.2
2015,Баткенская область,,6.7
2016,Баткенская область,,6.3
2017,Баткенская область,,12.0
2018,Баткенская область,,9.1
2019,Баткенская область,,5.9
2011,Джалал-Абадская область,,8.8
2012,Джалал-Абадская область,,11.7
2013,Джалал-Абадская область,,5.5
2014,Джалал-Абадская область,,5.6
2015,Джалал-Абадская область,,5.6
2016,Джалал-Абадская область,,8.3
2017,Джалал-Абадская область,,14.4
2018,Джалал-Абадская область,,9.0
2019,Джалал-Абадская область,,6.2
2011,Иссык-Кульская область,,15.4
2012,Иссык-Кульская область,,18.8
2013,Иссык-Кульская область,,25.1
2014,Иссык-Кульская область,,24.2
2015,Иссык-Кульская область,,27.1
2016,Иссык-Кульская область,,30.0
2017,Иссык-Кульская область,,38.7
2018,Иссык-Кульская область,,41.4
2019,Иссык-Кульская область,,30.5
2011,Нарынская область,,5.6
2012,Нарынская область,,6.3
2013,Нарынская область,,12.5
2014,Нарынская область,,14.2
2015,Нарынская область,,13.7
2016,Нарынская область,,17.0
2017,Нарынская область,,17.8
2018,Нарынская область,,20.4
2019,Нарынская область,,21.8
2011,Ошская область,until 2013 y. including Osh city,8.3
2012,Ошская область,until 2013 y. including Osh city,7.8
2013,Ошская область,,0.2
2014,Ошская область,,0.7
2015,Ошская область,,0.5
2016,Ошская область,,0.4
2017,Ошская область,,0.0
2018,Ошская область,,0.5
2019,Ошская область,,1.7
2011,Таласская область,,9.0
2012,Таласская область,,7.8
2013,Таласская область,,5.1
2014,Таласская область,,5.5
2015,Таласская область,,6.5
2016,Таласская область,,6.5
2017,Таласская область,,6.1
2018,Таласская область,,6.0
2019,Таласская область,,6.2
2011,Чуйская область,,41.9
2012,Чуйская область,,46.1
2013,Чуйская область,,46.2
2014,Чуйская область,,49.2
2015,Чуйская область,,48.7
2016,Чуйская область,,51.0
2017,Чуйская область,,48.9
2018,Чуйская область,,56.8
2019,Чуйская область,,63.3
2011,г. Бишкек,,84.6
2012,г. Бишкек,,85.1
2013,г. Бишкек,,98.6
2014,г. Бишкек,,99.4
2015,г. Бишкек,,98.6
2016,г. Бишкек,,99.7
2017,г. Бишкек,,97.4
2018,г. Бишкек,,96.5
2019,г. Бишкек,,96.1
2013,г. Ош,,28.7
2014,г. Ош,,27.9
2015,г. Ош,,28.2
2016,г. Ош,,29.5
2017,г. Ош,,25.4
2018,г. Ош,,25.5
2019,г. Ош,,30.9
