Year,Территория,COMPOSITE_BREAKDOWN,GeoCode,Value
2010,,,,7562.0
2011,,,,8634.0
2012,,,,9544.4
2013,,,,8326.8
2014,,,,7658.0
2015,,,,7569.0
2016,,,,7333.7
2017,,,,7657.8
2018,,,,7758.0
2019,,,,8068.7
2020,,,,8017.9
2021,,,,7999.5
2022,,,,8741.9
2012,,Источник воды: природный,,9319.3
2013,,Источник воды: природный,,8218.9
2014,,Источник воды: природный,,7432.4
2015,,Источник воды: природный,,7225.2
2016,,Источник воды: природный,,7125.0
2017,,Источник воды: природный,,7433.2
2018,,Источник воды: природный,,7513.0
2019,,Источник воды: природный,,7813.9
2020,,Источник воды: природный,,7768.1
2021,,Источник воды: природный,,7746.6
2022,,Источник воды: природный,,8483.5
2010,,Источник воды: подземный горизонт,,324.1
2011,,Источник воды: подземный горизонт,,201.3
2012,,Источник воды: подземный горизонт,,224.9
2013,,Источник воды: подземный горизонт,,107.9
2014,,Источник воды: подземный горизонт,,225.6
2015,,Источник воды: подземный горизонт,,343.8
2016,,Источник воды: подземный горизонт,,208.7
2017,,Источник воды: подземный горизонт,,224.6
2018,,Источник воды: подземный горизонт,,245.0
2019,,Источник воды: подземный горизонт,,254.8
2020,,Источник воды: подземный горизонт,,249.8
2021,,Источник воды: подземный горизонт,,252.9
2022,,Источник воды: подземный горизонт,,258.4
2010,Баткенская область,,KG05,577.7
2011,Баткенская область,,KG05,586.7
2012,Баткенская область,,KG05,570.2
2013,Баткенская область,,KG05,967.7
2014,Баткенская область,,KG05,615.1
2015,Баткенская область,,KG05,643.1
2016,Баткенская область,,KG05,645.2
2017,Баткенская область,,KG05,632.8
2018,Баткенская область,,KG05,647.7
2019,Баткенская область,,KG05,663.1
2020,Баткенская область,,KG05,757.6
2021,Баткенская область,,KG05,690.4
2022,Баткенская область,,KG05,683.8
2010,Джалал-Абадская область,,KG03,695.2
2011,Джалал-Абадская область,,KG03,1197.2
2012,Джалал-Абадская область,,KG03,716.6
2013,Джалал-Абадская область,,KG03,716.6
2014,Джалал-Абадская область,,KG03,781.4
2015,Джалал-Абадская область,,KG03,985.7
2016,Джалал-Абадская область,,KG03,948.9
2017,Джалал-Абадская область,,KG03,936.2
2018,Джалал-Абадская область,,KG03,926.6
2019,Джалал-Абадская область,,KG03,1012.6
2020,Джалал-Абадская область,,KG03,984.4
2021,Джалал-Абадская область,,KG03,968.2
2022,Джалал-Абадская область,,KG03,1101.8
2010,Иссык-Кульская область,,KG02,555.3
2011,Иссык-Кульская область,,KG02,905.6
2012,Иссык-Кульская область,,KG02,966.4
2013,Иссык-Кульская область,,KG02,628.3
2014,Иссык-Кульская область,,KG02,628.5
2015,Иссык-Кульская область,,KG02,578.9
2016,Иссык-Кульская область,,KG02,524.6
2017,Иссык-Кульская область,,KG02,623.7
2018,Иссык-Кульская область,,KG02,621.1
2019,Иссык-Кульская область,,KG02,635.0
2020,Иссык-Кульская область,,KG02,646.2
2021,Иссык-Кульская область,,KG02,655.0
2022,Иссык-Кульская область,,KG02,714.9
2010,Нарынская область,,KG04,592.3
2011,Нарынская область,,KG04,590.7
2012,Нарынская область,,KG04,636.4
2013,Нарынская область,,KG04,644.2
2014,Нарынская область,,KG04,607.7
2015,Нарынская область,,KG04,620.5
2016,Нарынская область,,KG04,607.7
2017,Нарынская область,,KG04,614.8
2018,Нарынская область,,KG04,642.3
2019,Нарынская область,,KG04,658.5
2020,Нарынская область,,KG04,667.6
2021,Нарынская область,,KG04,691.2
2022,Нарынская область,,KG04,757.9
2010,Ошская область,,KG06,1290.3
2011,Ошская область,,KG06,1160.5
2012,Ошская область,,KG06,1439.2
2013,Ошская область,,KG06,1392.6
2014,Ошская область,,KG06,1133.0
2015,Ошская область,,KG06,1190.1
2016,Ошская область,,KG06,1125.2
2017,Ошская область,,KG06,1183.5
2018,Ошская область,,KG06,1144.2
2019,Ошская область,,KG06,1180.8
2020,Ошская область,,KG06,1147.0
2021,Ошская область,,KG06,1248.5
2022,Ошская область,,KG06,1327.6
2010,Таласская область,,KG07,828.8
2011,Таласская область,,KG07,884.7
2012,Таласская область,,KG07,904.0
2013,Таласская область,,KG07,938.2
2014,Таласская область,,KG07,882.9
2015,Таласская область,,KG07,1011.8
2016,Таласская область,,KG07,944.0
2017,Таласская область,,KG07,991.6
2018,Таласская область,,KG07,963.3
2019,Таласская область,,KG07,1021.3
2020,Таласская область,,KG07,961.1
2021,Таласская область,,KG07,959.1
2022,Таласская область,,KG07,1023.7
2010,Чуйская область,,KG08,2803.6
2011,Чуйская область,,KG08,3138.1
2012,Чуйская область,,KG08,4140.0
2013,Чуйская область,,KG08,3039.3
2014,Чуйская область,,KG08,2833.6
2015,Чуйская область,,KG08,2368.2
2016,Чуйская область,,KG08,2367.9
2017,Чуйская область,,KG08,2500.5
2018,Чуйская область,,KG08,2634.0
2019,Чуйская область,,KG08,2707.0
2020,Чуйская область,,KG08,2664.5
2021,Чуйская область,,KG08,2596.6
2022,Чуйская область,,KG08,2929.3
2010,г. Бишкек,,KG11,135.9
2011,г. Бишкек,,KG11,113.4
2012,г. Бишкек,,KG11,114.5
2013,г. Бишкек,,KG11,115.7
2014,г. Бишкек,,KG11,118.8
2015,г. Бишкек,,KG11,113.7
2016,г. Бишкек,,KG11,113.2
2017,г. Бишкек,,KG11,117.7
2018,г. Бишкек,,KG11,121.8
2019,г. Бишкек,,KG11,133.5
2020,г. Бишкек,,KG11,132.5
2021,г. Бишкек,,KG11,133.6
2022,г. Бишкек,,KG11,148.9
2010,г. Ош,,KG21,82.9
2011,г. Ош,,KG21,57.1
2012,г. Ош,,KG21,57.1
2013,г. Ош,,KG21,57.1
2014,г. Ош,,KG21,57.1
2015,г. Ош,,KG21,57.1
2016,г. Ош,,KG21,57.0
2017,г. Ош,,KG21,57.0
2018,г. Ош,,KG21,57.0
2019,г. Ош,,KG21,57.0
2020,г. Ош,,KG21,57.0
2021,г. Ош,,KG21,57.0
2022,г. Ош,,KG21,54.0
