Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Value
2016,,,,,,,76.7
2017,,,,,,,79.6
2018,,,,,,,75.7
2019,,,,,,,76.1
2016,,,,Городская,,,86.9
2017,,,,Городская,,,88.4
2018,,,,Городская,,,88.6
2019,,,,Городская,,,90.5
2016,,,,Сельская,,,71.1
2017,,,,Сельская,,,74.8
2018,,,,Сельская,,,68.7
2019,,,,Сельская,,,68.0
2016,,Мужчины,,,,,76.1
2017,,Мужчины,,,,,79.2
2018,,Мужчины,,,,,74.7
2019,,Мужчины,,,,,75.1
2016,,Женщины,,,,,77.2
2017,,Женщины,,,,,80.0
2018,,Женщины,,,,,76.6
2019,,Женщины,,,,,76.9
2016,Баткенская область,,,,,,75.8
2017,Баткенская область,,,,,,70.8
2018,Баткенская область,,,,,,71.8
2019,Баткенская область,,,,,,71.6
2016,Джалал-Абадская область,,,,,,76.7
2017,Джалал-Абадская область,,,,,,74.4
2018,Джалал-Абадская область,,,,,,64.4
2019,Джалал-Абадская область,,,,,,66.6
2016,Иссык-Кульская область,,,,,,47.3
2017,Иссык-Кульская область,,,,,,57.5
2018,Иссык-Кульская область,,,,,,67.0
2019,Иссык-Кульская область,,,,,,66.5
2016,Нарынская область,,,,,,77.4
2017,Нарынская область,,,,,,79.3
2018,Нарынская область,,,,,,79.0
2019,Нарынская область,,,,,,67.0
2016,Ошская область,,,,,,74.6
2017,Ошская область,,,,,,79.0
2018,Ошская область,,,,,,66.6
2019,Ошская область,,,,,,68.3
2016,Таласская область,,,,,,73.7
2017,Таласская область,,,,,,74.1
2018,Таласская область,,,,,,54.0
2019,Таласская область,,,,,,52.5
2016,Чуйская область,,,,,,72.3
2017,Чуйская область,,,,,,82.9
2018,Чуйская область,,,,,,88.4
2019,Чуйская область,,,,,,84.9
2016,г. Бишкек,,,,,,92.0
2017,г. Бишкек,,,,,,95.1
2018,г. Бишкек,,,,,,93.9
2019,г. Бишкек,,,,,,98.2
2016,г. Ош,,,,,,100.0
2017,г. Ош,,,,,,99.4
2018,г. Ош,,,,,,100.0
2019,г. Ош,,,,,,99.8
2016,,,до 6 лет,,,,75.9
2017,,,до 6 лет,,,,77.9
2018,,,до 6 лет,,,,75.3
2019,,,до 6 лет,,,,75.1
2016,,,от 7 до 14 лет,,,,76.3
2017,,,от 7 до 14 лет,,,,78.4
2018,,,от 7 до 14 лет,,,,75.8
2019,,,от 7 до 14 лет,,,,75.1
2016,,,от 15 до 28 лет,,,,77.1
2017,,,от 15 до 28 лет,,,,81.3
2018,,,от 15 до 28 лет,,,,74.3
2019,,,от 15 до 28 лет,,,,75.9
2016,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,76.8
2017,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,79.6
2018,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,76.5
2019,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,77.4
2016,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,76.8
2017,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,80.9
2018,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,75.8
2019,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,74.9
2016,,,,,,Начальное образование,75.2
2017,,,,,,Начальное образование,78.3
2018,,,,,,Начальное образование,75.1
2019,,,,,,Начальное образование,75.1
2016,,,,,,Первый этап среднего образования,80.2
2017,,,,,,Первый этап среднего образования,79.0
2018,,,,,,Первый этап среднего образования,76.5
2019,,,,,,Первый этап среднего образования,77.3
2016,,,,,,Второй этап среднего образования,75.0
2017,,,,,,Второй этап среднего образования,78.4
2018,,,,,,Второй этап среднего образования,72.1
2019,,,,,,Второй этап среднего образования,74.1
2016,,,,,,Послесреднее нетретичное образование,78.4
2017,,,,,,Послесреднее нетретичное образование,83.9
2018,,,,,,Послесреднее нетретичное образование,80.2
2019,,,,,,Послесреднее нетретичное образование,79.0
2016,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),79.9
2017,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),83.9
2018,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),82.1
2019,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),81.4
2016,,,,,Квинтиль 1 (беднейшие),,72.5
2017,,,,,Квинтиль 1 (беднейшие),,79.3
2018,,,,,Квинтиль 1 (беднейшие),,74.7
2019,,,,,Квинтиль 1 (беднейшие),,71.6
2016,,,,,Квинтиль 2,,77.3
2017,,,,,Квинтиль 2,,81.9
2018,,,,,Квинтиль 2,,74.8
2019,,,,,Квинтиль 2,,73.0
2016,,,,,Квинтиль 3,,77.7
2017,,,,,Квинтиль 3,,79.4
2018,,,,,Квинтиль 3,,75.4
2019,,,,,Квинтиль 3,,79.8
2016,,,,,Квинтиль 4,,78.2
2017,,,,,Квинтиль 4,,78.7
2018,,,,,Квинтиль 4,,75.5
2019,,,,,Квинтиль 4,,78.6
2016,,,,,Квинтиль 5 (богатейшие),,77.7
2017,,,,,Квинтиль 5 (богатейшие),,78.6
2018,,,,,Квинтиль 5 (богатейшие),,78.0
2019,,,,,Квинтиль 5 (богатейшие),,77.2
