Year,Территория,Пол,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Сноски на уровне наблюдения,GeoCode,Value
2018,,,,,,,,19.2
2019,,,,,,,,22.213001
2020,,,,,,,,22.1
2021,,,,,,,,20.609252
2022,,,,,,,,21.549331
2023,,,,,,,,19.934537
2018,,,Городская,,,,,47.5
2019,,,Городская,,,,,54.058947
2020,,,Городская,,,,,52.7
2021,,,Городская,,,,,49.918997
2022,,,Городская,,,,,52.326989
2023,,,Городская,,,,,50.663874
2018,,,Сельская,,,,,3.2
2019,,,Сельская,,,,,4.516183
2020,,,Сельская,,,,,5.0
2021,,,Сельская,,,,,3.234875
2022,,,Сельская,,,,,3.691633
2023,,,Сельская,,,,,2.370043
2019,,Мужчины,,,,,,20.4
2020,,Мужчины,,,,,,20.5
2021,,Мужчины,,,,,,19.0
2022,,Мужчины,,,,,,20.145702
2023,,Мужчины,,,,,,18.286297
2019,,Женщины,,,,,,23.8
2020,,Женщины,,,,,,23.6
2021,,Женщины,,,,,,22.0
2022,,Женщины,,,,,,22.81377
2023,,Женщины,,,,,,21.435728
2018,Баткенская область,,,,,,KG05,2.8
2019,Баткенская область,,,,,,KG05,5.864812
2020,Баткенская область,,,,,,KG05,4.8
2021,Баткенская область,,,,,,KG05,5.15599
2022,Баткенская область,,,,,,KG05,6.330024
2023,Баткенская область,,,,,,KG05,5.320808
2018,Джалал-Абадская область,,,,,,KG03,15.9
2019,Джалал-Абадская область,,,,,,KG03,13.680777
2020,Джалал-Абадская область,,,,,,KG03,15.8
2021,Джалал-Абадская область,,,,,,KG03,13.633825
2022,Джалал-Абадская область,,,,,,KG03,14.956994
2023,Джалал-Абадская область,,,,,,KG03,16.243665
2018,Иссык-Кульская область,,,,,,KG02,13.6
2019,Иссык-Кульская область,,,,,,KG02,12.890062
2020,Иссык-Кульская область,,,,,,KG02,13.5
2021,Иссык-Кульская область,,,,,,KG02,11.55279
2022,Иссык-Кульская область,,,,,,KG02,10.216784
2023,Иссык-Кульская область,,,,,,KG02,7.657923
2018,Нарынская область,,,,,,KG04,7.1
2019,Нарынская область,,,,,,KG04,10.162158
2020,Нарынская область,,,,,,KG04,9.6
2021,Нарынская область,,,,,,KG04,8.857787
2022,Нарынская область,,,,,,KG04,12.292587
2023,Нарынская область,,,,,,KG04,10.866087
2018,Ошская область,,,,,,KG06,1.3
2019,Ошская область,,,,,,KG06,2.770504
2020,Ошская область,,,,,,KG06,2.7
2021,Ошская область,,,,,,KG06,2.011959
2022,Ошская область,,,,,,KG06,1.190447
2023,Ошская область,,,,,,KG06,0.795697
2018,Таласская область,,,,,,KG07,8.8
2019,Таласская область,,,,,,KG07,17.739576
2020,Таласская область,,,,,,KG07,14.7
2021,Таласская область,,,,,,KG07,15.717645
2022,Таласская область,,,,,,KG07,13.453576
2023,Таласская область,,,,,,KG07,8.299786
2018,Чуйская область,,,,,,KG08,11.1
2019,Чуйская область,,,,,,KG08,18.259395
2020,Чуйская область,,,,,,KG08,18.2
2021,Чуйская область,,,,,,KG08,17.552937
2022,Чуйская область,,,,,,KG08,16.392955
2023,Чуйская область,,,,,,KG08,15.806671
2018,г. Бишкек,,,,,,KG11,59.9
2019,г. Бишкек,,,,,,KG11,74.995693
2020,г. Бишкек,,,,,,KG11,74.0
2021,г. Бишкек,,,,,,KG11,68.912342
2022,г. Бишкек,,,,,,KG11,73.546822
2023,г. Бишкек,,,,,,KG11,68.945555
2018,г. Ош,,,,,,KG21,32.1
2019,г. Ош,,,,,,KG21,38.304982
2020,г. Ош,,,,,,KG21,35.1
2021,г. Ош,,,,,,KG21,31.366
2022,г. Ош,,,,,,KG21,33.802493
2023,г. Ош,,,,,,KG21,30.425502
2018,,,,,Начальное образование,Образование главы домохозяйства,,6.8
2019,,,,,Начальное образование,Образование главы домохозяйства,,20.788716
2020,,,,,Начальное образование,Образование главы домохозяйства,,19.887519
2021,,,,,Начальное образование,Образование главы домохозяйства,,19.269932
2022,,,,,Начальное образование,Образование главы домохозяйства,,18.990956
2023,,,,,Начальное образование,Образование главы домохозяйства,,14.976208
2018,,,,,Первый этап среднего образования,Образование главы домохозяйства,,10.5
