Year,Показатель,Value
2007,Доля возобновляемых источников энергии в общем объеме энергопотребления,43.5
2008,Доля возобновляемых источников энергии в общем объеме энергопотребления,36.0
2009,Доля возобновляемых источников энергии в общем объеме энергопотребления,35.6
2010,Доля возобновляемых источников энергии в общем объеме энергопотребления,38.7
2011,Доля возобновляемых источников энергии в общем объеме энергопотребления,41.0
2012,Доля возобновляемых источников энергии в общем объеме энергопотребления,37.1
2013,Доля возобновляемых источников энергии в общем объеме энергопотребления,33.3
2014,Доля возобновляемых источников энергии в общем объеме энергопотребления,36.7
2015,Доля возобновляемых источников энергии в общем объеме энергопотребления,30.6
2016,Доля возобновляемых источников энергии в общем объеме энергопотребления,31.6
2017,Доля возобновляемых источников энергии в общем объеме энергопотребления,36.5
2018,Доля возобновляемых источников энергии в общем объеме энергопотребления,33.9
2007,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",14004.1
2008,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",10759.1
2009,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",10098.0
2010,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",11254.7
2011,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",14309.1
2012,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",14179.0
2013,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",13096.7
2014,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",13297.6
2015,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",11092.7
2016,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",11497.8
2017,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",14191.2
2018,"Производство электроэнергии гидроэлектростанциями, млн. кВт.ч.",14318.3
