Year,Вид экономической деятельности,Value
2007,,78.2
2008,,54.3
2009,,48.7
2010,,45.5
2011,,42.0
2012,,35.3
2013,,31.4
2014,,26.1
2015,,26.7
2016,,22.0
2017,,25.3
2018,,25.5
2019,,20.5
2020,,20.5
2021,,17.9
2022,,13.5
2023,,10.548987
2012,"Сельское хозяйство, лесоводство и рыболовство",1.2
2013,"Сельское хозяйство, лесоводство и рыболовство",1.4
2014,"Сельское хозяйство, лесоводство и рыболовство",1.4
2015,"Сельское хозяйство, лесоводство и рыболовство",1.1
2016,"Сельское хозяйство, лесоводство и рыболовство",1.1
2017,"Сельское хозяйство, лесоводство и рыболовство",1.1
2018,"Сельское хозяйство, лесоводство и рыболовство",1.1
2019,"Сельское хозяйство, лесоводство и рыболовство",1.0
2020,"Сельское хозяйство, лесоводство и рыболовство",0.9
2021,"Сельское хозяйство, лесоводство и рыболовство",0.7
2022,"Сельское хозяйство, лесоводство и рыболовство",0.608385
2023,"Сельское хозяйство, лесоводство и рыболовство",0.527722
2012,Горнодобывающая промышленность и разработка карьеров,44.5
2013,Горнодобывающая промышленность и разработка карьеров,56.5
2014,Горнодобывающая промышленность и разработка карьеров,83.6
2015,Горнодобывающая промышленность и разработка карьеров,55.4
2016,Горнодобывающая промышленность и разработка карьеров,37.7
2017,Горнодобывающая промышленность и разработка карьеров,22.8
2018,Горнодобывающая промышленность и разработка карьеров,30.3
2019,Горнодобывающая промышленность и разработка карьеров,23.6
2020,Горнодобывающая промышленность и разработка карьеров,24.4
2021,Горнодобывающая промышленность и разработка карьеров,10.6
2022,Горнодобывающая промышленность и разработка карьеров,9.780943
2023,Горнодобывающая промышленность и разработка карьеров,8.31328
2012,"Снабжение электричеством, газом, паром и кондиционированным воздухом",264.3
2013,"Снабжение электричеством, газом, паром и кондиционированным воздухом",282.6
2014,"Снабжение электричеством, газом, паром и кондиционированным воздухом",254.1
2015,"Снабжение электричеством, газом, паром и кондиционированным воздухом",201.4
2016,"Снабжение электричеством, газом, паром и кондиционированным воздухом",195.8
2017,"Снабжение электричеством, газом, паром и кондиционированным воздухом",174.5
2018,"Снабжение электричеством, газом, паром и кондиционированным воздухом",149.3
2019,"Снабжение электричеством, газом, паром и кондиционированным воздухом",149.5
2020,"Снабжение электричеством, газом, паром и кондиционированным воздухом",146.5
2021,"Снабжение электричеством, газом, паром и кондиционированным воздухом",142.2
2022,"Снабжение электричеством, газом, паром и кондиционированным воздухом",125.758929
2023,"Снабжение электричеством, газом, паром и кондиционированным воздухом",118.532738
