Year,Территория,GeoCode,Value
2006,,,226
2007,,,281
2008,,,370
2009,,,392
2010,,,424
2011,,,544
2012,,,580
2013,,,650
2014,,,718
2015,,,755
2016,,,818
2017,,,893
2018,,,884
2019,,,992
2020,,,951
2021,,,1143
2022,,,1463
2023,,,1879
2024,,,2191
2006,Баткенская область,KG05,93
2007,Баткенская область,KG05,131
2008,Баткенская область,KG05,162
2009,Баткенская область,KG05,165
2010,Баткенская область,KG05,202
2011,Баткенская область,KG05,323
2012,Баткенская область,KG05,338
2013,Баткенская область,KG05,364
2014,Баткенская область,KG05,388
2015,Баткенская область,KG05,391
2016,Баткенская область,KG05,379
2017,Баткенская область,KG05,389
2018,Баткенская область,KG05,353
2019,Баткенская область,KG05,413
2020,Баткенская область,KG05,422
2021,Баткенская область,KG05,489
2022,Баткенская область,KG05,652
2023,Баткенская область,KG05,790
2024,Баткенская область,KG05,845
2006,Джалал-Абадская область,KG03,147
2007,Джалал-Абадская область,KG03,174
2008,Джалал-Абадская область,KG03,243
2009,Джалал-Абадская область,KG03,247
2010,Джалал-Абадская область,KG03,276
2011,Джалал-Абадская область,KG03,337
2012,Джалал-Абадская область,KG03,371
2013,Джалал-Абадская область,KG03,369
2014,Джалал-Абадская область,KG03,414
2015,Джалал-Абадская область,KG03,463
2016,Джалал-Абадская область,KG03,484
2017,Джалал-Абадская область,KG03,552
2018,Джалал-Абадская область,KG03,555
2019,Джалал-Абадская область,KG03,613
2020,Джалал-Абадская область,KG03,546
2021,Джалал-Абадская область,KG03,683
2022,Джалал-Абадская область,KG03,832
2023,Джалал-Абадская область,KG03,1093
2024,Джалал-Абадская область,KG03,1189
2006,Иссык-Кульская область,KG02,287
2007,Иссык-Кульская область,KG02,365
2008,Иссык-Кульская область,KG02,502
2009,Иссык-Кульская область,KG02,647
2010,Иссык-Кульская область,KG02,825
2011,Иссык-Кульская область,KG02,997
2012,Иссык-Кульская область,KG02,824
2013,Иссык-Кульская область,KG02,1145
2014,Иссык-Кульская область,KG02,1160
2015,Иссык-Кульская область,KG02,1110
2016,Иссык-Кульская область,KG02,1316
2017,Иссык-Кульская область,KG02,1380
2018,Иссык-Кульская область,KG02,1327
2019,Иссык-Кульская область,KG02,1686
2020,Иссык-Кульская область,KG02,1689
2021,Иссык-Кульская область,KG02,1554
2022,Иссык-Кульская область,KG02,2006
2023,Иссык-Кульская область,KG02,2195
2024,Иссык-Кульская область,KG02,2443
2006,Нарынская область,KG04,208
2007,Нарынская область,KG04,254
2008,Нарынская область,KG04,324
2009,Нарынская область,KG04,289
2010,Нарынская область,KG04,293
2011,Нарынская область,KG04,303
2012,Нарынская область,KG04,356
2013,Нарынская область,KG04,378
2014,Нарынская область,KG04,435
2015,Нарынская область,KG04,492
2016,Нарынская область,KG04,531
2017,Нарынская область,KG04,517
2018,Нарынская область,KG04,478
2019,Нарынская область,KG04,521
2020,Нарынская область,KG04,602
2021,Нарынская область,KG04,597
2022,Нарынская область,KG04,914
2023,Нарынская область,KG04,1076
2024,Нарынская область,KG04,1299
2006,Ошская область,KG06,121
2007,Ошская область,KG06,148
2008,Ошская область,KG06,183
2009,Ошская область,KG06,189
2010,Ошская область,KG06,200
2011,Ошская область,KG06,274
2012,Ошская область,KG06,255
2013,Ошская область,KG06,253
2014,Ошская область,KG06,278
2015,Ошская область,KG06,278
2016,Ошская область,KG06,280
2017,Ошская область,KG06,311
2018,Ошская область,KG06,317
2019,Ошская область,KG06,347
2020,Ошская область,KG06,365
2021,Ошская область,KG06,425
2022,Ошская область,KG06,536
2023,Ошская область,KG06,655
2024,Ошская область,KG06,758
2006,Таласская область,KG07,243
2007,Таласская область,KG07,269
2008,Таласская область,KG07,388
2009,Таласская область,KG07,274
2010,Таласская область,KG07,329
