Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,GeoCode,Value
2018,,,15 лет и старше,,,,,24.4
2019,,,15 лет и старше,,,,,32.172359
2020,,,15 лет и старше,,,,,35.908367
2021,,,15 лет и старше,,,,,36.349478
2022,,,15 лет и старше,,,,,39.085887
2018,,,15 лет и старше,Городская,,,,28.1
2019,,,15 лет и старше,Городская,,,,36.797119
2020,,,15 лет и старше,Городская,,,,38.037471
2021,,,15 лет и старше,Городская,,,,40.242575
2022,,,15 лет и старше,Городская,,,,44.724599
2018,,,15 лет и старше,Сельская,,,,22.2
2019,,,15 лет и старше,Сельская,,,,29.421489
2020,,,15 лет и старше,Сельская,,,,34.606561
2021,,,15 лет и старше,Сельская,,,,33.921337
2022,,,15 лет и старше,Сельская,,,,35.518984
2018,,Мужчины,15 лет и старше,,,,,23.4
2019,,Мужчины,15 лет и старше,,,,,30.211974
2020,,Мужчины,15 лет и старше,,,,,33.229388
2021,,Мужчины,15 лет и старше,,,,,33.726935
2022,,Мужчины,15 лет и старше,,,,,36.217649
2018,,Женщины,15 лет и старше,,,,,25.2
2019,,Женщины,15 лет и старше,,,,,33.807908
2020,,Женщины,15 лет и старше,,,,,38.177301
2021,,Женщины,15 лет и старше,,,,,38.549214
2022,,Женщины,15 лет и старше,,,,,41.476188
2018,Баткенская область,,15 лет и старше,,,,KG05,11.9
2019,Баткенская область,,15 лет и старше,,,,KG05,20.274736
2020,Баткенская область,,15 лет и старше,,,,KG05,26.775957
2021,Баткенская область,,15 лет и старше,,,,KG05,30.726355
2022,Баткенская область,,15 лет и старше,,,,KG05,32.430346
2018,Джалал-Абадская область,,15 лет и старше,,,,KG03,13.1
2019,Джалал-Абадская область,,15 лет и старше,,,,KG03,26.361287
2020,Джалал-Абадская область,,15 лет и старше,,,,KG03,26.539366
2021,Джалал-Абадская область,,15 лет и старше,,,,KG03,24.114348
2022,Джалал-Абадская область,,15 лет и старше,,,,KG03,30.944932
2018,Иссык-Кульская область,,15 лет и старше,,,,KG02,8.8
2019,Иссык-Кульская область,,15 лет и старше,,,,KG02,9.973074
2020,Иссык-Кульская область,,15 лет и старше,,,,KG02,27.245677
2021,Иссык-Кульская область,,15 лет и старше,,,,KG02,32.26432
2022,Иссык-Кульская область,,15 лет и старше,,,,KG02,38.701564
2018,Нарынская область,,15 лет и старше,,,,KG04,35.3
2019,Нарынская область,,15 лет и старше,,,,KG04,43.200634
2020,Нарынская область,,15 лет и старше,,,,KG04,40.824543
2021,Нарынская область,,15 лет и старше,,,,KG04,55.72775
2022,Нарынская область,,15 лет и старше,,,,KG04,58.238267
2018,Ошская область,,15 лет и старше,,,,KG06,30.7
2019,Ошская область,,15 лет и старше,,,,KG06,37.460737
2020,Ошская область,,15 лет и старше,,,,KG06,43.889458
2021,Ошская область,,15 лет и старше,,,,KG06,42.653948
2022,Ошская область,,15 лет и старше,,,,KG06,43.927782
2018,Таласская область,,15 лет и старше,,,,KG07,18.4
2019,Таласская область,,15 лет и старше,,,,KG07,32.044373
2020,Таласская область,,15 лет и старше,,,,KG07,33.277756
2021,Таласская область,,15 лет и старше,,,,KG07,32.64037
2022,Таласская область,,15 лет и старше,,,,KG07,40.137596
2018,Чуйская область,,15 лет и старше,,,,KG08,35.9
2019,Чуйская область,,15 лет и старше,,,,KG08,41.213464
