Year,concept.SEX,concept.AGE,concept.URBANISATION,concept.ACTIVITY,Value
2007,,,,,1514.8
2008,,,,,1559.6
2009,,,,,1592.9
2010,,,,,1589.7
2011,,,,,1603.9
2012,,,,,1602.8
2013,,,,,1629.1
2014,,,,,1653.0
2015,,,,,1686.4
2016,,,,,1683.0
2017,,,,,1611.3
2018,,,,,1686.9
2007,Мужчины,,,,928.9
2008,Мужчины,,,,936.1
2009,Мужчины,,,,983.6
2010,Мужчины,,,,993.8
2011,Мужчины,,,,999.9
2012,Мужчины,,,,1008.4
2013,Мужчины,,,,1044.3
2014,Мужчины,,,,1040.6
2015,Мужчины,,,,1077.9
2016,Мужчины,,,,1095.7
2017,Мужчины,,,,1074.4
2018,Мужчины,,,,1131.7
2007,Женщины,,,,585.9
2008,Женщины,,,,623.5
2009,Женщины,,,,609.4
2010,Женщины,,,,595.9
2011,Женщины,,,,604.0
2012,Женщины,,,,594.4
2013,Женщины,,,,584.8
2014,Женщины,,,,612.3
2015,Женщины,,,,608.5
2016,Женщины,,,,587.3
2017,Женщины,,,,536.9
2018,Женщины,,,,555.2
2007,,от 15 до 19 лет ,,,129.7
2008,,от 15 до 19 лет ,,,130.2
2009,,от 15 до 19 лет ,,,139.2
2010,,от 15 до 19 лет ,,,128.9
2011,,от 15 до 19 лет ,,,120.5
2012,,от 15 до 19 лет ,,,109.0
2013,,от 15 до 19 лет ,,,126.1
2014,,от 15 до 19 лет ,,,108.0
2015,,от 15 до 19 лет ,,,101.7
2016,,от 15 до 19 лет ,,,85.0
2017,,от 15 до 19 лет ,,,71.1
2018,,от 15 до 19 лет ,,,76.5
2007,,от 20 до 29 лет,,,463.8
2008,,от 20 до 29 лет,,,485.6
2009,,от 20 до 29 лет,,,492.5
2010,,от 20 до 29 лет,,,500.9
2011,,от 20 до 29 лет,,,502.9
2012,,от 20 до 29 лет,,,497.3
2013,,от 20 до 29 лет,,,523.0
2014,,от 20 до 29 лет,,,516.5
2015,,от 20 до 29 лет,,,516.1
2016,,от 20 до 29 лет,,,518.7
2017,,от 20 до 29 лет,,,499.3
2018,,от 20 до 29 лет,,,500.7
2007,,от 30 до 39 лет ,,,408.9
2008,,от 30 до 39 лет ,,,416.3
2009,,от 30 до 39 лет ,,,408.1
2010,,от 30 до 39 лет ,,,406.5
2011,,от 30 до 39 лет ,,,403.8
2012,,от 30 до 39 лет ,,,397.8
2013,,от 30 до 39 лет ,,,411.3
2014,,от 30 до 39 лет ,,,437.4
2015,,от 30 до 39 лет ,,,449.1
2016,,от 30 до 39 лет ,,,446.8
2017,,от 30 до 39 лет ,,,447.3
2018,,от 30 до 39 лет ,,,463.0
2007,,от 40 до 49 лет ,,,328.7
2008,,от 40 до 49 лет ,,,335.8
2009,,от 40 до 49 лет ,,,343.1
2010,,от 40 до 49 лет ,,,336.4
2011,,от 40 до 49 лет ,,,341.3
2012,,от 40 до 49 лет ,,,356.0
2013,,от 40 до 49 лет ,,,348.4
2014,,от 40 до 49 лет ,,,352.0
2015,,от 40 до 49 лет ,,,361.7
2016,,от 40 до 49 лет ,,,371.4
2017,,от 40 до 49 лет ,,,344.5
2018,,от 40 до 49 лет ,,,367.3
2007,,от 50 до 59 лет,,,149.3
2008,,от 50 до 59 лет,,,154.0
2009,,от 50 до 59 лет,,,168.4
2010,,от 50 до 59 лет,,,174.3
2011,,от 50 до 59 лет,,,187.7
2012,,от 50 до 59 лет,,,194.5
2013,,от 50 до 59 лет,,,181.4
2014,,от 50 до 59 лет,,,197.0
2015,,от 50 до 59 лет,,,207.4
2016,,от 50 до 59 лет,,,209.4
2017,,от 50 до 59 лет,,,204.3
2018,,от 50 до 59 лет,,,222.7
2007,,от 65 до 69 лет,,,26.0
2008,,от 65 до 69 лет,,,29.0
2009,,от 65 до 69 лет,,,29.7
2010,,от 65 до 69 лет,,,32.3
2011,,от 65 до 69 лет,,,36.5
2012,,от 65 до 69 лет,,,38.0
2013,,от 65 до 69 лет,,,31.5
2014,,от 65 до 69 лет,,,35.3
2015,,от 65 до 69 лет,,,43.5
2016,,от 65 до 69 лет,,,45.4
2017,,от 65 до 69 лет,,,40.5
2018,,от 65 до 69 лет,,,52.6
2007,,70 лет и старше,,,8.5
2008,,70 лет и старше,,,8.7
2009,,70 лет и старше,,,11.8
2010,,70 лет и старше,,,10.4
2011,,70 лет и старше,,,11.1
2012,,70 лет и старше,,,10.1
2013,,70 лет и старше,,,7.5
2014,,70 лет и старше,,,6.9
2015,,70 лет и старше,,,7.0
2016,,70 лет и старше,,,6.3
2017,,70 лет и старше,,,4.3
2018,,70 лет и старше,,,4.1
2007,,,Городское,,396.7
2008,,,Городское,,421.9
2009,,,Городское,,431.7
2010,,,Городское,,414.4
2011,,,Городское,,419.3
2012,,,Городское,,408.0
2013,,,Городское,,418.6
2014,,,Городское,,433.7
2015,,,Городское,,460.0
