Year,Территория,Пол,Возраст,GeoCode,Value
2007,,,,,8.2
2008,,,,,8.2
2009,,,,,8.4
2010,,,,,8.6
2011,,,,,8.5
2012,,,,,8.4
2013,,,,,8.3
2014,,,,,8.0
2015,,,,,7.6
2016,,,,,7.2
2017,,,,,6.9
2018,,,,,6.2
2019,,,,,5.5
2020,,,,,5.8
2021,,,,,5.3
2007,,Женщины,,,9.0
2008,,Женщины,,,9.4
2009,,Женщины,,,9.8
2010,,Женщины,,,9.9
2011,,Женщины,,,9.9
2012,,Женщины,,,9.5
2013,,Женщины,,,9.7
2014,,Женщины,,,9.5
2015,,Женщины,,,9.0
2016,,Женщины,,,8.7
2017,,Женщины,,,8.9
2018,,Женщины,,,6.9
2019,,Женщины,,,6.2
2020,,Женщины,,,6.7
2021,,Женщины,,,6.3
2007,,Мужчины,,,7.6
2008,,Мужчины,,,7.3
2009,,Мужчины,,,7.4
2010,,Мужчины,,,7.7
2011,,Мужчины,,,7.6
2012,,Мужчины,,,7.7
2013,,Мужчины,,,7.4
2014,,Мужчины,,,7.0
2015,,Мужчины,,,6.5
2016,,Мужчины,,,6.2
2017,,Мужчины,,,5.6
2018,,Мужчины,,,5.7
2019,,Мужчины,,,5.0
2020,,Мужчины,,,5.2
2021,,Мужчины,,,4.7
2007,Баткенская область,,,KG05,10.3
2008,Баткенская область,,,KG05,11.1
2009,Баткенская область,,,KG05,10.2
2010,Баткенская область,,,KG05,10.6
2011,Баткенская область,,,KG05,10.6
2012,Баткенская область,,,KG05,10.8
2013,Баткенская область,,,KG05,12.7
2014,Баткенская область,,,KG05,12.6
2015,Баткенская область,,,KG05,10.9
2016,Баткенская область,,,KG05,10.2
2017,Баткенская область,,,KG05,9.9
2018,Баткенская область,,,KG05,9.0
2019,Баткенская область,,,KG05,8.2
2020,Баткенская область,,,KG05,7.4
2021,Баткенская область,,,KG05,6.6
2009,Баткенская область,Женщины,,KG05,14.8
2010,Баткенская область,Женщины,,KG05,15.8
2011,Баткенская область,Женщины,,KG05,14.0
2012,Баткенская область,Женщины,,KG05,14.1
2013,Баткенская область,Женщины,,KG05,18.4
2014,Баткенская область,Женщины,,KG05,18.7
2015,Баткенская область,Женщины,,KG05,16.5
2016,Баткенская область,Женщины,,KG05,15.3
2017,Баткенская область,Женщины,,KG05,16.0
2018,Баткенская область,Женщины,,KG05,12.2
2019,Баткенская область,Женщины,,KG05,11.5
2020,Баткенская область,Женщины,,KG05,10.9
2021,Баткенская область,Женщины,,KG05,7.5
2009,Баткенская область,Мужчины,,KG05,7.2
2010,Баткенская область,Мужчины,,KG05,7.2
2011,Баткенская область,Мужчины,,KG05,8.4
2012,Баткенская область,Мужчины,,KG05,8.7
2013,Баткенская область,Мужчины,,KG05,9.8
2014,Баткенская область,Мужчины,,KG05,9.6
2015,Баткенская область,Мужчины,,KG05,7.6
2016,Баткенская область,Мужчины,,KG05,7.1
2017,Баткенская область,Мужчины,,KG05,6.3
2018,Баткенская область,Мужчины,,KG05,7.3
2019,Баткенская область,Мужчины,,KG05,6.7
2020,Баткенская область,Мужчины,,KG05,5.9
2021,Баткенская область,Мужчины,,KG05,6.2
2007,Джалал-Абадская область,,,KG03,6.8
2008,Джалал-Абадская область,,,KG03,6.9
2009,Джалал-Абадская область,,,KG03,7.0
2010,Джалал-Абадская область,,,KG03,7.8
2011,Джалал-Абадская область,,,KG03,8.2
2012,Джалал-Абадская область,,,KG03,8.4
