Year,concept.REF_AREA,concept.SEX,Value
2010,,,7.8
2011,,,7.6
2012,,,7.6
2013,,,6.9
2014,,,6.9
2015,,,7.4
2016,,,7.6
2017,,,10.1
2018,,,120.0
2010,Баткен,,6.4
2011,Баткен,,6.4
2012,Баткен,,5.7
2013,Баткен,,3.1
2014,Баткен,,3.0
2015,Баткен,,2.3
2016,Баткен,,2.4
2017,Баткен,,4.5
2018,Баткен,,6.9
2010,Джалал-Абадская область,,3.1
2011,Джалал-Абадская область,,3.3
2012,Джалал-Абадская область,,4.3
2013,Джалал-Абадская область,,5.1
2014,Джалал-Абадская область,,5.3
2015,Джалал-Абадская область,,5.5
2016,Джалал-Абадская область,,5.4
2017,Джалал-Абадская область,,8.9
2018,Джалал-Абадская область,,15.3
2010,Иссык-Кульская область,,3.2
2011,Иссык-Кульская область,,3.7
2012,Иссык-Кульская область,,4.1
2013,Иссык-Кульская область,,4.1
2014,Иссык-Кульская область,,4.2
2015,Иссык-Кульская область,,4.7
2016,Иссык-Кульская область,,5.3
2017,Иссык-Кульская область,,6.4
2018,Иссык-Кульская область,,8.2
2010,Нарынская область,,2.4
2011,Нарынская область,,1.6
2012,Нарынская область,,1.6
2013,Нарынская область,,1.4
2014,Нарынская область,,0.9
2015,Нарынская область,,1.1
2016,Нарынская область,,1.4
2017,Нарынская область,,2.3
2018,Нарынская область,,3.9
2010,Ошская область,,63.0
2011,Ошская область,,5.9
2012,Ошская область,,5.4
2013,Ошская область,,2.7
2014,Ошская область,,2.8
2015,Ошская область,,3.4
2016,Ошская область,,3.3
2017,Ошская область,,4.7
2018,Ошская область,,6.7
2010,Таласская область,,2.6
2011,Таласская область,,30.0
2012,Таласская область,,3.1
2013,Таласская область,,3.0
2014,Таласская область,,2.2
2015,Таласская область,,1.9
2016,Таласская область,,2.1
2017,Таласская область,,3.6
2018,Таласская область,,3.8
2010,Чуй,,14.3
2011,Чуй,,14.3
2012,Чуй,,14.8
2013,Чуй,,13.7
2014,Чуй,,13.7
2015,Чуй,,15.1
2016,Чуй,,16.0
2017,Чуй,,21.6
2018,Чуй,,21.4
2010,Бишкек (город),,14.5
2011,Бишкек (город),,13.6
2012,Бишкек (город),,12.8
2013,Бишкек (город),,13.5
2014,Бишкек (город),,13.5
2015,Бишкек (город),,14.8
2016,Бишкек (город),,15.4
2017,Бишкек (город),,16.1
2018,Бишкек (город),,16.4
2013,г. Ош,,7.5
2014,г. Ош,,7.8
2015,г. Ош,,5.1
2016,г. Ош,,5.1
2017,г. Ош,,7.6
2018,г. Ош,,8.5
2010,,Женщины,9.3
2011,,Женщины,88.0
2012,,Женщины,90.0
2013,,Женщины,8.8
2014,,Женщины,8.9
2015,,Женщины,8.4
2016,,Женщины,9.1
2017,,Женщины,11.3
2018,,Женщины,12.5
2010,,Мужчины,6.7
2011,,Мужчины,68.0
2012,,Мужчины,66.0
2013,,Мужчины,5.7
2014,,Мужчины,5.6
2015,,Мужчины,6.7
2016,,Мужчины,6.7
2017,,Мужчины,9.3
2018,,Мужчины,11.7
