Year,Составная разбивка,Value
2014,,302.6
2015,,304.9
2016,,264.3
2017,,248.2
2018,,283.6
2014,Загрязняющие вещества: твердые,112.7
2015,Загрязняющие вещества: твердые,121.8
2016,Загрязняющие вещества: твердые,101.3
2017,Загрязняющие вещества: твердые,126.1
2018,Загрязняющие вещества: твердые,91.0
2014,Загрязняющие вещества: газообразные и жидкие,189.9
2015,Загрязняющие вещества: газообразные и жидкие,183.1
2016,Загрязняющие вещества: газообразные и жидкие,163.0
2017,Загрязняющие вещества: газообразные и жидкие,122.1
2018,Загрязняющие вещества: газообразные и жидкие,192.6
2014,Загрязняющие вещества: сернистый ангидрид,92.3
2015,Загрязняющие вещества: сернистый ангидрид,95.4
2016,Загрязняющие вещества: сернистый ангидрид,80.6
2017,Загрязняющие вещества: сернистый ангидрид,39.0
2018,Загрязняющие вещества: сернистый ангидрид,90.3
2014,Загрязняющие вещества: окись углерода,61.5
2015,Загрязняющие вещества: окись углерода,49.9
2016,Загрязняющие вещества: окись углерода,47.1
2017,Загрязняющие вещества: окись углерода,47.1
2018,Загрязняющие вещества: окись углерода,60.7
2014,Загрязняющие вещества: окислы азота,21.2
2015,Загрязняющие вещества: окислы азота,20.0
2016,Загрязняющие вещества: окислы азота,21.8
2017,Загрязняющие вещества: окислы азота,19.5
2018,Загрязняющие вещества: окислы азота,22.8
