Year,SERIES,Value
2015,Выбросы углекислого газа от сжигания топлива,10275.014
2016,Выбросы углекислого газа от сжигания топлива,8840.465
2017,Выбросы углекислого газа от сжигания топлива,9449.068
2018,Выбросы углекислого газа от сжигания топлива,17858.411
2019,Выбросы углекислого газа от сжигания топлива,15172.4
2020,Выбросы углекислого газа от сжигания топлива,14711.29
2015,Выбросы углекислого газа на единицу ВВП,2.386822
2016,Выбросы углекислого газа на единицу ВВП,1.855949
2017,Выбросы углекислого газа на единицу ВВП,1.781244
2018,Выбросы углекислого газа на единицу ВВП,0.032
2019,Выбросы углекислого газа на единицу ВВП,0.0257
2020,Выбросы углекислого газа на единицу ВВП,0.0246
2015,Выбросы углекислого газа на единицу добавленной стоимости производства,1.560781
2016,Выбросы углекислого газа на единицу добавленной стоимости производства,1.29663
2017,Выбросы углекислого газа на единицу добавленной стоимости производства,1.355711
2018,Выбросы углекислого газа на единицу добавленной стоимости производства,0.0737
2019,Выбросы углекислого газа на единицу добавленной стоимости производства,0.059
2020,Выбросы углекислого газа на единицу добавленной стоимости производства,0.0589
