Year,Value,SERIES
2007,10.1,"Доля населения, получающих пенсии к общей численности населения"
2008,10.6,"Доля населения, получающих пенсии к общей численности населения"
2009,10.527481,"Доля населения, получающих пенсии к общей численности населения"
2010,10.608791,"Доля населения, получающих пенсии к общей численности населения"
2011,10.838101,"Доля населения, получающих пенсии к общей численности населения"
2012,11.043937,"Доля населения, получающих пенсии к общей численности населения"
2013,10.825698,"Доля населения, получающих пенсии к общей численности населения"
2014,10.759191,"Доля населения, получающих пенсии к общей численности населения"
2015,10.746011,"Доля населения, получающих пенсии к общей численности населения"
2016,10.768411,"Доля населения, получающих пенсии к общей численности населения"
2017,10.760094,"Доля населения, получающих пенсии к общей численности населения"
2018,10.874701,"Доля населения, получающих пенсии к общей численности населения"
2019,10.95936,"Доля населения, получающих пенсии к общей численности населения"
2007,8.277782,"Доля населения, получающего ЕПМС, к общей численности населения"
2008,6.836681,"Доля населения, получающего ЕПМС, к общей численности населения"
2009,6.915016,"Доля населения, получающего ЕПМС, к общей численности населения"
2010,6.6,"Доля населения, получающего ЕПМС, к общей численности населения"
2011,6.879721,"Доля населения, получающего ЕПМС, к общей численности населения"
2012,6.187625,"Доля населения, получающего ЕПМС, к общей численности населения"
2013,5.8,"Доля населения, получающего ЕПМС, к общей численности населения"
2014,5.3,"Доля населения, получающего ЕПМС, к общей численности населения"
2015,5.1,"Доля населения, получающего ЕПМС, к общей численности населения"
2016,4.5,"Доля населения, получающего ЕПМС, к общей численности населения"
2017,4.7,"Доля населения, получающего ЕПМС, к общей численности населения"
2018,4.5,"Доля населения, получающего ЕПМС, к общей численности населения"
2019,4.7,"Доля населения, получающего ЕПМС, к общей численности населения"
2020,5.1,"Доля населения, получающего ЕПМС, к общей численности населения"
2007,1.124026,"Доля населения, получающего социальные пособия, к общей численности населения"
2008,1.150702,"Доля населения, получающего социальные пособия, к общей численности населения"
2009,1.176048,"Доля населения, получающего социальные пособия, к общей численности населения"
2010,1.2,"Доля населения, получающего социальные пособия, к общей численности населения"
2011,1.287183,"Доля населения, получающего социальные пособия, к общей численности населения"
2012,1.283635,"Доля населения, получающего социальные пособия, к общей численности населения"
2013,1.3,"Доля населения, получающего социальные пособия, к общей численности населения"
2014,1.3,"Доля населения, получающего социальные пособия, к общей численности населения"
2015,1.3,"Доля населения, получающего социальные пособия, к общей численности населения"
2016,1.4,"Доля населения, получающего социальные пособия, к общей численности населения"
2017,1.4,"Доля населения, получающего социальные пособия, к общей численности населения"
2018,1.4,"Доля населения, получающего социальные пособия, к общей численности населения"
2019,1.4,"Доля населения, получающего социальные пособия, к общей численности населения"
2020,1.4,"Доля населения, получающего социальные пособия, к общей численности населения"
