Year,Value,Series
2008,29.2,Активы к ВВП
2009,36.6,Активы к ВВП
2010,27.6,Активы к ВВП
2011,23.6,Активы к ВВП
2012,28.2,Активы к ВВП
2013,31.3,Активы к ВВП
2014,34.3,Активы к ВВП
2015,41.4,Активы к ВВП
2016,37.4,Активы к ВВП
2017,37.3,Активы к ВВП
2018,39.8,Активы к ВВП
2019,42.2,Активы к ВВП
2007,16.5,Депозиты к ВВП
2008,15.7,Депозиты к ВВП
2009,19.7,Депозиты к ВВП
2010,15.5,Депозиты к ВВП
2011,13.5,Депозиты к ВВП
2012,16.3,Депозиты к ВВП
2013,19.0,Депозиты к ВВП
2014,20.6,Депозиты к ВВП
2015,23.9,Депозиты к ВВП
2016,22.5,Депозиты к ВВП
2017,22.9,Депозиты к ВВП
2018,23.9,Депозиты к ВВП
2019,25.6,Депозиты к ВВП
2007,14.7,Кредиты к ВВП
2008,13.6,Кредиты к ВВП
2009,12.5,Кредиты к ВВП
2010,12.0,Кредиты к ВВП
2011,10.9,Кредиты к ВВП
2012,12.9,Кредиты к ВВП
2013,15.2,Кредиты к ВВП
2014,19.7,Кредиты к ВВП
2015,21.8,Кредиты к ВВП
2016,19.6,Кредиты к ВВП
2017,20.4,Кредиты к ВВП
2018,23.0,Кредиты к ВВП
2019,24.8,Кредиты к ВВП
