Year,Value,SERIES
2015,1280.6,Площадь пашни
2016,1280.6,Площадь пашни
2017,1287.9,Площадь пашни
2018,1287.8,Площадь пашни
2019,1287.6,Площадь пашни
2020,1287.4,Площадь пашни
2021,1287.3,Площадь пашни
2022,1286.4,Площадь пашни
2023,1285.994,Площадь пашни
2015,90.0,Площадь неиспользованной пашни
2016,81.9,Площадь неиспользованной пашни
2017,74.8,Площадь неиспользованной пашни
2018,67.3,Площадь неиспользованной пашни
2019,63.3,Площадь неиспользованной пашни
2020,56.6,Площадь неиспользованной пашни
2021,53.7,Площадь неиспользованной пашни
2022,48.8,Площадь неиспользованной пашни
2023,42.567,Площадь неиспользованной пашни
