Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,5.5,,На 100 000 населения,Число жертв умышленных убийств на 100 000 человек
2015,5.2,,На 100 000 населения,Число жертв умышленных убийств на 100 000 человек
2016,4.4,,На 100 000 населения,Число жертв умышленных убийств на 100 000 человек
2017,4.2,,На 100 000 населения,Число жертв умышленных убийств на 100 000 человек
2018,3.2,,На 100 000 населения,Число жертв умышленных убийств на 100 000 человек
2019,2.7,,На 100 000 населения,Число жертв умышленных убийств на 100 000 человек
2020,2.6,,На 100 000 населения,Число жертв умышленных убийств на 100 000 человек
2021,2.6,,На 100 000 населения,Число жертв умышленных убийств на 100 000 человек
2022,2.7,,На 100 000 населения,Число жертв умышленных убийств на 100 000 человек
2014,320.0,,Число,Число жертв умышленных убийств
2015,305.0,,Число,Число жертв умышленных убийств
2016,267.0,,Число,Число жертв умышленных убийств
2017,256.0,,Число,Число жертв умышленных убийств
2018,203.0,,Число,Число жертв умышленных убийств
2019,174.0,,Число,Число жертв умышленных убийств
2020,172.0,,Число,Число жертв умышленных убийств
2021,182.0,,Число,Число жертв умышленных убийств
2022,191.0,,Число,Число жертв умышленных убийств
