Year,Value,Series
2007,43.5,Доля возобновляемых источников энергии в общем объеме энергопотребления
2008,360.0,Доля возобновляемых источников энергии в общем объеме энергопотребления
2009,35.6,Доля возобновляемых источников энергии в общем объеме энергопотребления
2010,38.7,Доля возобновляемых источников энергии в общем объеме энергопотребления
2011,410.0,Доля возобновляемых источников энергии в общем объеме энергопотребления
2012,37.1,Доля возобновляемых источников энергии в общем объеме энергопотребления
2013,33.3,Доля возобновляемых источников энергии в общем объеме энергопотребления
2014,36.7,Доля возобновляемых источников энергии в общем объеме энергопотребления
2015,30.6,Доля возобновляемых источников энергии в общем объеме энергопотребления
2016,31.6,Доля возобновляемых источников энергии в общем объеме энергопотребления
2017,36.5,Доля возобновляемых источников энергии в общем объеме энергопотребления
2018,33.9,Доля возобновляемых источников энергии в общем объеме энергопотребления
2019,35.7,Доля возобновляемых источников энергии в общем объеме энергопотребления
2007,14004.1,Производство электроэнергии гидроэлектростанциями
2008,107591.0,Производство электроэнергии гидроэлектростанциями
2009,100980.0,Производство электроэнергии гидроэлектростанциями
2010,112547.0,Производство электроэнергии гидроэлектростанциями
2011,143091.0,Производство электроэнергии гидроэлектростанциями
2012,141790.0,Производство электроэнергии гидроэлектростанциями
2013,130967.0,Производство электроэнергии гидроэлектростанциями
2014,132976.0,Производство электроэнергии гидроэлектростанциями
2015,110927.0,Производство электроэнергии гидроэлектростанциями
2016,11497.8,Производство электроэнергии гидроэлектростанциями
2017,14191.2,Производство электроэнергии гидроэлектростанциями
2018,14318.3,Производство электроэнергии гидроэлектростанциями
2019,13859.3,Производство электроэнергии гидроэлектростанциями
