Year,Value,Units,Series
2007,87.7,Киловатт-часов на миллион сомов,Электроемкость ВВП
2008,59.8,Киловатт-часов на миллион сомов,Электроемкость ВВП
2009,49.9,Киловатт-часов на миллион сомов,Электроемкость ВВП
2010,47.7,Киловатт-часов на миллион сомов,Электроемкость ВВП
2011,43.3,Киловатт-часов на миллион сомов,Электроемкость ВВП
2012,43.7,Киловатт-часов на миллион сомов,Электроемкость ВВП
2013,38.5,Киловатт-часов на миллион сомов,Электроемкость ВВП
2014,36.9,Киловатт-часов на миллион сомов,Электроемкость ВВП
2015,31.5,Киловатт-часов на миллион сомов,Электроемкость ВВП
2016,27.9,Киловатт-часов на миллион сомов,Электроемкость ВВП
2017,26.9,Киловатт-часов на миллион сомов,Электроемкость ВВП
2018,26.3,Киловатт-часов на миллион сомов,Электроемкость ВВП
2019,24.41,Киловатт-часов на миллион сомов,Электроемкость ВВП
2007,158.9,Киловатт-часов,Производство электроэнергии на малых ГЭС
2008,146.9,Киловатт-часов,Производство электроэнергии на малых ГЭС
2009,168.8,Киловатт-часов,Производство электроэнергии на малых ГЭС
2010,180.5,Киловатт-часов,Производство электроэнергии на малых ГЭС
2011,174.7,Киловатт-часов,Производство электроэнергии на малых ГЭС
2012,155.2,Киловатт-часов,Производство электроэнергии на малых ГЭС
2013,160.3,Киловатт-часов,Производство электроэнергии на малых ГЭС
2014,130.9,Киловатт-часов,Производство электроэнергии на малых ГЭС
2015,207.6,Киловатт-часов,Производство электроэнергии на малых ГЭС
2016,248.3,Киловатт-часов,Производство электроэнергии на малых ГЭС
2017,260.3,Киловатт-часов,Производство электроэнергии на малых ГЭС
2018,202.9,Киловатт-часов,Производство электроэнергии на малых ГЭС
2019,200.5,Киловатт-часов,Производство электроэнергии на малых ГЭС
