Year,Value,SERIES
2007,27.716013,Производственный травматизм с не смертельным исходом среди работников (доля)
2008,32.316212,Производственный травматизм с не смертельным исходом среди работников (доля)
2009,24.233586,Производственный травматизм с не смертельным исходом среди работников (доля)
2010,90.112821,Производственный травматизм с не смертельным исходом среди работников (доля)
2011,27.924874,Производственный травматизм с не смертельным исходом среди работников (доля)
2012,27.025061,Производственный травматизм с не смертельным исходом среди работников (доля)
2013,38.431743,Производственный травматизм с не смертельным исходом среди работников (доля)
2014,29.216361,Производственный травматизм с не смертельным исходом среди работников (доля)
2015,22.079153,Производственный травматизм с не смертельным исходом среди работников (доля)
2016,24.463597,Производственный травматизм с не смертельным исходом среди работников (доля)
2017,17.014573,Производственный травматизм с не смертельным исходом среди работников (доля)
2018,25.028299,Производственный травматизм с не смертельным исходом среди работников (доля)
2019,21.813169,Производственный травматизм с не смертельным исходом среди работников (доля)
2020,31.006658,Производственный травматизм с не смертельным исходом среди работников (доля)
2021,38.017017,Производственный травматизм с не смертельным исходом среди работников (доля)
2007,4.792995,Производственный травматизм со смертельным исходом среди работников (доля)
2008,4.826447,Производственный травматизм со смертельным исходом среди работников (доля)
2009,5.057444,Производственный травматизм со смертельным исходом среди работников (доля)
2010,6.148875,Производственный травматизм со смертельным исходом среди работников (доля)
2011,4.517259,Производственный травматизм со смертельным исходом среди работников (доля)
2012,4.781357,Производственный травматизм со смертельным исходом среди работников (доля)
2013,5.835186,Производственный травматизм со смертельным исходом среди работников (доля)
2014,3.602017,Производственный травматизм со смертельным исходом среди работников (доля)
2015,4.103205,Производственный травматизм со смертельным исходом среди работников (доля)
2016,5.048044,Производственный травматизм со смертельным исходом среди работников (доля)
2017,6.691124,Производственный травматизм со смертельным исходом среди работников (доля)
2018,1.516867,Производственный травматизм со смертельным исходом среди работников (доля)
2019,2.932863,Производственный травматизм со смертельным исходом среди работников (доля)
2020,2.042355,Производственный травматизм со смертельным исходом среди работников (доля)
2021,3.764061,Производственный травматизм со смертельным исходом среди работников (доля)
