Year,Series,Value
2007,_L_KG_010301_1F2,114961.0
2008,_L_KG_010301_1F2,120274.0
2009,_L_KG_010301_1F2,124751.0
2010,_L_KG_010301_1F2,133398.0
2011,_L_KG_010301_1F2,142897.0
2012,_L_KG_010301_1F2,150206.0
2013,_L_KG_010301_1F2,162967.0
2014,_L_KG_010301_1F2,168679.0
2015,_L_KG_010301_1F2,174693.0
2016,_L_KG_010301_1F2,178944.0
2017,_L_KG_010301_1F2,183330.0
2018,_L_KG_010301_1F2,187313.0
2019,_L_KG_010301_1F2,194364.0
2007,_L_KG_010301_1F1,2.190749
2008,_L_KG_010301_1F1,2.273953
2009,_L_KG_010301_1F1,2.326232
2010,_L_KG_010301_1F1,2.46199
2011,_L_KG_010301_1F1,2.608742
2012,_L_KG_010301_1F1,2.705494
2013,_L_KG_010301_1F1,2.821172
2014,_L_KG_010301_1F1,2.861361
2015,_L_KG_010301_1F1,2.902128
2016,_L_KG_010301_1F1,2.914302
2017,_L_KG_010301_1F1,2.930125
2018,_L_KG_010301_1F1,2.931575
2019,_L_KG_010301_1F1,2.931575
