Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,Value
2015,_L_KG_100201_1,,,,,,33902
2016,_L_KG_100201_1,,,,,,35725
2017,_L_KG_100201_1,,,,,,39919
2018,_L_KG_100201_1,,,,,,44664
2019,_L_KG_100201_1,,,,,,47742
2020,_L_KG_100201_1,,,,,,47005
2015,SI_POV_50MI,,,,,B50,120
2016,SI_POV_50MI,,,,,B50,116
2017,SI_POV_50MI,,,,,B50,110
2018,SI_POV_50MI,,,,,B50,119
2019,SI_POV_50MI,,,,,B50,111
2020,SI_POV_50MI,,,,,B50,105
2015,SI_POV_50MI,,,,U,B50,82
2016,SI_POV_50MI,,,,U,B50,85
2017,SI_POV_50MI,,,,U,B50,79
2018,SI_POV_50MI,,,,U,B50,81
2019,SI_POV_50MI,,,,U,B50,87
2020,SI_POV_50MI,,,,U,B50,84
2015,SI_POV_50MI,,,,R,B50,141
2016,SI_POV_50MI,,,,R,B50,133
2017,SI_POV_50MI,,,,R,B50,127
2018,SI_POV_50MI,,,,R,B50,140
2019,SI_POV_50MI,,,,R,B50,125
2020,SI_POV_50MI,,,,R,B50,116
2015,SI_POV_50MI,,F,,,B50,117
2016,SI_POV_50MI,,F,,,B50,114
2017,SI_POV_50MI,,F,,,B50,109
2018,SI_POV_50MI,,F,,,B50,118
2019,SI_POV_50MI,,F,,,B50,110
2020,SI_POV_50MI,,F,,,B50,106
2015,SI_POV_50MI,,M,,,B50,123
2016,SI_POV_50MI,,M,,,B50,119
2017,SI_POV_50MI,,M,,,B50,112
2018,SI_POV_50MI,,M,,,B50,120
2019,SI_POV_50MI,,M,,,B50,112
2020,SI_POV_50MI,,M,,,B50,103
2015,SI_POV_50MI,,,Y0T17,,B50,195
2016,SI_POV_50MI,,,Y0T17,,B50,176
2017,SI_POV_50MI,,,Y0T17,,B50,174
2018,SI_POV_50MI,,,Y0T17,,B50,185
2019,SI_POV_50MI,,,Y0T17,,B50,176
2020,SI_POV_50MI,,,Y0T17,,B50,163
2015,SI_POV_50MI,,,Y14T28,,B50,121
2016,SI_POV_50MI,,,Y14T28,,B50,125
2017,SI_POV_50MI,,,Y14T28,,B50,114
2018,SI_POV_50MI,,,Y14T28,,B50,135
2019,SI_POV_50MI,,,Y14T28,,B50,107
2020,SI_POV_50MI,,,Y14T28,,B50,108
2015,SI_POV_50MI,,,Y16T62,,B50,123
2016,SI_POV_50MI,,,Y16T62,,B50,126
2017,SI_POV_50MI,,,Y16T62,,B50,117
2018,SI_POV_50MI,,,Y16T62,,B50,122
2019,SI_POV_50MI,,,Y16T62,,B50,110
2020,SI_POV_50MI,,,Y16T62,,B50,107
2015,SI_POV_50MI,,,Y_GE58,,B50,78
2016,SI_POV_50MI,,,Y_GE58,,B50,78
2017,SI_POV_50MI,,,Y_GE58,,B50,75
2018,SI_POV_50MI,,,Y_GE58,,B50,84
2019,SI_POV_50MI,,,Y_GE58,,B50,88
2020,SI_POV_50MI,,,Y_GE58,,B50,82
2015,SI_POV_50MI,KG05,,,,B50,94
2016,SI_POV_50MI,KG05,,,,B50,122
2017,SI_POV_50MI,KG05,,,,B50,170
2018,SI_POV_50MI,KG05,,,,B50,127
2019,SI_POV_50MI,KG05,,,,B50,131
2015,SI_POV_50MI,KG03,,,,B50,164
2016,SI_POV_50MI,KG03,,,,B50,167
2017,SI_POV_50MI,KG03,,,,B50,167
2018,SI_POV_50MI,KG03,,,,B50,176
2019,SI_POV_50MI,KG03,,,,B50,174
2015,SI_POV_50MI,KG02,,,,B50,172
2016,SI_POV_50MI,KG02,,,,B50,165
2017,SI_POV_50MI,KG02,,,,B50,170
2018,SI_POV_50MI,KG02,,,,B50,147
2019,SI_POV_50MI,KG02,,,,B50,150
2015,SI_POV_50MI,KG04,,,,B50,313
2016,SI_POV_50MI,KG04,,,,B50,308
2017,SI_POV_50MI,KG04,,,,B50,308
2018,SI_POV_50MI,KG04,,,,B50,317
2019,SI_POV_50MI,KG04,,,,B50,290
2015,SI_POV_50MI,KG06,,,,B50,103
2016,SI_POV_50MI,KG06,,,,B50,63
2017,SI_POV_50MI,KG06,,,,B50,42
2018,SI_POV_50MI,KG06,,,,B50,88
2019,SI_POV_50MI,KG06,,,,B50,74
2015,SI_POV_50MI,KG07,,,,B50,176
2016,SI_POV_50MI,KG07,,,,B50,163
2017,SI_POV_50MI,KG07,,,,B50,170
2018,SI_POV_50MI,KG07,,,,B50,176
2019,SI_POV_50MI,KG07,,,,B50,151
2015,SI_POV_50MI,KG08,,,,B50,83
2016,SI_POV_50MI,KG08,,,,B50,95
2017,SI_POV_50MI,KG08,,,,B50,60
2018,SI_POV_50MI,KG08,,,,B50,55
2019,SI_POV_50MI,KG08,,,,B50,50
2015,SI_POV_50MI,KG11,,,,B50,63
2016,SI_POV_50MI,KG11,,,,B50,60
2017,SI_POV_50MI,KG11,,,,B50,53
2018,SI_POV_50MI,KG11,,,,B50,68
2019,SI_POV_50MI,KG11,,,,B50,63
2015,SI_POV_50MI,KG21,,,,B50,44
2016,SI_POV_50MI,KG21,,,,B50,88
2017,SI_POV_50MI,KG21,,,,B50,88
2018,SI_POV_50MI,KG21,,,,B50,102
2019,SI_POV_50MI,KG21,,,,B50,83
