Year,REF_AREA,Value
2014,,1.8
2015,,1.7
2016,,1.8
2017,,1.7
2018,,1.7
2014,KG05,0.3
2015,KG05,0.1
2016,KG05,0.1
2017,KG05,0.1
2018,KG05,0.2
2014,KG03,0.8
2015,KG03,0.8
2016,KG03,0.9
2017,KG03,0.9
2018,KG03,0.9
2014,KG02,1.4
2015,KG02,1.3
2016,KG02,1.4
2017,KG02,0.4
2018,KG02,0.4
2014,KG04,1.4
2015,KG04,1.5
2016,KG04,1.6
2017,KG04,1.7
2018,KG04,1.9
2014,KG06,0.3
2015,KG06,0.3
2016,KG06,0.4
2017,KG06,0.4
2018,KG06,0.5
2014,KG07,0.8
2015,KG07,0.8
2016,KG07,0.8
2017,KG07,0.8
2018,KG07,0.8
2014,KG08,2.2
2015,KG08,2.1
2016,KG08,2.1
2017,KG08,2.1
2018,KG08,2.1
2014,KG11,5.3
2015,KG11,5.1
2016,KG11,5.1
2017,KG11,5.0
2018,KG11,4.7
2014,KG21,3.8
2015,KG21,3.6
2016,KG21,3.6
2017,KG21,3.5
2018,KG21,3.6
