Year,SERIES,UNIT_MEASURE,Value
2019,SG_GOV_LOGV,NUMBER,484
2020,SG_GOV_LOGV,NUMBER,484
2021,SG_GOV_LOGV,NUMBER,484
2022,SG_GOV_LOGV,NUMBER,484
2023,SG_GOV_LOGV,NUMBER,484
2024,SG_GOV_LOGV,NUMBER,484
2019,SG_DSR_SILS,PT,101
2020,SG_DSR_SILS,PT,138
2021,SG_DSR_SILS,PT,215
2022,SG_DSR_SILS,PT,345
2023,SG_DSR_SILS,PT,349
2024,SG_DSR_SILS,PT,355
2019,SG_DSR_SILN,NUMBER,49
2020,SG_DSR_SILN,NUMBER,67
2021,SG_DSR_SILN,NUMBER,104
2022,SG_DSR_SILN,NUMBER,167
2023,SG_DSR_SILN,NUMBER,169
2024,SG_DSR_SILN,NUMBER,172
