Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,VC_IHR_PSRC,,PER_100000_POP,,4.535563
2015,VC_IHR_PSRC,,PER_100000_POP,,4.444398
2016,VC_IHR_PSRC,,PER_100000_POP,,3.472061
2017,VC_IHR_PSRC,,PER_100000_POP,,3.778379
2018,VC_IHR_PSRC,,PER_100000_POP,,3.132627
2019,VC_IHR_PSRC,,PER_100000_POP,,2.575293
2020,VC_IHR_PSRC,,PER_100000_POP,,2.621744
2014,VC_IHR_PSRCN,,NUMBER,,262.0
2015,VC_IHR_PSRCN,,NUMBER,,262.0
2016,VC_IHR_PSRCN,,NUMBER,,209.0
2017,VC_IHR_PSRCN,,NUMBER,,232.0
2018,VC_IHR_PSRCN,,NUMBER,,196.0
2019,VC_IHR_PSRCN,,NUMBER,,168.0
2020,VC_IHR_PSRCN,,NUMBER,,174.0
2014,VC_IHR_PSRC,KG05,PER_100000_POP,KG05,1.87232
2015,VC_IHR_PSRC,KG05,PER_100000_POP,KG05,1.624056
2016,VC_IHR_PSRC,KG05,PER_100000_POP,KG05,1.588834
2017,VC_IHR_PSRC,KG05,PER_100000_POP,KG05,1.168242
2018,VC_IHR_PSRC,KG05,PER_100000_POP,KG05,2.28517
2019,VC_IHR_PSRC,KG05,PER_100000_POP,KG05,2.047026
2020,VC_IHR_PSRC,KG05,PER_100000_POP,KG05,2.371194
2014,VC_IHR_PSRCN,KG05,NUMBER,KG05,9.0
2015,VC_IHR_PSRCN,KG05,NUMBER,KG05,8.0
2016,VC_IHR_PSRCN,KG05,NUMBER,KG05,8.0
2017,VC_IHR_PSRCN,KG05,NUMBER,KG05,6.0
2018,VC_IHR_PSRCN,KG05,NUMBER,KG05,12.0
2019,VC_IHR_PSRCN,KG05,NUMBER,KG05,11.0
2020,VC_IHR_PSRCN,KG05,NUMBER,KG05,13.0
2014,VC_IHR_PSRC,KG03,PER_100000_POP,KG03,3.563798
2015,VC_IHR_PSRC,KG03,PER_100000_POP,KG03,2.965496
2016,VC_IHR_PSRC,KG03,PER_100000_POP,KG03,2.481324
2017,VC_IHR_PSRC,KG03,PER_100000_POP,KG03,1.931833
2018,VC_IHR_PSRC,KG03,PER_100000_POP,KG03,1.811545
2019,VC_IHR_PSRC,KG03,PER_100000_POP,KG03,1.937437
2020,VC_IHR_PSRC,KG03,PER_100000_POP,KG03,2.062482
2014,VC_IHR_PSRCN,KG03,NUMBER,KG03,40.0
2015,VC_IHR_PSRCN,KG03,NUMBER,KG03,34.0
2016,VC_IHR_PSRCN,KG03,NUMBER,KG03,29.0
2017,VC_IHR_PSRCN,KG03,NUMBER,KG03,23.0
2018,VC_IHR_PSRCN,KG03,NUMBER,KG03,22.0
2019,VC_IHR_PSRCN,KG03,NUMBER,KG03,24.0
2020,VC_IHR_PSRCN,KG03,NUMBER,KG03,26.0
2014,VC_IHR_PSRC,KG02,PER_100000_POP,KG02,6.251428
2015,VC_IHR_PSRC,KG02,PER_100000_POP,KG02,6.16911
2016,VC_IHR_PSRC,KG02,PER_100000_POP,KG02,4.194983
2017,VC_IHR_PSRC,KG02,PER_100000_POP,KG02,4.762072
2018,VC_IHR_PSRC,KG02,PER_100000_POP,KG02,3.471052
2019,VC_IHR_PSRC,KG02,PER_100000_POP,KG02,4.838222
2020,VC_IHR_PSRC,KG02,PER_100000_POP,KG02,2.191528
2014,VC_IHR_PSRCN,KG02,NUMBER,KG02,29.0
2015,VC_IHR_PSRCN,KG02,NUMBER,KG02,29.0
2016,VC_IHR_PSRCN,KG02,NUMBER,KG02,20.0
2017,VC_IHR_PSRCN,KG02,NUMBER,KG02,23.0
2018,VC_IHR_PSRCN,KG02,NUMBER,KG02,17.0
2019,VC_IHR_PSRCN,KG02,NUMBER,KG02,24.0
2020,VC_IHR_PSRCN,KG02,NUMBER,KG02,11.0
2014,VC_IHR_PSRC,KG04,PER_100000_POP,KG04,3.642403
2015,VC_IHR_PSRC,KG04,PER_100000_POP,KG04,2.881274
2016,VC_IHR_PSRC,KG04,PER_100000_POP,KG04,2.490722
2017,VC_IHR_PSRC,KG04,PER_100000_POP,KG04,2.113577
2018,VC_IHR_PSRC,KG04,PER_100000_POP,KG04,2.090243
2019,VC_IHR_PSRC,KG04,PER_100000_POP,KG04,2.416952
2020,VC_IHR_PSRC,KG04,PER_100000_POP,KG04,3.080715
2014,VC_IHR_PSRCN,KG04,NUMBER,KG04,10.0
2015,VC_IHR_PSRCN,KG04,NUMBER,KG04,8.0
2016,VC_IHR_PSRCN,KG04,NUMBER,KG04,7.0
2017,VC_IHR_PSRCN,KG04,NUMBER,KG04,6.0
2018,VC_IHR_PSRCN,KG04,NUMBER,KG04,6.0
2019,VC_IHR_PSRCN,KG04,NUMBER,KG04,7.0
2020,VC_IHR_PSRCN,KG04,NUMBER,KG04,9.0
2014,VC_IHR_PSRC,KG06,PER_100000_POP,KG06,1.302565
2015,VC_IHR_PSRC,KG06,PER_100000_POP,KG06,1.825895
2016,VC_IHR_PSRC,KG06,PER_100000_POP,KG06,1.087358
2017,VC_IHR_PSRC,KG06,PER_100000_POP,KG06,0.837122
2018,VC_IHR_PSRC,KG06,PER_100000_POP,KG06,1.341419
2019,VC_IHR_PSRC,KG06,PER_100000_POP,KG06,1.096448
2020,VC_IHR_PSRC,KG06,PER_100000_POP,KG06,0.790429
2014,VC_IHR_PSRCN,KG06,NUMBER,KG06,16.0
2015,VC_IHR_PSRCN,KG06,NUMBER,KG06,23.0
2016,VC_IHR_PSRCN,KG06,NUMBER,KG06,14.0
2017,VC_IHR_PSRCN,KG06,NUMBER,KG06,11.0
2018,VC_IHR_PSRCN,KG06,NUMBER,KG06,18.0
2019,VC_IHR_PSRCN,KG06,NUMBER,KG06,15.0
2020,VC_IHR_PSRCN,KG06,NUMBER,KG06,11.0
2014,VC_IHR_PSRC,KG07,PER_100000_POP,KG07,3.235906
2015,VC_IHR_PSRC,KG07,PER_100000_POP,KG07,0.0
2016,VC_IHR_PSRC,KG07,PER_100000_POP,KG07,3.527337
2017,VC_IHR_PSRC,KG07,PER_100000_POP,KG07,4.247449
2018,VC_IHR_PSRC,KG07,PER_100000_POP,KG07,0.759209
2019,VC_IHR_PSRC,KG07,PER_100000_POP,KG07,1.870138
2020,VC_IHR_PSRC,KG07,PER_100000_POP,KG07,1.845059
2014,VC_IHR_PSRCN,KG07,NUMBER,KG07,8.0
2015,VC_IHR_PSRCN,KG07,NUMBER,KG07,0.0
2016,VC_IHR_PSRCN,KG07,NUMBER,KG07,9.0
2017,VC_IHR_PSRCN,KG07,NUMBER,KG07,11.0
2018,VC_IHR_PSRCN,KG07,NUMBER,KG07,2.0
2019,VC_IHR_PSRCN,KG07,NUMBER,KG07,5.0
2020,VC_IHR_PSRCN,KG07,NUMBER,KG07,5.0
2014,VC_IHR_PSRC,KG08,PER_100000_POP,KG08,9.996335
2015,VC_IHR_PSRC,KG08,PER_100000_POP,KG08,9.803071
2016,VC_IHR_PSRC,KG08,PER_100000_POP,KG08,8.396102
2017,VC_IHR_PSRC,KG08,PER_100000_POP,KG08,8.136891
2018,VC_IHR_PSRC,KG08,PER_100000_POP,KG08,6.587804
2019,VC_IHR_PSRC,KG08,PER_100000_POP,KG08,3.646274
2020,VC_IHR_PSRC,KG08,PER_100000_POP,KG08,5.128289
2014,VC_IHR_PSRCN,KG08,NUMBER,KG08,87.0
2015,VC_IHR_PSRCN,KG08,NUMBER,KG08,87.0
2016,VC_IHR_PSRCN,KG08,NUMBER,KG08,76.0
2017,VC_IHR_PSRCN,KG08,NUMBER,KG08,75.0
2018,VC_IHR_PSRCN,KG08,NUMBER,KG08,62.0
2019,VC_IHR_PSRCN,KG08,NUMBER,KG08,35.0
2020,VC_IHR_PSRCN,KG08,NUMBER,KG08,50.0
2014,VC_IHR_PSRC,KG11,PER_100000_POP,KG11,6.934398
2015,VC_IHR_PSRC,KG11,PER_100000_POP,KG11,6.260036
2016,VC_IHR_PSRC,KG11,PER_100000_POP,KG11,4.080096
2017,VC_IHR_PSRC,KG11,PER_100000_POP,KG11,6.086937
2018,VC_IHR_PSRC,KG11,PER_100000_POP,KG11,4.672692
2019,VC_IHR_PSRC,KG11,PER_100000_POP,KG11,3.605604
2020,VC_IHR_PSRC,KG11,PER_100000_POP,KG11,3.537928
