Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Value
2018,,,,,,,57.9
2019,,,,,,,64.4
2018,,,,U,,,50.7
2019,,,,U,,,59.6
2018,,,,R,,,62.8
2019,,,,R,,,67.5
2018,,M,,,,,67.4
2019,,M,,,,,72.7
2018,,F,,,,,44.7
2019,,F,,,,,52.5
2018,KG05,,,,,,63.7
2019,KG05,,,,,,71.6
2018,KG03,,,,,,46.2
2019,KG03,,,,,,54.2
2018,KG02,,,,,,69.3
2019,KG02,,,,,,72.7
2018,KG04,,,,,,71.9
2019,KG04,,,,,,78.3
2018,KG06,,,,,,70.4
2019,KG06,,,,,,73.8
2018,KG07,,,,,,73.3
2019,KG07,,,,,,88.2
2018,KG08,,,,,,69.3
2019,KG08,,,,,,65.7
2018,KG11,,,,,,31.2
2019,KG11,,,,,,45.0
2018,KG21,,,,,,86.7
2019,KG21,,,,,,98.7
2018,,,Y15T28,,,,56.6
2019,,,Y15T28,,,,61.8
2018,,,Y29T62,,,,59.4
2019,,,Y29T62,,,,66.2
2018,,,Y_GE58,,,,54.1
2019,,,Y_GE58,,,,61.9
2018,,,,,,ISCED11_1,58.8
2019,,,,,,ISCED11_1,63.7
2018,,,,,,ISCED11_2,63.3
2019,,,,,,ISCED11_2,65.2
2018,,,,,,ISCED11_3,57.7
2019,,,,,,ISCED11_3,62.8
2018,,,,,,ISCED11_4,59.7
2019,,,,,,ISCED11_4,68.1
2018,,,,,,ISCED11_6_7,53.7
2019,,,,,,ISCED11_6_7,64.5
2018,,,,,Q1,,52.4
2019,,,,,Q1,,55.4
2018,,,,,Q2,,58.1
2019,,,,,Q2,,63.2
2018,,,,,Q3,,57.9
2019,,,,,Q3,,65.8
2018,,,,,Q4,,60.9
2019,,,,,Q4,,69.9
2018,,,,,Q5,,59.2
2019,,,,,Q5,,65.7
