Year,COMPOSITE_BREAKDOWN,Value
2010,_L_COFOG_GF01,101.9
2011,_L_COFOG_GF01,98.1
2012,_L_COFOG_GF01,99.5
2013,_L_COFOG_GF01,98.9
2014,_L_COFOG_GF01,97.5
2015,_L_COFOG_GF01,96.9
2016,_L_COFOG_GF01,98.7
2017,_L_COFOG_GF01,100.4
2018,_L_COFOG_GF01,102.2
2019,_L_COFOG_GF01,98.9
2020,_L_COFOG_GF01,101.9
2021,_L_COFOG_GF01,109.6
2010,_L_COFOG_GF04,62.9
2011,_L_COFOG_GF04,98.4
2012,_L_COFOG_GF04,99.4
2013,_L_COFOG_GF04,95.7
2014,_L_COFOG_GF04,84.8
2015,_L_COFOG_GF04,94.8
2016,_L_COFOG_GF04,165.3
2017,_L_COFOG_GF04,94.9
2018,_L_COFOG_GF04,80.1
2019,_L_COFOG_GF04,70.8
2020,_L_COFOG_GF04,49.1
2021,_L_COFOG_GF04,69.0
2010,_L_COFOG_GF05,94.5
2011,_L_COFOG_GF05,99.2
2012,_L_COFOG_GF05,99.9
2013,_L_COFOG_GF05,91.7
2014,_L_COFOG_GF05,98.7
2015,_L_COFOG_GF05,93.6
2016,_L_COFOG_GF05,70.4
2017,_L_COFOG_GF05,101.9
2018,_L_COFOG_GF05,111.5
2019,_L_COFOG_GF05,95.5
2020,_L_COFOG_GF05,78.1
2021,_L_COFOG_GF05,94.0
2010,_L_COFOG_GF06,98.8
2011,_L_COFOG_GF06,96.3
2012,_L_COFOG_GF06,100.0
2013,_L_COFOG_GF06,98.2
2014,_L_COFOG_GF06,99.5
2015,_L_COFOG_GF06,95.0
2016,_L_COFOG_GF06,32.5
2017,_L_COFOG_GF06,136.5
2018,_L_COFOG_GF06,132.3
2019,_L_COFOG_GF06,99.7
2020,_L_COFOG_GF06,96.7
2021,_L_COFOG_GF06,110.3
2010,_L_COFOG_GF07,99.8
2011,_L_COFOG_GF07,98.8
2012,_L_COFOG_GF07,99.6
2013,_L_COFOG_GF07,97.3
2014,_L_COFOG_GF07,96.2
2015,_L_COFOG_GF07,98.4
2016,_L_COFOG_GF07,89.8
2017,_L_COFOG_GF07,124.3
2018,_L_COFOG_GF07,105.4
2019,_L_COFOG_GF07,95.9
2020,_L_COFOG_GF07,103.7
2021,_L_COFOG_GF07,154.4
2010,_L_COFOG_GF08,99.0
2011,_L_COFOG_GF08,97.8
2012,_L_COFOG_GF08,99.1
2013,_L_COFOG_GF08,98.8
2014,_L_COFOG_GF08,95.8
2015,_L_COFOG_GF08,97.8
2016,_L_COFOG_GF08,123.6
2017,_L_COFOG_GF08,172.2
2018,_L_COFOG_GF08,119.4
2019,_L_COFOG_GF08,105.3
2020,_L_COFOG_GF08,87.7
2021,_L_COFOG_GF08,110.3
2010,_L_COFOG_GF09,98.6
2011,_L_COFOG_GF09,98.8
2012,_L_COFOG_GF09,99.5
2013,_L_COFOG_GF09,96.8
2014,_L_COFOG_GF09,99.5
2015,_L_COFOG_GF09,97.3
2016,_L_COFOG_GF09,83.7
2017,_L_COFOG_GF09,112.8
2018,_L_COFOG_GF09,106.4
2019,_L_COFOG_GF09,104.1
2020,_L_COFOG_GF09,97.1
2021,_L_COFOG_GF09,100.9
2010,_L_COFOG_GF10,98.8
2011,_L_COFOG_GF10,98.7
2012,_L_COFOG_GF10,96.2
2013,_L_COFOG_GF10,97.8
2014,_L_COFOG_GF10,94.9
2015,_L_COFOG_GF10,98.4
2016,_L_COFOG_GF10,97.2
2017,_L_COFOG_GF10,90.5
2018,_L_COFOG_GF10,89.4
2019,_L_COFOG_GF10,83.2
2020,_L_COFOG_GF10,90.3
2021,_L_COFOG_GF10,102.4
