Year,SERIES,SEX,Value
2012,_L_KG_160701_1A,,2.984
2013,_L_KG_160701_1A,,4.897724
2014,_L_KG_160701_1A,,3.126344
2015,_L_KG_160701_1A,,4.424534
2016,_L_KG_160701_1A,,4.539295
2017,_L_KG_160701_1A,,1.571123
2018,_L_KG_160701_1A,,1.319706
2019,_L_KG_160701_1A,,1.2
2020,_L_KG_160701_1A,,1.2
2021,_L_KG_160701_1A,,2.6
2012,_L_KG_160701_1A,M,3.927548
2013,_L_KG_160701_1A,M,6.087459
2014,_L_KG_160701_1A,M,5.7
2015,_L_KG_160701_1A,M,5.725687
2016,_L_KG_160701_1A,M,5.865711
2017,_L_KG_160701_1A,M,2.324917
2018,_L_KG_160701_1A,M,1.955622
2019,_L_KG_160701_1A,M,1.7
2020,_L_KG_160701_1A,M,1.7
2021,_L_KG_160701_1A,M,3.4
2012,_L_KG_160701_1A,F,1.574151
2013,_L_KG_160701_1A,F,3.126344
2014,_L_KG_160701_1A,F,2.581194
2015,_L_KG_160701_1A,F,2.505133
2016,_L_KG_160701_1A,F,2.560495
2017,_L_KG_160701_1A,F,0.481895
2018,_L_KG_160701_1A,F,0.376517
2019,_L_KG_160701_1A,F,0.376517
2020,_L_KG_160701_1A,F,0.4
2021,_L_KG_160701_1A,F,1.4
2012,_L_KG_160701_1B,,2.446991
2013,_L_KG_160701_1B,,1.331029
2014,_L_KG_160701_1B,,0.860462
2015,_L_KG_160701_1B,,2.195675
2016,_L_KG_160701_1B,,2.647922
2017,_L_KG_160701_1B,,2.66922
2018,_L_KG_160701_1B,,2.594485
2019,_L_KG_160701_1B,,3.3
2020,_L_KG_160701_1B,,3.3
2021,_L_KG_160701_1B,,3.0
2012,_L_KG_160701_1B,M,2.744663
2013,_L_KG_160701_1B,M,1.647081
2014,_L_KG_160701_1B,M,2.2
2015,_L_KG_160701_1B,M,2.561247
2016,_L_KG_160701_1B,M,2.847982
2017,_L_KG_160701_1B,M,2.829919
2018,_L_KG_160701_1B,M,2.679579
2019,_L_KG_160701_1B,M,3.9
2020,_L_KG_160701_1B,M,3.9
2021,_L_KG_160701_1B,M,3.5
2012,_L_KG_160701_1B,F,2.0
2013,_L_KG_160701_1B,F,0.860462
2014,_L_KG_160701_1B,F,1.673521
2015,_L_KG_160701_1B,F,1.6564
2016,_L_KG_160701_1B,F,2.349465
2017,_L_KG_160701_1B,F,2.423241
2018,_L_KG_160701_1B,F,2.468275
2019,_L_KG_160701_1B,F,2.5
2020,_L_KG_160701_1B,F,2.4
2021,_L_KG_160701_1B,F,2.4
2012,_L_KG_160701_1C,,94.569008
2013,_L_KG_160701_1C,,93.771247
2014,_L_KG_160701_1C,,96.013194
2015,_L_KG_160701_1C,,93.379791
2016,_L_KG_160701_1C,,92.812782
2017,_L_KG_160701_1C,,95.759658
2018,_L_KG_160701_1C,,96.085809
2019,_L_KG_160701_1C,,95.5
2020,_L_KG_160701_1C,,95.5
2021,_L_KG_160701_1C,,94.4
2012,_L_KG_160701_1C,M,93.327789
2013,_L_KG_160701_1C,M,92.265459
2014,_L_KG_160701_1C,M,92.2
2015,_L_KG_160701_1C,M,91.713066
2016,_L_KG_160701_1C,M,91.295737
2017,_L_KG_160701_1C,M,94.835636
2018,_L_KG_160701_1C,M,95.364799
2019,_L_KG_160701_1C,M,94.4
2020,_L_KG_160701_1C,M,94.4
2021,_L_KG_160701_1C,M,93.1
2012,_L_KG_160701_1C,F,96.4
2013,_L_KG_160701_1C,F,96.013194
2014,_L_KG_160701_1C,F,95.745284
2015,_L_KG_160701_1C,F,95.838467
2016,_L_KG_160701_1C,F,95.1
2017,_L_KG_160701_1C,F,97.094864
2018,_L_KG_160701_1C,F,97.155208
2019,_L_KG_160701_1C,F,97.155208
2020,_L_KG_160701_1C,F,97.2
2021,_L_KG_160701_1C,F,96.2
