Year,OBS_STATUS,NATURE,SERIES,Value
2000,A,CA,TX_EXP_GBMRCH,0.007921
2001,A,CA,TX_EXP_GBMRCH,0.007686
2002,A,CA,TX_EXP_GBMRCH,0.007472
2003,A,CA,TX_EXP_GBMRCH,0.007668
2004,A,CA,TX_EXP_GBMRCH,0.007798
2005,A,CA,TX_EXP_GBMRCH,0.006393
2006,A,CA,TX_EXP_GBMRCH,0.007343
2007,A,CA,TX_EXP_GBMRCH,0.009416
2008,A,CA,TX_EXP_GBMRCH,0.011475
2009,A,CA,TX_EXP_GBMRCH,0.013302
2010,A,CA,TX_EXP_GBMRCH,0.01148
2011,A,CA,TX_EXP_GBMRCH,0.010795
2012,A,CA,TX_EXP_GBMRCH,0.010234
2013,A,CA,TX_EXP_GBMRCH,0.010864
2014,A,CA,TX_EXP_GBMRCH,0.009975
2015,A,CA,TX_EXP_GBMRCH,0.008701
2016,A,CA,TX_EXP_GBMRCH,0.009802
2017,A,CA,TX_EXP_GBMRCH,0.009947
2018,A,CA,TX_EXP_GBMRCH,0.009396
2019,A,CA,TX_EXP_GBMRCH,0.010449
2020,A,CA,TX_EXP_GBMRCH,0.01118
2021,A,CA,TX_EXP_GBMRCH,0.012342
2022,A,CA,TX_EXP_GBMRCH,0.009058
2023,A,CA,TX_EXP_GBMRCH,0.013895
2000,A,CA,TX_EXP_GBSVR,0.004076
2001,A,CA,TX_EXP_GBSVR,0.005428
2002,A,CA,TX_EXP_GBSVR,0.008691
2003,A,CA,TX_EXP_GBSVR,0.008341
2004,A,CA,TX_EXP_GBSVR,0.009113
2005,A,CA,TX_EXP_GBSVR,0.009622
2006,A,CA,TX_EXP_GBSVR,0.01244
2007,A,CA,TX_EXP_GBSVR,0.018808
2008,A,CA,TX_EXP_GBSVR,0.019704
2009,A,CA,TX_EXP_GBSVR,0.017383
2010,A,CA,TX_EXP_GBSVR,0.015014
2011,A,CA,TX_EXP_GBSVR,0.019146
2012,A,CA,TX_EXP_GBSVR,0.021353
2013,A,CA,TX_EXP_GBSVR,0.021569
2014,A,CA,TX_EXP_GBSVR,0.017097
2015,A,CA,TX_EXP_GBSVR,0.016936
2016,A,CA,TX_EXP_GBSVR,0.016443
2017,A,CA,TX_EXP_GBSVR,0.014771
2018,A,CA,TX_EXP_GBSVR,0.013486
2019,A,CA,TX_EXP_GBSVR,0.017029
2020,A,CA,TX_EXP_GBSVR,0.008136
2021,A,CA,TX_EXP_GBSVR,0.008238
2022,A,CA,TX_EXP_GBSVR,0.018815
2023,E,E,TX_EXP_GBSVR,0.029238
2000,A,CA,TX_IMP_GBMRCH,0.008389
2001,A,CA,TX_IMP_GBMRCH,0.007285
2002,A,CA,TX_IMP_GBMRCH,0.008807
2003,A,CA,TX_IMP_GBMRCH,0.009217
2004,A,CA,TX_IMP_GBMRCH,0.00993
2005,A,CA,TX_IMP_GBMRCH,0.010206
2006,A,CA,TX_IMP_GBMRCH,0.015599
2007,A,CA,TX_IMP_GBMRCH,0.019556
2008,A,CA,TX_IMP_GBMRCH,0.024655
2009,A,CA,TX_IMP_GBMRCH,0.023839
2010,A,CA,TX_IMP_GBMRCH,0.020881
2011,A,CA,TX_IMP_GBMRCH,0.023101
2012,A,CA,TX_IMP_GBMRCH,0.028789
2013,A,CA,TX_IMP_GBMRCH,0.031988
2014,A,CA,TX_IMP_GBMRCH,0.030058
2015,A,CA,TX_IMP_GBMRCH,0.024331
2016,A,CA,TX_IMP_GBMRCH,0.02469
2017,A,CA,TX_IMP_GBMRCH,0.025017
2018,A,CA,TX_IMP_GBMRCH,0.026716
2019,A,CA,TX_IMP_GBMRCH,0.025822
2020,A,CA,TX_IMP_GBMRCH,0.020808
2021,A,CA,TX_IMP_GBMRCH,0.024714
2022,A,CA,TX_IMP_GBMRCH,0.038209
2023,A,CA,TX_IMP_GBMRCH,0.050927
2000,A,CA,TX_IMP_GBSVR,0.009752
2001,A,CA,TX_IMP_GBSVR,0.008112
2002,A,CA,TX_IMP_GBSVR,0.009053
2003,A,CA,TX_IMP_GBSVR,0.008567
2004,A,CA,TX_IMP_GBSVR,0.00999
2005,A,CA,TX_IMP_GBSVR,0.011029
2006,A,CA,TX_IMP_GBSVR,0.015489
2007,A,CA,TX_IMP_GBSVR,0.017243
2008,A,CA,TX_IMP_GBSVR,0.022905
2009,A,CA,TX_IMP_GBSVR,0.02089
2010,A,CA,TX_IMP_GBSVR,0.020564
2011,A,CA,TX_IMP_GBSVR,0.022155
2012,A,CA,TX_IMP_GBSVR,0.029356
2013,A,CA,TX_IMP_GBSVR,0.023296
2014,A,CA,TX_IMP_GBSVR,0.024018
2015,A,CA,TX_IMP_GBSVR,0.021376
2016,A,CA,TX_IMP_GBSVR,0.021023
2017,A,CA,TX_IMP_GBSVR,0.017001
2018,A,CA,TX_IMP_GBSVR,0.0164
2019,A,CA,TX_IMP_GBSVR,0.016769
2020,A,CA,TX_IMP_GBSVR,0.012062
2021,A,CA,TX_IMP_GBSVR,0.012743
2022,A,CA,TX_IMP_GBSVR,0.022093
2023,E,E,TX_IMP_GBSVR,0.038229
