Year,UNIT_MULT,Series,Units,Value
2010,0,_L_KG_171301_1A,PT,99.5
2011,0,_L_KG_171301_1A,PT,106.0
2012,0,_L_KG_171301_1A,PT,99.9
2013,0,_L_KG_171301_1A,PT,110.9
2014,0,_L_KG_171301_1A,PT,104.0
2015,0,_L_KG_171301_1A,PT,103.9
2016,0,_L_KG_171301_1A,PT,104.3
2017,0,_L_KG_171301_1A,PT,104.7
2018,0,_L_KG_171301_1A,PT,103.8
2010,0,_L_KG_171301_1B,PT,108.0
2011,0,_L_KG_171301_1B,PT,116.6
2012,0,_L_KG_171301_1B,PT,102.8
2013,0,_L_KG_171301_1B,PT,106.6
2014,0,_L_KG_171301_1B,PT,107.5
2015,0,_L_KG_171301_1B,PT,106.5
2016,0,_L_KG_171301_1B,PT,100.4
2017,0,_L_KG_171301_1B,PT,103.2
2018,0,_L_KG_171301_1B,PT,101.5
2019,0,_L_KG_171301_1B,PT,101.1
2010,0,_L_KG_171301_1C,PT,122.79
2011,0,_L_KG_171301_1C,PT,122.02
2012,0,_L_KG_171301_1C,PT,105.3
2013,0,_L_KG_171301_1C,PT,97.92
2014,0,_L_KG_171301_1C,PT,101.45
2015,0,_L_KG_171301_1C,PT,108.75
2016,0,_L_KG_171301_1C,PT,106.41
2017,0,_L_KG_171301_1C,PT,101.66
2018,0,_L_KG_171301_1C,PT,101.49
2019,0,_L_KG_171301_1C,PT,104.1
2010,6,_L_KG_171301_1D,CUR_LCU,-10767.9787
2011,6,_L_KG_171301_1D,CUR_LCU,-13663.7111
2012,6,_L_KG_171301_1D,CUR_LCU,-20232.3134
2013,6,_L_KG_171301_1D,CUR_LCU,-2330.4823
2014,6,_L_KG_171301_1D,CUR_LCU,-1875.5431
2015,6,_L_KG_171301_1D,CUR_LCU,-6149.3213
2016,6,_L_KG_171301_1D,CUR_LCU,-20888.9124
2017,6,_L_KG_171301_1D,CUR_LCU,-16476.1602
2018,6,_L_KG_171301_1D,CUR_LCU,-6188.9008
2019,6,_L_KG_171301_1D,CUR_LCU,-431.7092
2010,6,_L_KG_171301_1E,CUR_LCU,7667.4055
2011,6,_L_KG_171301_1E,CUR_LCU,9394.668149
2012,6,_L_KG_171301_1E,CUR_LCU,11440.61056
2013,6,_L_KG_171301_1E,CUR_LCU,13939.58569
2014,6,_L_KG_171301_1E,CUR_LCU,13713.456934
2015,6,_L_KG_171301_1E,CUR_LCU,14364.3936
2016,6,_L_KG_171301_1E,CUR_LCU,20698.734025
2017,6,_L_KG_171301_1E,CUR_LCU,20620.48082
2018,6,_L_KG_171301_1E,CUR_LCU,23747.690011
2010,0,_L_KG_171301_1F,PT,105.6
2011,0,_L_KG_171301_1F,PT,130.62446
2012,0,_L_KG_171301_1F,PT,115.384261
2013,0,_L_KG_171301_1F,PT,106.528605
2014,0,_L_KG_171301_1F,PT,95.30386
2015,0,_L_KG_171301_1F,PT,73.989322
2016,0,_L_KG_171301_1F,PT,98.878752
2017,0,_L_KG_171301_1F,PT,112.297259
2018,0,_L_KG_171301_1F,PT,113.896789
2010,6,_L_KG_171301_1G,USD,1755.9245
2011,6,_L_KG_171301_1G,USD,2242.1664
2012,6,_L_KG_171301_1G,USD,1927.6232
2013,6,_L_KG_171301_1G,USD,2006.8497
2014,6,_L_KG_171301_1G,USD,1883.733456
2015,6,_L_KG_171301_1G,USD,1482.942034
2016,6,_L_KG_171301_1G,USD,1573.21493
2017,6,_L_KG_171301_1G,USD,1764.254644
2018,6,_L_KG_171301_1G,USD,1836.838696
2010,6,_L_KG_171301_1H,USD,3222.772182
2011,6,_L_KG_171301_1H,USD,4261.226418
2012,6,_L_KG_171301_1H,USD,5576.264131
2013,6,_L_KG_171301_1H,USD,5986.983003
2014,6,_L_KG_171301_1H,USD,5734.703808
2015,6,_L_KG_171301_1H,USD,4153.86051
2016,6,_L_KG_171301_1H,USD,4000.442107
2017,6,_L_KG_171301_1H,USD,4494.728178
2018,6,_L_KG_171301_1H,USD,5291.945776
