Year,SERIES,UNIT_MEASURE,Value
2015,_L_KG_171501_A1,IX,0.689
2016,_L_KG_171501_A1,IX,0.692
2017,_L_KG_171501_A1,IX,0.695
2018,_L_KG_171501_A1,IX,0.698
2019,_L_KG_171501_A1,IX,0.699
2020,_L_KG_171501_A1,IX,0.691
2021,_L_KG_171501_A1,IX,0.696
2022,_L_KG_171501_A1,IX,0.701
2015,_L_KG_171501_A2,_L_Y,70.0
2016,_L_KG_171501_A2,_L_Y,70.3
2017,_L_KG_171501_A2,_L_Y,70.6
2018,_L_KG_171501_A2,_L_Y,70.7
2019,_L_KG_171501_A2,_L_Y,71.2
2020,_L_KG_171501_A2,_L_Y,69.6
2021,_L_KG_171501_A2,_L_Y,70.0
2022,_L_KG_171501_A2,_L_Y,70.5
2015,_L_KG_171501_A3,_L_Y,12.6
2016,_L_KG_171501_A3,_L_Y,12.7
2017,_L_KG_171501_A3,_L_Y,12.5
2018,_L_KG_171501_A3,_L_Y,12.4
2019,_L_KG_171501_A3,_L_Y,12.5
2020,_L_KG_171501_A3,_L_Y,12.6
2021,_L_KG_171501_A3,_L_Y,13.0
2022,_L_KG_171501_A3,_L_Y,13.0
2015,_L_KG_171501_A4,_L_Y,11.5
2016,_L_KG_171501_A4,_L_Y,11.6
2017,_L_KG_171501_A4,_L_Y,11.7
2018,_L_KG_171501_A4,_L_Y,11.8
2019,_L_KG_171501_A4,_L_Y,11.9
2020,_L_KG_171501_A4,_L_Y,12.0
2021,_L_KG_171501_A4,_L_Y,12.0
2022,_L_KG_171501_A4,_L_Y,12.0
