Year,PRODUCT,COMMENT_OBS,Value
2018,_L_AGG_GRAIN_PROCESS,,16.6
2019,_L_AGG_GRAIN_PROCESS,,18.7
2020,_L_AGG_GRAIN_PROCESS,,21.6
2021,_L_AGG_GRAIN_PROCESS,* Предварительные данные,34.2
2018,_L_AGG_WHEATS,,47.3
2019,_L_AGG_WHEATS,,52.8
2020,_L_AGG_WHEATS,,57.6
2021,_L_AGG_WHEATS,* Предварительные данные,100.1
2018,_L_AGG_BERRIES_PROCESS,,37.9
2019,_L_AGG_BERRIES_PROCESS,,68.8
2020,_L_AGG_BERRIES_PROCESS,,46.1
2021,_L_AGG_BERRIES_PROCESS,* Предварительные данные,65.1
2018,_L_AGG_POT_PROCESS,,0.7
2019,_L_AGG_POT_PROCESS,,1.0
2020,_L_AGG_POT_PROCESS,,1.3
2021,_L_AGG_POT_PROCESS,* Предварительные данные,2.7
2018,_L_AGG_VEGS_PROCESS,,3.9
2019,_L_AGG_VEGS_PROCESS,,6.0
2020,_L_AGG_VEGS_PROCESS,,7.0
2021,_L_AGG_VEGS_PROCESS,* Предварительные данные,8.7
2018,_L_AGG_MEATS,,15.0
2019,_L_AGG_MEATS,,18.7
2020,_L_AGG_MEATS,,16.6
2021,_L_AGG_MEATS,* Предварительные данные,19.1
2018,_L_AGG_DAIRY,,1.0
2019,_L_AGG_DAIRY,,1.8
2020,_L_AGG_DAIRY,,3.2
2021,_L_AGG_DAIRY,* Предварительные данные,1.2
2018,_L_AGG_EGGS_PROCESS,,0.6
2019,_L_AGG_EGGS_PROCESS,,6.8
2020,_L_AGG_EGGS_PROCESS,,11.6
2021,_L_AGG_EGGS_PROCESS,* Предварительные данные,16.9
2018,_L_AGG_SUGAR,,66.9
2019,_L_AGG_SUGAR,,56.2
2020,_L_AGG_SUGAR,,49.7
2021,_L_AGG_SUGAR,* Предварительные данные,147.5
2018,_L_AGG_VEGOILS,,396.6
2019,_L_AGG_VEGOILS,,528.7
2020,_L_AGG_VEGOILS,,1725.0
2021,_L_AGG_VEGOILS,* Предварительные данные,1088.0
2018,_L_AGG_FISH_PROCESS,,171.2
2019,_L_AGG_FISH_PROCESS,,109.8
2020,_L_AGG_FISH_PROCESS,,84.6
2021,_L_AGG_FISH_PROCESS,* Предварительные данные,29.9
