Year,SERIES,REF_AREA,AGE,GeoCode,Value
2015,SH_STA_ANEM,,,,3.4
2016,SH_STA_ANEM,,,,2.8
2017,SH_STA_ANEM,,,,2.8
2018,SH_STA_ANEM,,,,2.5
2019,SH_STA_ANEM,,,,2.0
2020,SH_STA_ANEM,,,,1.156022
2021,SH_STA_ANEM,,,,1.3
2015,SH_STA_ANEM,,Y0T14,,3.9
2016,SH_STA_ANEM,,Y0T14,,3.2
2017,SH_STA_ANEM,,Y0T14,,3.4
2018,SH_STA_ANEM,,Y0T14,,3.0
2019,SH_STA_ANEM,,Y0T14,,2.5
2020,SH_STA_ANEM,,Y0T14,,1.257611
2021,SH_STA_ANEM,,Y0T14,,1.5
2015,SH_STA_ANEM,,Y_GE15,,3.2
2016,SH_STA_ANEM,,Y_GE15,,2.6
2017,SH_STA_ANEM,,Y_GE15,,2.6
2018,SH_STA_ANEM,,Y_GE15,,2.3
2019,SH_STA_ANEM,,Y_GE15,,1.8
2020,SH_STA_ANEM,,Y_GE15,,1.108352
2021,SH_STA_ANEM,,Y_GE15,,1.1
2015,SH_STA_ANEM_PREG,,,,52.846005
2016,SH_STA_ANEM_PREG,,,,47.502069
2017,SH_STA_ANEM_PREG,,,,52.792095
2018,SH_STA_ANEM_PREG,,,,58.958873
2019,SH_STA_ANEM_PREG,,,,55.240237
2020,SH_STA_ANEM_PREG,,,,40.422043
2021,SH_STA_ANEM_PREG,,,,35.440295
2015,SH_STA_ANEM_PREG,KG05,,KG05,93.343001
2016,SH_STA_ANEM_PREG,KG05,,KG05,63.421955
2017,SH_STA_ANEM_PREG,KG05,,KG05,87.940429
2018,SH_STA_ANEM_PREG,KG05,,KG05,86.916427
2019,SH_STA_ANEM_PREG,KG05,,KG05,88.203209
2020,SH_STA_ANEM_PREG,KG05,,KG05,62.073018
2021,SH_STA_ANEM_PREG,KG05,,KG05,59.171813
2015,SH_STA_ANEM_PREG,KG03,,KG03,69.843445
2016,SH_STA_ANEM_PREG,KG03,,KG03,56.804052
2017,SH_STA_ANEM_PREG,KG03,,KG03,70.581429
2018,SH_STA_ANEM_PREG,KG03,,KG03,75.09768
2019,SH_STA_ANEM_PREG,KG03,,KG03,80.273802
2020,SH_STA_ANEM_PREG,KG03,,KG03,59.73299
2021,SH_STA_ANEM_PREG,KG03,,KG03,44.777331
2015,SH_STA_ANEM_PREG,KG02,,KG02,33.22151
2016,SH_STA_ANEM_PREG,KG02,,KG02,35.099338
2017,SH_STA_ANEM_PREG,KG02,,KG02,39.201903
2018,SH_STA_ANEM_PREG,KG02,,KG02,31.307684
2019,SH_STA_ANEM_PREG,KG02,,KG02,26.755677
2020,SH_STA_ANEM_PREG,KG02,,KG02,29.473684
2021,SH_STA_ANEM_PREG,KG02,,KG02,23.062382
2015,SH_STA_ANEM_PREG,KG04,,KG04,37.077865
2016,SH_STA_ANEM_PREG,KG04,,KG04,34.445603
2017,SH_STA_ANEM_PREG,KG04,,KG04,32.450331
2018,SH_STA_ANEM_PREG,KG04,,KG04,27.505407
2019,SH_STA_ANEM_PREG,KG04,,KG04,20.346733
2020,SH_STA_ANEM_PREG,KG04,,KG04,18.726592
2021,SH_STA_ANEM_PREG,KG04,,KG04,19.815314
2015,SH_STA_ANEM_PREG,KG06,,KG06,40.599511
2016,SH_STA_ANEM_PREG,KG06,,KG06,43.986528
2017,SH_STA_ANEM_PREG,KG06,,KG06,49.775699
2018,SH_STA_ANEM_PREG,KG06,,KG06,49.038739
2019,SH_STA_ANEM_PREG,KG06,,KG06,46.766805
2020,SH_STA_ANEM_PREG,KG06,,KG06,25.552099
2021,SH_STA_ANEM_PREG,KG06,,KG06,23.537218
2015,SH_STA_ANEM_PREG,KG07,,KG07,48.794449
2016,SH_STA_ANEM_PREG,KG07,,KG07,61.884874
2017,SH_STA_ANEM_PREG,KG07,,KG07,51.555883
2018,SH_STA_ANEM_PREG,KG07,,KG07,39.738875
2019,SH_STA_ANEM_PREG,KG07,,KG07,32.170099
2020,SH_STA_ANEM_PREG,KG07,,KG07,41.943974
2021,SH_STA_ANEM_PREG,KG07,,KG07,33.438662
2015,SH_STA_ANEM_PREG,KG08,,KG08,31.488782
2016,SH_STA_ANEM_PREG,KG08,,KG08,34.041943
2017,SH_STA_ANEM_PREG,KG08,,KG08,31.154508
2018,SH_STA_ANEM_PREG,KG08,,KG08,35.764419
2019,SH_STA_ANEM_PREG,KG08,,KG08,30.102889
2020,SH_STA_ANEM_PREG,KG08,,KG08,24.77942
2021,SH_STA_ANEM_PREG,KG08,,KG08,27.234744
2015,SH_STA_ANEM_PREG,KG11,,KG11,67.903553
2016,SH_STA_ANEM_PREG,KG11,,KG11,53.621316
2017,SH_STA_ANEM_PREG,KG11,,KG11,54.34825
2018,SH_STA_ANEM_PREG,KG11,,KG11,99.421992
2019,SH_STA_ANEM_PREG,KG11,,KG11,61.361069
2020,SH_STA_ANEM_PREG,KG11,,KG11,47.939623
2021,SH_STA_ANEM_PREG,KG11,,KG11,42.607395
2015,SH_STA_ANEM_PREG,KG21,,KG21,38.720578
2016,SH_STA_ANEM_PREG,KG21,,KG21,48.088624
2017,SH_STA_ANEM_PREG,KG21,,KG21,41.182821
2018,SH_STA_ANEM_PREG,KG21,,KG21,31.186184
2019,SH_STA_ANEM_PREG,KG21,,KG21,32.093396
2020,SH_STA_ANEM_PREG,KG21,,KG21,38.133333
2021,SH_STA_ANEM_PREG,KG21,,KG21,34.332724
