Year,REF_AREA,SEX,Value
2007,,,35.3
2008,,,31.5
2009,,,29.3
2010,,,26.5
2011,,,24.54
2012,,,23.4
2013,,,23.29
2014,,,23.14
2015,,,21.5
2016,,,19.8
2017,,,18.5
2018,,,17.6
2019,,,17.5
2020,,,16.7
2010,,M,29.2
2011,,M,27.13
2012,,M,25.94
2013,,M,25.72
2014,,M,24.9
2015,,M,23.2
2016,,M,21.1
2017,,M,20.3
2018,,M,19.4
2019,,M,19.2
2020,,M,17.8
2010,,F,23.6
2011,,F,21.81
2012,,F,20.78
2013,,F,20.72
2014,,F,21.2
2015,,F,19.6
2016,,F,18.4
2017,,F,16.6
2018,,F,15.6
2019,,F,15.8
2020,,F,15.6
2007,KG05,,40.3
2008,KG05,,39.7
2009,KG05,,33.7
2010,KG05,,34.3
2011,KG05,,28.73
2012,KG05,,25.9
2013,KG05,,25.75
2014,KG05,,23.6
2015,KG05,,21.8
2016,KG05,,18.8
2017,KG05,,18.6
2018,KG05,,14.9
2019,KG05,,17.7
2020,KG05,,16.7
2010,KG05,M,38.0
2011,KG05,M,30.39
2012,KG05,M,30.3
2013,KG05,M,28.79
2014,KG05,M,26.2
2015,KG05,M,23.3
2016,KG05,M,20.0
2017,KG05,M,19.5
2018,KG05,M,16.0
2019,KG05,M,18.5
2020,KG05,M,17.1
2010,KG05,F,30.5
2011,KG05,F,26.96
2012,KG05,F,21.3
2013,KG05,F,22.48
2014,KG05,F,20.8
2015,KG05,F,20.1
2016,KG05,F,18.4
2017,KG05,F,17.7
2018,KG05,F,13.7
2019,KG05,F,16.8
2020,KG05,F,16.3
2007,KG03,,30.8
2008,KG03,,26.2
2009,KG03,,24.5
2010,KG03,,21.9
2011,KG03,,20.65
2012,KG03,,19.8
2013,KG03,,20.95
2014,KG03,,21.9
2015,KG03,,21.1
2016,KG03,,19.8
2017,KG03,,17.2
2018,KG03,,15.7
2019,KG03,,16.2
2020,KG03,,15.5
2010,KG03,M,23.8
2011,KG03,M,23.26
2012,KG03,M,22.4
2013,KG03,M,21.53
2014,KG03,M,23.3
2015,KG03,M,22.5
2016,KG03,M,21.0
2017,KG03,M,18.9
2018,KG03,M,16.3
2019,KG03,M,16.6
2020,KG03,M,16.2
2010,KG03,F,19.9
2011,KG03,F,17.91
2012,KG03,F,17.1
2013,KG03,F,20.34
2014,KG03,F,20.3
2015,KG03,F,19.6
2016,KG03,F,18.4
2017,KG03,F,15.4
2018,KG03,F,15.0
2019,KG03,F,15.7
2020,KG03,F,14.7
2007,KG02,,28.9
2008,KG02,,28.0
2009,KG02,,24.9
2010,KG02,,22.3
2011,KG02,,24.81
2012,KG02,,24.0
2013,KG02,,19.47
2014,KG02,,16.9
2015,KG02,,18.8
2016,KG02,,17.8
2017,KG02,,15.2
2018,KG02,,14.3
2019,KG02,,18.3
2020,KG02,,14.3
2010,KG02,M,26.2
2011,KG02,M,29.68
2012,KG02,M,25.2
2013,KG02,M,21.37
2014,KG02,M,20.6
2015,KG02,M,20.7
2016,KG02,M,12.8
2017,KG02,M,18.1
2018,KG02,M,16.3
2019,KG02,M,20.8
2020,KG02,M,14.8
2010,KG02,F,18.3
2011,KG02,F,19.8
2012,KG02,F,22.8
2013,KG02,F,17.49
2014,KG02,F,13.1
2015,KG02,F,16.7
2016,KG02,F,16.8
2017,KG02,F,12.0
2018,KG02,F,12.3
2019,KG02,F,15.6
2020,KG02,F,13.8
2007,KG04,,33.9
2008,KG04,,30.1
2009,KG04,,28.0
2010,KG04,,25.0
2011,KG04,,20.06
2012,KG04,,21.7
2013,KG04,,20.2
2014,KG04,,22.6
2015,KG04,,16.8
2016,KG04,,17.9
2017,KG04,,18.2
2018,KG04,,15.1
2019,KG04,,12.5
2020,KG04,,14.2
2010,KG04,M,27.3
2011,KG04,M,24.82
2012,KG04,M,24.3
2013,KG04,M,23.06
2014,KG04,M,22.2
2015,KG04,M,21.2
2016,KG04,M,20.2
2017,KG04,M,19.8
2018,KG04,M,16.6
2019,KG04,M,13.2
2020,KG04,M,15.3
2010,KG04,F,22.3
2011,KG04,F,15.04
2012,KG04,F,18.9
2013,KG04,F,17.19
2014,KG04,F,23.0
2015,KG04,F,12.1
2016,KG04,F,15.5
2017,KG04,F,16.5
2018,KG04,F,13.5
2019,KG04,F,11.9
2020,KG04,F,13.0
2007,KG06,,34.7
