Year,REF_AREA,SEX,Value
2010,,,13.4
2013,,,8.5
2014,,,7.7
2015,,,6.7
2016,,,7.6
2017,,,4.3
2018,,,4.5
2019,,,2.5
2010,,F,1.7
2013,,F,0.4
2014,,F,1.1
2015,,F,0.4
2016,,F,0.5
2017,,F,0.3
2018,,F,0.4
2019,,F,0.1
2010,,M,25.3
2013,,M,16.8
2014,,M,14.5
2015,,M,13.1
2016,,M,14.8
2017,,M,8.5
2018,,M,8.8
2019,,M,4.9
2010,KG05,,1.6
2013,KG05,,1.5
2014,KG05,,1.3
2015,KG05,,1.2
2016,KG05,,2.2
2017,KG05,,0.8
2018,KG05,,0.4
2019,KG05,,0.2
2016,KG05,F,0.4
2018,KG05,F,0.0
2019,KG05,F,0.0
2010,KG05,M,3.1
2013,KG05,M,3.0
2014,KG05,M,2.5
2015,KG05,M,2.4
2016,KG05,M,3.9
2017,KG05,M,1.5
2018,KG05,M,0.8
2019,KG05,M,0.4
2010,KG03,,5.2
2013,KG03,,3.2
2014,KG03,,2.3
2015,KG03,,1.2
2016,KG03,,2.0
2017,KG03,,1.9
2018,KG03,,1.5
2019,KG03,,0.7
2010,KG03,F,0.4
2014,KG03,F,0.2
2017,KG03,F,0.2
2018,KG03,F,0.0
2019,KG03,F,0.0
2010,KG03,M,10.1
2013,KG03,M,6.4
2014,KG03,M,4.5
2015,KG03,M,2.5
2016,KG03,M,4.0
2017,KG03,M,3.7
2018,KG03,M,3.0
2019,KG03,M,1.3
2010,KG02,,2.9
2013,KG02,,4.8
2014,KG02,,5.0
2015,KG02,,6.4
2016,KG02,,3.6
2017,KG02,,5.8
2018,KG02,,0.6
2019,KG02,,0.2
2015,KG02,F,0.4
2018,KG02,F,0.0
2019,KG02,F,0.0
2010,KG02,M,5.9
2013,KG02,M,9.7
2014,KG02,M,10.0
2015,KG02,M,12.5
2016,KG02,M,7.2
2017,KG02,M,11.7
2018,KG02,M,1.2
2019,KG02,M,0.4
2010,KG04,,1.9
2013,KG04,,0.4
2014,KG04,,3.7
2015,KG04,,1.4
2017,KG04,,1.1
2018,KG04,,0.4
2019,KG04,,0.3
2010,KG04,F,0.8
2014,KG04,F,0.7
2018,KG04,F,0.0
2019,KG04,F,0.0
2010,KG04,M,3.0
2013,KG04,M,0.7
2014,KG04,M,6.5
2015,KG04,M,2.9
2017,KG04,M,2.1
2018,KG04,M,0.7
2019,KG04,M,0.7
2010,KG06,,1.6
2013,KG06,,2.3
2014,KG06,,0.8
2015,KG06,,1.8
2016,KG06,,0.9
2017,KG06,,0.5
2018,KG06,,2.6
2019,KG06,,0.4
2014,KG06,F,0.2
2018,KG06,F,0.0
2019,KG06,F,0.0
2010,KG06,M,3.2
2013,KG06,M,4.5
2014,KG06,M,1.5
2015,KG06,M,3.5
2016,KG06,M,1.9
2017,KG06,M,0.9
2018,KG06,M,5.2
2019,KG06,M,0.7
2010,KG07,,6.9
2013,KG07,,3.3
2014,KG07,,4.1
2015,KG07,,7.2
2016,KG07,,2.0
2017,KG07,,1.6
2018,KG07,,1.9
2019,KG07,,4.9
2010,KG07,F,0.9
2014,KG07,F,0.8
2018,KG07,F,0.0
2019,KG07,F,0.0
2010,KG07,M,13.0
2013,KG07,M,6.6
2014,KG07,M,7.3
2015,KG07,M,14.3
2016,KG07,M,3.9
2017,KG07,M,3.1
2018,KG07,M,3.8
2019,KG07,M,9.7
2010,KG08,,31.8
2013,KG08,,20.4
2014,KG08,,15.2
2015,KG08,,12.3
2016,KG08,,17.3
2017,KG08,,11.3
2018,KG08,,6.4
2019,KG08,,5.8
2010,KG08,F,2.7
2013,KG08,F,0.5
2014,KG08,F,0.9
2015,KG08,F,1.6
2016,KG08,F,2.0
2017,KG08,F,0.4
2018,KG08,F,0.8
2019,KG08,F,0.4
2010,KG08,M,61.9
2013,KG08,M,41.1
2014,KG08,M,29.9
2015,KG08,M,23.3
2016,KG08,M,33.1
2017,KG08,M,22.5
2018,KG08,M,12.2
2019,KG08,M,11.3
2010,KG11,,37.2
2013,KG11,,22.1
2014,KG11,,23.3
2015,KG11,,16.0
2016,KG11,,20.7
2017,KG11,,9.1
2018,KG11,,13.2
2019,KG11,,6.4
2010,KG11,F,6.6
2013,KG11,F,2.1
2014,KG11,F,4.6
2015,KG11,F,0.8
2016,KG11,F,1.2
2017,KG11,F,0.9
2018,KG11,F,0.9
2019,KG11,F,0.0
2010,KG11,M,72.5
2013,KG11,M,45.1
2014,KG11,M,44.7
2015,KG11,M,33.5
2016,KG11,M,43.0
2017,KG11,M,18.3
2018,KG11,M,27.2
2019,KG11,M,13.7
2010,KG21,,15.5
2013,KG21,,5.3
2014,KG21,,6.7
2015,KG21,,16.8
2016,KG21,,13.3
2017,KG21,,2.8
2018,KG21,,9.9
2019,KG21,,2.9
2010,KG21,F,1.5
2013,KG21,F,0.7
2015,KG21,F,0.7
2018,KG21,F,2.0
2019,KG21,F,0.6
2010,KG21,M,30.8
2013,KG21,M,10.3
2014,KG21,M,14.0
2015,KG21,M,34.2
2016,KG21,M,27.5
2017,KG21,M,5.8
2018,KG21,M,18.3
2019,KG21,M,5.4
