Year,REF_AREA,Value
2007,,18.4
2008,,19.2
2009,,17.6
2010,,16.1
2011,,16.9
2012,,16.5
2013,,17.9
2014,,15.3
2015,,15.6
2016,,13.4
2017,,13.7
2018,,11.0
2019,,12.0
2007,KG05,8.3
2008,KG05,13.7
2009,KG05,15.8
2010,KG05,13.0
2011,KG05,12.6
2012,KG05,12.8
2013,KG05,14.6
2014,KG05,12.0
2015,KG05,15.8
2016,KG05,11.0
2017,KG05,13.6
2018,KG05,9.0
2019,KG05,10.2
2007,KG03,13.2
2008,KG03,16.7
2009,KG03,16.5
2010,KG03,12.9
2011,KG03,15.2
2012,KG03,17.5
2013,KG03,14.6
2014,KG03,11.8
2015,KG03,12.7
2016,KG03,11.1
2017,KG03,8.6
2018,KG03,7.9
2019,KG03,8.6
2007,KG02,32.5
2008,KG02,29.3
2009,KG02,23.2
2010,KG02,27.3
2011,KG02,32.5
2012,KG02,26.6
2013,KG02,35.3
2014,KG02,23.9
2015,KG02,27.8
2016,KG02,22.8
2017,KG02,25.8
2018,KG02,18.5
2019,KG02,19.5
2007,KG04,29.2
2008,KG04,26.4
2009,KG04,28.3
2010,KG04,27.6
2011,KG04,26.9
2012,KG04,27.0
2013,KG04,24.8
2014,KG04,28.9
2015,KG04,30.8
2016,KG04,19.7
2017,KG04,26.5
2018,KG04,24.9
2019,KG04,23.6
2007,KG06,13.5
2008,KG06,15.3
2009,KG06,14.5
2010,KG06,14.7
2011,KG06,14.7
2012,KG06,15.0
2013,KG06,14.3
2014,KG06,15.5
2015,KG06,12.4
2016,KG06,11.7
2017,KG06,11.8
2018,KG06,9.6
2019,KG06,11.7
2007,KG07,15.3
2008,KG07,17.3
2009,KG07,16.7
2010,KG07,19.1
2011,KG07,24.4
2012,KG07,25.3
2013,KG07,23.2
2014,KG07,21.6
2015,KG07,16.0
2016,KG07,17.4
2017,KG07,15.6
2018,KG07,20.3
2019,KG07,13.2
2007,KG08,31.0
2008,KG08,28.1
2009,KG08,23.2
2010,KG08,19.7
2011,KG08,20.0
2012,KG08,18.9
2013,KG08,24.5
2014,KG08,20.0
2015,KG08,20.5
2016,KG08,18.2
2017,KG08,19.9
2018,KG08,14.8
2019,KG08,15.3
2007,KG11,14.4
2008,KG11,15.6
2009,KG11,13.0
2010,KG11,10.1
2011,KG11,9.2
2012,KG11,8.4
2013,KG11,11.5
2014,KG11,7.8
2015,KG11,9.1
2016,KG11,8.5
2017,KG11,8.6
2018,KG11,5.4
2019,KG11,8.6
2007,KG21,17.2
2008,KG21,16.7
2009,KG21,15.5
2010,KG21,14.4
2011,KG21,12.9
2012,KG21,9.7
2013,KG21,12.2
2014,KG21,10.5
2015,KG21,12.5
2016,KG21,10.0
2017,KG21,7.7
2018,KG21,6.1
2019,KG21,7.8
