Year,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,GeoCode,Value
2014,,,,,,,,42.0
2018,,,,,,,,67.4
2023,,,,,,,,59.0
2014,KG05,,,,,,KG05,45.0
2018,KG05,,,,,,KG05,48.6
2023,KG05,,,,,,KG05,43.3
2014,KG03,,,,,,KG03,31.4
2018,KG03,,,,,,KG03,56.2
2023,KG03,,,,,,KG03,51.5
2014,KG02,,,,,,KG02,46.0
2018,KG02,,,,,,KG02,65.1
2023,KG02,,,,,,KG02,61.9
2014,KG04,,,,,,KG04,58.9
2018,KG04,,,,,,KG04,79.8
2023,KG04,,,,,,KG04,74.0
2014,KG06,,,,,,KG06,38.4
2018,KG06,,,,,,KG06,71.1
2023,KG06,,,,,,KG06,56.0
2014,KG07,,,,,,KG07,43.4
2018,KG07,,,,,,KG07,79.1
2023,KG07,,,,,,KG07,80.9
2014,KG08,,,,,,KG08,47.8
2018,KG08,,,,,,KG08,70.7
2023,KG08,,,,,,KG08,61.3
2014,KG11,,,,,,KG11,47.0
2018,KG11,,,,,,KG11,69.6
2023,KG11,,,,,,KG11,71.8
2014,KG21,,,,,,KG21,38.3
2018,KG21,,,,,,KG21,71.3
2023,KG21,,,,,,KG21,58.6
2014,,,U,,,,,43.1
2018,,,U,,,,,68.6
2023,,,U,,,,,60.6
2014,,,R,,,,,41.4
2018,,,R,,,,,66.7
2023,,,R,,,,,58.3
2014,,Y15T19,,,,,,17.4
2018,,Y15T19,,,,,,31.7
2014,,Y20T24,,,,,,28.9
2018,,Y20T24,,,,,,53.8
2023,,Y20T24,,,,,,35.7
2014,,Y25T29,,,,,,39.2
2018,,Y25T29,,,,,,59.9
2023,,Y25T29,,,,,,50.1
2014,,Y30T34,,,,,,50.4
2018,,Y30T34,,,,,,76.2
2023,,Y30T34,,,,,,57.0
2014,,Y35T39,,,,,,57.2
2018,,Y35T39,,,,,,74.5
2023,,Y35T39,,,,,,66.3
2014,,Y40T44,,,,,,52.2
2018,,Y40T44,,,,,,68.7
2023,,Y40T44,,,,,,68.9
2014,,Y45T49,,,,,,29.3
2018,,Y45T49,,,,,,66.0
2023,,Y45T49,,,,,,63.8
2014,,,,,ISCED11_1,,,20.4
2014,,,,,ISCED11_2,,,36.5
2018,,,,,ISCED11_2,,,67.8
2023,,,,,ISCED11_2,,,62.9
2014,,,,,ISCED11_3,,,42.1
2018,,,,,ISCED11_3,,,62.9
2023,,,,,ISCED11_3,,,55.8
2014,,,,,ISCED11_4,,,43.3
2018,,,,,ISCED11_4,,,66.2
2023,,,,,ISCED11_4,,,55.2
2014,,,,,ISCED11_5,,,43.7
2018,,,,,ISCED11_5,,,74.3
2023,,,,,ISCED11_5,,,65.5
2018,,,,,,PD,,81.6
2018,,,,,,PWD,,67.1
2023,,,,,,PWD,,59.3
2014,,,,Q1,,,,42.5
2018,,,,Q1,,,,66.5
2023,,,,Q1,,,,48.9
2014,,,,Q2,,,,37.8
2018,,,,Q2,,,,60.7
2023,,,,Q2,,,,58.2
2014,,,,Q3,,,,39.1
2018,,,,Q3,,,,69.2
2023,,,,Q3,,,,58.4
2014,,,,Q4,,,,45.1
2018,,,,Q4,,,,69.3
2023,,,,Q4,,,,62.2
2014,,,,Q5,,,,45.3
2018,,,,Q5,,,,71.4
2023,,,,Q5,,,,67.5
