Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,GeoCode,Value
2018,SH_XPD_EARN10,,,,,,,,,5.1
2019,SH_XPD_EARN10,,,,,,,,,5.3
2020,SH_XPD_EARN10,,,,,,,,,4.8
2021,SH_XPD_EARN10,,,,,,,,,4.1
2022,SH_XPD_EARN10,,,,,,,,,4.6
2023,SH_XPD_EARN10,,,,,,,,,4.7
2018,SH_XPD_EARN10,,,,U,,,,,4.2
2019,SH_XPD_EARN10,,,,U,,,,,4.8
2020,SH_XPD_EARN10,,,,U,,,,,4.8
2021,SH_XPD_EARN10,,,,U,,,,,3.8
2022,SH_XPD_EARN10,,,,U,,,,,4.2
2023,SH_XPD_EARN10,,,,U,,,,,6.0
2018,SH_XPD_EARN10,,,,R,,,,,5.7
2019,SH_XPD_EARN10,,,,R,,,,,5.5
2020,SH_XPD_EARN10,,,,R,,,,,4.8
2021,SH_XPD_EARN10,,,,R,,,,,4.2
2022,SH_XPD_EARN10,,,,R,,,,,4.8
2023,SH_XPD_EARN10,,,,R,,,,,4.0
2018,SH_XPD_EARN10,,M,,,,,,,4.9
2019,SH_XPD_EARN10,,M,,,,,,,4.8
2020,SH_XPD_EARN10,,M,,,,,,,4.6
2021,SH_XPD_EARN10,,M,,,,,,,3.7
2022,SH_XPD_EARN10,,M,,,,,,,4.3
2023,SH_XPD_EARN10,,M,,,,,,,4.4
2018,SH_XPD_EARN10,,F,,,,,,,5.4
2019,SH_XPD_EARN10,,F,,,,,,,5.6
2020,SH_XPD_EARN10,,F,,,,,,,5.0
2021,SH_XPD_EARN10,,F,,,,,,,4.4
2022,SH_XPD_EARN10,,F,,,,,,,4.8
2023,SH_XPD_EARN10,,F,,,,,,,5.0
2018,SH_XPD_EARN10,KG05,,,,,,,KG05,4.1
2019,SH_XPD_EARN10,KG05,,,,,,,KG05,4.2
2020,SH_XPD_EARN10,KG05,,,,,,,KG05,1.5
2021,SH_XPD_EARN10,KG05,,,,,,,KG05,1.7
2022,SH_XPD_EARN10,KG05,,,,,,,KG05,1.5
2023,SH_XPD_EARN10,KG05,,,,,,,KG05,2.2
2018,SH_XPD_EARN10,KG03,,,,,,,KG03,3.0
2019,SH_XPD_EARN10,KG03,,,,,,,KG03,1.5
2020,SH_XPD_EARN10,KG03,,,,,,,KG03,0.3
2021,SH_XPD_EARN10,KG03,,,,,,,KG03,0.0
2022,SH_XPD_EARN10,KG03,,,,,,,KG03,0.2
2023,SH_XPD_EARN10,KG03,,,,,,,KG03,2.2
2018,SH_XPD_EARN10,KG02,,,,,,,KG02,3.0
2019,SH_XPD_EARN10,KG02,,,,,,,KG02,2.8
2020,SH_XPD_EARN10,KG02,,,,,,,KG02,2.0
2021,SH_XPD_EARN10,KG02,,,,,,,KG02,2.6
2022,SH_XPD_EARN10,KG02,,,,,,,KG02,2.7
2023,SH_XPD_EARN10,KG02,,,,,,,KG02,1.9
2018,SH_XPD_EARN10,KG04,,,,,,,KG04,10.5
2019,SH_XPD_EARN10,KG04,,,,,,,KG04,9.5
2020,SH_XPD_EARN10,KG04,,,,,,,KG04,8.2
2021,SH_XPD_EARN10,KG04,,,,,,,KG04,8.6
2022,SH_XPD_EARN10,KG04,,,,,,,KG04,5.8
2023,SH_XPD_EARN10,KG04,,,,,,,KG04,9.6
2018,SH_XPD_EARN10,KG06,,,,,,,KG06,5.2
2019,SH_XPD_EARN10,KG06,,,,,,,KG06,6.4
2020,SH_XPD_EARN10,KG06,,,,,,,KG06,6.0
2021,SH_XPD_EARN10,KG06,,,,,,,KG06,4.8
2022,SH_XPD_EARN10,KG06,,,,,,,KG06,6.5
2023,SH_XPD_EARN10,KG06,,,,,,,KG06,3.2
2018,SH_XPD_EARN10,KG07,,,,,,,KG07,1.9
2019,SH_XPD_EARN10,KG07,,,,,,,KG07,0.8
2020,SH_XPD_EARN10,KG07,,,,,,,KG07,0.3
2021,SH_XPD_EARN10,KG07,,,,,,,KG07,1.0
2022,SH_XPD_EARN10,KG07,,,,,,,KG07,1.2
2023,SH_XPD_EARN10,KG07,,,,,,,KG07,1.7
2018,SH_XPD_EARN10,KG08,,,,,,,KG08,10.4
2019,SH_XPD_EARN10,KG08,,,,,,,KG08,11.9
2020,SH_XPD_EARN10,KG08,,,,,,,KG08,12.3
2021,SH_XPD_EARN10,KG08,,,,,,,KG08,10.3
2022,SH_XPD_EARN10,KG08,,,,,,,KG08,10.6
2023,SH_XPD_EARN10,KG08,,,,,,,KG08,10.9
2018,SH_XPD_EARN10,KG11,,,,,,,KG11,2.8
2019,SH_XPD_EARN10,KG11,,,,,,,KG11,3.0
2020,SH_XPD_EARN10,KG11,,,,,,,KG11,5.3
2021,SH_XPD_EARN10,KG11,,,,,,,KG11,3.2
2022,SH_XPD_EARN10,KG11,,,,,,,KG11,4.1
2023,SH_XPD_EARN10,KG11,,,,,,,KG11,3.2
2018,SH_XPD_EARN10,KG21,,,,,,,KG21,7.8
2019,SH_XPD_EARN10,KG21,,,,,,,KG21,8.6
2020,SH_XPD_EARN10,KG21,,,,,,,KG21,4.1
2021,SH_XPD_EARN10,KG21,,,,,,,KG21,5.5
2022,SH_XPD_EARN10,KG21,,,,,,,KG21,5.4
2023,SH_XPD_EARN10,KG21,,,,,,,KG21,13.3
2018,SH_XPD_EARN10,,,Y0T5,,,,,,4.2
2019,SH_XPD_EARN10,,,Y0T5,,,,,,4.5
2020,SH_XPD_EARN10,,,Y0T5,,,,,,3.8
2021,SH_XPD_EARN10,,,Y0T5,,,,,,3.2
2022,SH_XPD_EARN10,,,Y0T5,,,,,,3.6
2023,SH_XPD_EARN10,,,Y0T5,,,,,,4.0
2018,SH_XPD_EARN10,,,Y7T14,,,,,,4.3
2019,SH_XPD_EARN10,,,Y7T14,,,,,,3.8
2020,SH_XPD_EARN10,,,Y7T14,,,,,,3.5
2021,SH_XPD_EARN10,,,Y7T14,,,,,,3.1
2022,SH_XPD_EARN10,,,Y7T14,,,,,,3.8
2023,SH_XPD_EARN10,,,Y7T14,,,,,,3.4
2018,SH_XPD_EARN10,,,Y15T28,,,,,,4.0
2019,SH_XPD_EARN10,,,Y15T28,,,,,,4.2
2020,SH_XPD_EARN10,,,Y15T28,,,,,,3.6
2021,SH_XPD_EARN10,,,Y15T28,,,,,,2.2
2022,SH_XPD_EARN10,,,Y15T28,,,,,,3.6
2023,SH_XPD_EARN10,,,Y15T28,,,,,,3.5
2018,SH_XPD_EARN10,,,Y29T62,,,,,,4.8
2019,SH_XPD_EARN10,,,Y29T62,,,,,,4.8
2020,SH_XPD_EARN10,,,Y29T62,,,,,,4.0
2021,SH_XPD_EARN10,,,Y29T62,,,,,,3.6
2022,SH_XPD_EARN10,,,Y29T62,,,,,,3.7
2023,SH_XPD_EARN10,,,Y29T62,,,,,,4.4
2018,SH_XPD_EARN10,,,Y_GE58,,,,,,11.6
2019,SH_XPD_EARN10,,,Y_GE58,,,,,,12.5
2020,SH_XPD_EARN10,,,Y_GE58,,,,,,12.9
2021,SH_XPD_EARN10,,,Y_GE58,,,,,,10.9
2022,SH_XPD_EARN10,,,Y_GE58,,,,,,10.9
2023,SH_XPD_EARN10,,,Y_GE58,,,,,,10.4
2018,SH_XPD_EARN10,,,,,,ISCED11_1,,,4.4
2019,SH_XPD_EARN10,,,,,,ISCED11_1,,,3.9
2020,SH_XPD_EARN10,,,,,,ISCED11_1,,,3.8
2021,SH_XPD_EARN10,,,,,,ISCED11_1,,,3.4
2022,SH_XPD_EARN10,,,,,,ISCED11_1,,,3.8
2023,SH_XPD_EARN10,,,,,,ISCED11_1,,,3.7
2018,SH_XPD_EARN10,,,,,,ISCED11_2,,,5.9
2019,SH_XPD_EARN10,,,,,,ISCED11_2,,,7.1
2020,SH_XPD_EARN10,,,,,,ISCED11_2,,,7.2
2021,SH_XPD_EARN10,,,,,,ISCED11_2,,,5.2
2022,SH_XPD_EARN10,,,,,,ISCED11_2,,,5.9
2023,SH_XPD_EARN10,,,,,,ISCED11_2,,,6.7
2018,SH_XPD_EARN10,,,,,,ISCED11_3,,,5.1
2019,SH_XPD_EARN10,,,,,,ISCED11_3,,,4.6
2020,SH_XPD_EARN10,,,,,,ISCED11_3,,,3.7
2021,SH_XPD_EARN10,,,,,,ISCED11_3,,,3.4
2022,SH_XPD_EARN10,,,,,,ISCED11_3,,,4.3
2023,SH_XPD_EARN10,,,,,,ISCED11_3,,,4.2
2018,SH_XPD_EARN10,,,,,,ISCED11_4,,,7.3
2019,SH_XPD_EARN10,,,,,,ISCED11_4,,,9.2
2020,SH_XPD_EARN10,,,,,,ISCED11_4,,,7.9
2021,SH_XPD_EARN10,,,,,,ISCED11_4,,,6.5
2022,SH_XPD_EARN10,,,,,,ISCED11_4,,,6.5
2023,SH_XPD_EARN10,,,,,,ISCED11_4,,,7.8
