Year,REF_AREA,SEX,GeoCode,Value
2010,,,,2.2
2011,,,,2.216363
2012,,,,2.184656
2013,,,,2.170665
2014,,,,2.1
2015,,,,2.1
2016,,,,2.1
2017,,,,2.0
2018,,,,2.0
2019,,,,1.998765
2020,,,,2.0
2021,,,,1.894085
2010,,F,,2.9
2011,,F,,2.947887
2012,,F,,2.8998
2013,,F,,2.852715
2014,,F,,2.8
2015,,F,,2.8
2016,,F,,2.8
2017,,F,,2.7
2018,,F,,2.7
2019,,F,,2.659527
2020,,F,,2.6
2021,,F,,2.563989
2010,,M,,1.5
2011,,M,,1.466587
2012,,M,,1.452767
2013,,M,,1.473458
2014,,M,,1.4
2015,,M,,1.4
2016,,M,,1.4
2017,,M,,1.4
2018,,M,,1.3
2019,,M,,1.328142
2020,,M,,1.3
2021,,M,,1.214198
2010,KG05,,KG05,1.4
2011,KG05,,KG05,1.405818
2012,KG05,,KG05,1.457866
2013,KG05,,KG05,1.488292
2014,KG05,,KG05,1.5
2015,KG05,,KG05,1.5
2016,KG05,,KG05,1.5
2017,KG05,,KG05,1.5
2018,KG05,,KG05,1.5
2019,KG05,,KG05,1.475719
2020,KG05,,KG05,1.5
2021,KG05,,KG05,1.449919
2010,KG05,F,KG05,1.3
2011,KG05,F,KG05,1.366139
2012,KG05,F,KG05,1.403475
2013,KG05,F,KG05,1.493532
2014,KG05,F,KG05,1.6
2015,KG05,F,KG05,1.5
2016,KG05,F,KG05,1.6
2017,KG05,F,KG05,1.6
2018,KG05,F,KG05,1.6
2019,KG05,F,KG05,1.650071
2020,KG05,F,KG05,1.6
2021,KG05,F,KG05,1.739898
2010,KG05,M,KG05,1.4
2011,KG05,M,KG05,1.444325
2012,KG05,M,KG05,1.510587
2013,KG05,M,KG05,1.48322
2014,KG05,M,KG05,1.4
2015,KG05,M,KG05,1.4
2016,KG05,M,KG05,1.4
2017,KG05,M,KG05,1.4
2018,KG05,M,KG05,1.4
2019,KG05,M,KG05,1.30781
2020,KG05,M,KG05,1.3
2021,KG05,M,KG05,1.170483
2010,KG03,,KG03,1.3
2011,KG03,,KG03,1.3204
2012,KG03,,KG03,1.317923
2013,KG03,,KG03,1.329157
2014,KG03,,KG03,1.3
2015,KG03,,KG03,1.3
2016,KG03,,KG03,1.3
2017,KG03,,KG03,1.3
2018,KG03,,KG03,1.3
2019,KG03,,KG03,1.259334
2020,KG03,,KG03,1.2
2021,KG03,,KG03,1.169036
