Year,REF_AREA,GeoCode,Value
2016,,,96.5
2017,,,97.8
2018,,,99.1
2019,,,960.0
2020,,,965.0
2021,,,978.0
2022,,,964.0
2023,,,1004.0
2024,,,951.0
2016,KG05,KG05,97.9
2017,KG05,KG05,99.1
2018,KG05,KG05,96.5
2019,KG05,KG05,98.8
2020,KG05,KG05,98.5
2021,KG05,KG05,97.9
2022,KG05,KG05,96.4
2023,KG05,KG05,104.062877
2024,KG05,KG05,95.223918
2016,KG03,KG03,94.4
2017,KG03,KG03,97.1
2018,KG03,KG03,97.6
2019,KG03,KG03,95.1
2020,KG03,KG03,96.8
2021,KG03,KG03,96.8
2022,KG03,KG03,97.9
2023,KG03,KG03,102.935807
2024,KG03,KG03,97.6
2016,KG02,KG02,95.8
2017,KG02,KG02,97.1
2018,KG02,KG02,99.4
2019,KG02,KG02,91.1
2020,KG02,KG02,92.3
2021,KG02,KG02,970.0
2022,KG02,KG02,953.0
2023,KG02,KG02,999.0
2024,KG02,KG02,965.0
2016,KG04,KG04,94.9
2017,KG04,KG04,93.7
2018,KG04,KG04,95.5
2019,KG04,KG04,94.7
2020,KG04,KG04,96.6
2021,KG04,KG04,95.5
2022,KG04,KG04,93.8
2023,KG04,KG04,106.422869
2024,KG04,KG04,92.6
2016,KG06,KG06,92.4
2017,KG06,KG06,94.8
2018,KG06,KG06,94.2
2019,KG06,KG06,96.1
2020,KG06,KG06,96.3
2021,KG06,KG06,97.1
2022,KG06,KG06,95.5
2023,KG06,KG06,103.813186
2024,KG06,KG06,88.2
2016,KG07,KG07,95.3
2017,KG07,KG07,94.7
2018,KG07,KG07,95.5
2019,KG07,KG07,95.7
2020,KG07,KG07,94.7
2021,KG07,KG07,960.0
2022,KG07,KG07,944.0
2023,KG07,KG07,1044.0
2024,KG07,KG07,959.0
2016,KG08,KG08,98.0
2017,KG08,KG08,97.5
2018,KG08,KG08,99.4
2019,KG08,KG08,89.0
2020,KG08,KG08,94.7
2021,KG08,KG08,97.6
2022,KG08,KG08,95.0
2023,KG08,KG08,101.98874
2024,KG08,KG08,71.3
2016,KG11,KG11,104.91
2017,KG11,KG11,105.21
2018,KG11,KG11,110.61
2019,KG11,KG11,104.01
2020,KG11,KG11,98.8
2021,KG11,KG11,1000.0
2022,KG11,KG11,987.0
2023,KG11,KG11,906.0
2024,KG11,KG11,1527.0
2016,KG21,KG21,95.4
2017,KG21,KG21,117.51
2018,KG21,KG21,106.51
2019,KG21,KG21,103.71
2020,KG21,KG21,98.8
2021,KG21,KG21,1010.0
2022,KG21,KG21,973.0
2023,KG21,KG21,932.0
2024,KG21,KG21,1389.0
