Year,REF_AREA,URBANISATION,GeoCode,Value
2013,,,,17.5
2014,,,,19.5
2015,,,,19.9
2016,,,,22.1
2017,,,,23.5
2018,,,,24.6
2019,,,,25.4
2020,,,,22.0
2021,,,,23.9
2022,,,,24.6
2013,,U,,31.6
2014,,U,,32.3
2015,,U,,31.1
2016,,U,,32.3
2017,,U,,34.2
2018,,U,,34.6
2019,,U,,34.5
2020,,U,,29.1
2021,,U,,28.5
2022,,U,,40.7
2013,,R,,10.8
2014,,R,,13.2
2015,,R,,14.2
2016,,R,,16.6
2017,,R,,17.9
2018,,R,,19.3
2019,,R,,20.6
2020,,R,,20.2
2021,,R,,21.3
2022,,R,,20.7
2013,KG05,,KG05,16.1
2014,KG05,,KG05,19.6
2015,KG05,,KG05,20.6
2016,KG05,,KG05,23.9
2017,KG05,,KG05,25.8
2018,KG05,,KG05,26.3
2019,KG05,,KG05,28.5
2020,KG05,,KG05,26.8
2021,KG05,,KG05,28.1
2022,KG05,,KG05,26.6
2013,KG05,U,KG05,33.3
2014,KG05,U,KG05,33.1
2015,KG05,U,KG05,30.5
2016,KG05,U,KG05,32.8
2017,KG05,U,KG05,33.2
2018,KG05,U,KG05,34.0
2019,KG05,U,KG05,42.7
2020,KG05,U,KG05,39.8
2021,KG05,U,KG05,44.5
2022,KG05,U,KG05,44.5
2013,KG05,R,KG05,10.2
2014,KG05,R,KG05,14.6
2015,KG05,R,KG05,16.7
2016,KG05,R,KG05,20.5
2017,KG05,R,KG05,23.0
2018,KG05,R,KG05,23.3
2019,KG05,R,KG05,23.8
2020,KG05,R,KG05,22.7
2021,KG05,R,KG05,23.3
2022,KG05,R,KG05,21.9
2013,KG03,,KG03,15.2
2014,KG03,,KG03,15.5
2015,KG03,,KG03,16.1
2016,KG03,,KG03,18.7
2017,KG03,,KG03,20.2
2018,KG03,,KG03,21.8
2019,KG03,,KG03,23.0
2020,KG03,,KG03,22.0
2021,KG03,,KG03,23.2
