Year,REF_AREA,COMPOSITE_BREAKDOWN,Value
2010,,,7562.0
2011,,,8634.0
2012,,,9544.4
2013,,,8326.8
2014,,,7658.0
2015,,,7569.0
2016,,,7333.7
2017,,,7657.8
2018,,,7758.0
2019,,,8068.7
2012,,_L_WS_NATURAL,9319.3
2013,,_L_WS_NATURAL,8218.9
2014,,_L_WS_NATURAL,7432.4
2015,,_L_WS_NATURAL,7225.2
2016,,_L_WS_NATURAL,7125.0
2017,,_L_WS_NATURAL,7433.2
2018,,_L_WS_NATURAL,7513.0
2019,,_L_WS_NATURAL,7813.9
2010,,_L_WS_AQUIFER,324.1
2011,,_L_WS_AQUIFER,201.3
2012,,_L_WS_AQUIFER,224.9
2013,,_L_WS_AQUIFER,107.9
2014,,_L_WS_AQUIFER,225.6
2015,,_L_WS_AQUIFER,343.8
2016,,_L_WS_AQUIFER,208.7
2017,,_L_WS_AQUIFER,224.6
2018,,_L_WS_AQUIFER,245.0
2019,,_L_WS_AQUIFER,254.8
2010,KG05,,577.7
2011,KG05,,586.7
2012,KG05,,570.2
2013,KG05,,967.7
2014,KG05,,615.1
2015,KG05,,643.1
2016,KG05,,645.2
2017,KG05,,632.8
2018,KG05,,647.7
2019,KG05,,663.1
2010,KG03,,695.2
2011,KG03,,1197.2
2012,KG03,,716.6
2013,KG03,,716.6
2014,KG03,,781.4
2015,KG03,,985.7
2016,KG03,,948.9
2017,KG03,,936.2
2018,KG03,,926.6
2019,KG03,,1012.6
2010,KG02,,555.3
2011,KG02,,905.6
2012,KG02,,966.4
2013,KG02,,628.3
2014,KG02,,628.5
2015,KG02,,578.9
2016,KG02,,524.6
2017,KG02,,623.7
2018,KG02,,621.1
2019,KG02,,635.0
2010,KG04,,592.3
2011,KG04,,590.7
2012,KG04,,636.4
2013,KG04,,644.2
2014,KG04,,607.7
2015,KG04,,620.5
2016,KG04,,607.7
2017,KG04,,614.8
2018,KG04,,642.3
2019,KG04,,658.5
2010,KG06,,1290.3
2011,KG06,,1160.5
2012,KG06,,1439.2
2013,KG06,,1392.6
2014,KG06,,1133.0
2015,KG06,,1190.1
2016,KG06,,1125.2
2017,KG06,,1183.5
2018,KG06,,1144.2
2019,KG06,,1180.8
2010,KG07,,828.8
2011,KG07,,884.7
2012,KG07,,904.0
2013,KG07,,938.2
2014,KG07,,882.9
2015,KG07,,1011.8
2016,KG07,,944.0
2017,KG07,,991.6
2018,KG07,,963.3
2019,KG07,,1021.3
2010,KG08,,2803.6
2011,KG08,,3138.1
2012,KG08,,4140.0
2013,KG08,,3039.3
2014,KG08,,2833.6
2015,KG08,,2368.2
2016,KG08,,2367.9
2017,KG08,,2500.5
2018,KG08,,2634.0
2019,KG08,,2707.0
2010,KG11,,135.9
2011,KG11,,113.4
2012,KG11,,114.5
2013,KG11,,115.7
2014,KG11,,118.8
2015,KG11,,113.7
2016,KG11,,113.2
2017,KG11,,117.7
2018,KG11,,121.8
2019,KG11,,133.5
2010,KG21,,82.9
2011,KG21,,57.1
2012,KG21,,57.1
2013,KG21,,57.1
2014,KG21,,57.1
2015,KG21,,57.1
2016,KG21,,57.0
2017,KG21,,57.0
2018,KG21,,57.0
2019,KG21,,57.0
